,관광지,날짜,버즈량
0,1100고지습지,2021-01-01,1
1,1100고지습지,2021-01-02,16
2,1100고지습지,2021-01-03,24
3,1100고지습지,2021-01-04,7
4,1100고지습지,2021-01-05,0
5,1100고지습지,2021-01-06,8
6,1100고지습지,2021-01-07,7
7,1100고지습지,2021-01-08,2
8,1100고지습지,2021-01-09,4
9,1100고지습지,2021-01-10,0
10,1100고지습지,2021-01-11,2
11,1100고지습지,2021-01-12,0
12,1100고지습지,2021-01-13,0
13,1100고지습지,2021-01-14,2
14,1100고지습지,2021-01-15,6
15,1100고지습지,2021-01-16,6
16,1100고지습지,2021-01-17,2
17,1100고지습지,2021-01-18,6
18,1100고지습지,2021-01-19,3
19,1100고지습지,2021-01-20,6
20,1100고지습지,2021-01-21,2
21,1100고지습지,2021-01-22,4
22,1100고지습지,2021-01-23,3
23,1100고지습지,2021-01-24,2
24,1100고지습지,2021-01-25,9
25,1100고지습지,2021-01-26,1
26,1100고지습지,2021-01-27,2
27,1100고지습지,2021-01-28,18
28,1100고지습지,2021-01-29,1
29,1100고지습지,2021-01-30,3
30,1100고지습지,2021-01-31,8
31,1100고지습지,2021-02-01,6
32,1100고지습지,2021-02-02,4
33,1100고지습지,2021-02-03,7
34,1100고지습지,2021-02-04,3
35,1100고지습지,2021-02-05,2
36,1100고지습지,2021-02-06,4
37,1100고지습지,2021-02-07,0
38,1100고지습지,2021-02-08,6
39,1100고지습지,2021-02-09,3
40,1100고지습지,2021-02-10,3
41,1100고지습지,2021-02-11,1
42,1100고지습지,2021-02-12,1
43,1100고지습지,2021-02-13,2
44,1100고지습지,2021-02-14,3
45,1100고지습지,2021-02-15,2
46,1100고지습지,2021-02-16,2
47,1100고지습지,2021-02-17,5
48,1100고지습지,2021-02-18,2
49,1100고지습지,2021-02-19,1
50,1100고지습지,2021-02-20,5
51,1100고지습지,2021-02-21,5
52,1100고지습지,2021-02-22,4
53,1100고지습지,2021-02-23,4
54,1100고지습지,2021-02-24,2
55,1100고지습지,2021-02-25,0
56,1100고지습지,2021-02-26,2
57,1100고지습지,2021-02-27,2
58,1100고지습지,2021-02-28,0
59,1100고지습지,2021-03-01,3
60,1100고지습지,2021-03-02,2
61,1100고지습지,2021-03-03,4
62,1100고지습지,2021-03-04,2
63,1100고지습지,2021-03-05,1
64,1100고지습지,2021-03-06,0
65,1100고지습지,2021-03-07,2
66,1100고지습지,2021-03-08,4
67,1100고지습지,2021-03-09,0
68,1100고지습지,2021-03-10,1
69,1100고지습지,2021-03-11,4
70,1100고지습지,2021-03-12,1
71,1100고지습지,2021-03-13,3
72,1100고지습지,2021-03-14,5
73,1100고지습지,2021-03-15,3
74,1100고지습지,2021-03-16,1
75,1100고지습지,2021-03-17,1
76,1100고지습지,2021-03-18,0
77,1100고지습지,2021-03-19,4
78,1100고지습지,2021-03-20,2
79,1100고지습지,2021-03-21,3
80,1100고지습지,2021-03-22,3
81,1100고지습지,2021-03-23,3
82,1100고지습지,2021-03-24,8
83,1100고지습지,2021-03-25,1
84,1100고지습지,2021-03-26,2
85,1100고지습지,2021-03-27,2
86,1100고지습지,2021-03-28,1
87,1100고지습지,2021-03-29,4
88,1100고지습지,2021-03-30,1
89,1100고지습지,2021-03-31,0
90,1100고지습지,2021-04-01,0
91,1100고지습지,2021-04-02,4
92,1100고지습지,2021-04-03,2
93,1100고지습지,2021-04-04,2
94,1100고지습지,2021-04-05,2
95,1100고지습지,2021-04-06,1
96,1100고지습지,2021-04-07,0
97,1100고지습지,2021-04-08,0
98,1100고지습지,2021-04-09,1
99,1100고지습지,2021-04-10,3
100,1100고지습지,2021-04-11,1
101,1100고지습지,2021-04-12,4
102,1100고지습지,2021-04-13,2
103,1100고지습지,2021-04-14,3
104,1100고지습지,2021-04-15,2
105,1100고지습지,2021-04-16,4
106,1100고지습지,2021-04-17,0
107,1100고지습지,2021-04-18,0
108,1100고지습지,2021-04-19,4
109,1100고지습지,2021-04-20,4
110,1100고지습지,2021-04-21,3
111,1100고지습지,2021-04-22,3
112,1100고지습지,2021-04-23,1
113,1100고지습지,2021-04-24,3
114,1100고지습지,2021-04-25,1
115,1100고지습지,2021-04-26,2
116,1100고지습지,2021-04-27,2
117,1100고지습지,2021-04-28,1
118,1100고지습지,2021-04-29,3
119,1100고지습지,2021-04-30,3
120,1100고지습지,2021-05-01,3
121,1100고지습지,2021-05-02,6
122,1100고지습지,2021-05-03,1
123,1100고지습지,2021-05-04,1
124,1100고지습지,2021-05-05,2
125,1100고지습지,2021-05-06,1
126,1100고지습지,2021-05-07,0
127,1100고지습지,2021-05-08,2
128,1100고지습지,2021-05-09,1
129,1100고지습지,2021-05-10,4
130,1100고지습지,2021-05-11,2
131,1100고지습지,2021-05-12,1
132,1100고지습지,2021-05-13,1
133,1100고지습지,2021-05-14,1
134,1100고지습지,2021-05-15,3
135,1100고지습지,2021-05-16,4
136,1100고지습지,2021-05-17,1
137,1100고지습지,2021-05-18,1
138,1100고지습지,2021-05-19,3
139,1100고지습지,2021-05-20,2
140,1100고지습지,2021-05-21,2
141,1100고지습지,2021-05-22,3
142,1100고지습지,2021-05-23,3
143,1100고지습지,2021-05-24,3
144,1100고지습지,2021-05-25,2
145,1100고지습지,2021-05-26,7
146,1100고지습지,2021-05-27,4
147,1100고지습지,2021-05-28,3
148,1100고지습지,2021-05-29,4
149,1100고지습지,2021-05-30,2
150,1100고지습지,2021-05-31,2
151,1100고지습지,2021-06-01,3
152,1100고지습지,2021-06-02,2
153,1100고지습지,2021-06-03,2
154,1100고지습지,2021-06-04,0
155,1100고지습지,2021-06-05,1
156,1100고지습지,2021-06-06,4
157,1100고지습지,2021-06-07,0
158,1100고지습지,2021-06-08,2
159,1100고지습지,2021-06-09,0
160,1100고지습지,2021-06-10,3
161,1100고지습지,2021-06-11,2
162,1100고지습지,2021-06-12,2
163,1100고지습지,2021-06-13,3
164,1100고지습지,2021-06-14,4
165,1100고지습지,2021-06-15,1
166,1100고지습지,2021-06-16,4
167,1100고지습지,2021-06-17,4
168,1100고지습지,2021-06-18,3
169,1100고지습지,2021-06-19,5
170,1100고지습지,2021-06-20,4
171,1100고지습지,2021-06-21,2
172,1100고지습지,2021-06-22,2
173,1100고지습지,2021-06-23,2
174,1100고지습지,2021-06-24,4
175,1100고지습지,2021-06-25,2
176,1100고지습지,2021-06-26,2
177,1100고지습지,2021-06-27,2
178,1100고지습지,2021-06-28,1
179,1100고지습지,2021-06-29,3
180,1100고지습지,2021-06-30,3
181,1100고지습지,2021-07-01,2
182,1100고지습지,2021-07-02,3
183,1100고지습지,2021-07-03,2
184,1100고지습지,2021-07-04,2
185,1100고지습지,2021-07-05,1
186,1100고지습지,2021-07-06,3
187,1100고지습지,2021-07-07,2
188,1100고지습지,2021-07-08,4
189,1100고지습지,2021-07-09,2
190,1100고지습지,2021-07-10,2
191,1100고지습지,2021-07-11,2
192,1100고지습지,2021-07-12,2
193,1100고지습지,2021-07-13,1
194,1100고지습지,2021-07-14,1
195,1100고지습지,2021-07-15,2
196,1100고지습지,2021-07-16,4
197,1100고지습지,2021-07-17,0
198,1100고지습지,2021-07-18,4
199,1100고지습지,2021-07-19,2
200,1100고지습지,2021-07-20,2
201,1100고지습지,2021-07-21,3
202,1100고지습지,2021-07-22,3
203,1100고지습지,2021-07-23,3
204,1100고지습지,2021-07-24,1
205,1100고지습지,2021-07-25,2
206,1100고지습지,2021-07-26,3
207,1100고지습지,2021-07-27,1
208,1100고지습지,2021-07-28,0
209,1100고지습지,2021-07-29,4
210,1100고지습지,2021-07-30,2
211,1100고지습지,2021-07-31,1
212,1100고지습지,2021-08-01,2
213,1100고지습지,2021-08-02,1
214,1100고지습지,2021-08-03,3
215,1100고지습지,2021-08-04,2
216,1100고지습지,2021-08-05,0
217,1100고지습지,2021-08-06,3
218,1100고지습지,2021-08-07,2
219,1100고지습지,2021-08-08,1
220,1100고지습지,2021-08-09,1
221,1100고지습지,2021-08-10,1
222,1100고지습지,2021-08-11,2
223,1100고지습지,2021-08-12,3
224,1100고지습지,2021-08-13,3
225,1100고지습지,2021-08-14,1
226,1100고지습지,2021-08-15,2
227,1100고지습지,2021-08-16,1
228,1100고지습지,2021-08-17,1
229,1100고지습지,2021-08-18,5
230,1100고지습지,2021-08-19,3
231,1100고지습지,2021-08-20,0
232,1100고지습지,2021-08-21,0
233,1100고지습지,2021-08-22,0
234,1100고지습지,2021-08-23,0
235,1100고지습지,2021-08-24,1
236,1100고지습지,2021-08-25,0
237,1100고지습지,2021-08-26,1
238,1100고지습지,2021-08-27,0
239,1100고지습지,2021-08-28,1
240,1100고지습지,2021-08-29,2
241,1100고지습지,2021-08-30,1
242,1100고지습지,2021-08-31,2
243,1100고지습지,2021-09-01,2
244,1100고지습지,2021-09-02,2
245,1100고지습지,2021-09-03,1
246,1100고지습지,2021-09-04,1
247,1100고지습지,2021-09-05,0
248,1100고지습지,2021-09-06,1
249,1100고지습지,2021-09-07,4
250,1100고지습지,2021-09-08,2
251,1100고지습지,2021-09-09,7
252,1100고지습지,2021-09-10,1
253,1100고지습지,2021-09-11,0
254,1100고지습지,2021-09-12,0
255,1100고지습지,2021-09-13,1
