,관광지,날짜,버즈량
0,가파도,2021-01-01,17
1,가파도,2021-01-02,18
2,가파도,2021-01-03,20
3,가파도,2021-01-04,32
4,가파도,2021-01-05,18
5,가파도,2021-01-06,29
6,가파도,2021-01-07,23
7,가파도,2021-01-08,18
8,가파도,2021-01-09,15
9,가파도,2021-01-10,26
10,가파도,2021-01-11,17
11,가파도,2021-01-12,15
12,가파도,2021-01-13,24
13,가파도,2021-01-14,28
14,가파도,2021-01-15,22
15,가파도,2021-01-16,20
16,가파도,2021-01-17,10
17,가파도,2021-01-18,15
18,가파도,2021-01-19,25
19,가파도,2021-01-20,17
20,가파도,2021-01-21,18
21,가파도,2021-01-22,24
22,가파도,2021-01-23,19
23,가파도,2021-01-24,19
24,가파도,2021-01-25,13
25,가파도,2021-01-26,19
26,가파도,2021-01-27,27
27,가파도,2021-01-28,22
28,가파도,2021-01-29,24
29,가파도,2021-01-30,19
30,가파도,2021-01-31,20
31,가파도,2021-02-01,11
32,가파도,2021-02-02,39
33,가파도,2021-02-03,30
34,가파도,2021-02-04,28
35,가파도,2021-02-05,20
36,가파도,2021-02-06,17
37,가파도,2021-02-07,24
38,가파도,2021-02-08,25
39,가파도,2021-02-09,26
40,가파도,2021-02-10,14
41,가파도,2021-02-11,19
42,가파도,2021-02-12,12
43,가파도,2021-02-13,25
44,가파도,2021-02-14,9
45,가파도,2021-02-15,30
46,가파도,2021-02-16,23
47,가파도,2021-02-17,21
48,가파도,2021-02-18,15
49,가파도,2021-02-19,25
50,가파도,2021-02-20,11
51,가파도,2021-02-21,11
52,가파도,2021-02-22,16
53,가파도,2021-02-23,14
54,가파도,2021-02-24,27
55,가파도,2021-02-25,32
56,가파도,2021-02-26,28
57,가파도,2021-02-27,33
58,가파도,2021-02-28,14
59,가파도,2021-03-01,17
60,가파도,2021-03-02,32
61,가파도,2021-03-03,28
62,가파도,2021-03-04,24
63,가파도,2021-03-05,20
64,가파도,2021-03-06,18
65,가파도,2021-03-07,14
66,가파도,2021-03-08,29
67,가파도,2021-03-09,24
68,가파도,2021-03-10,34
69,가파도,2021-03-11,47
70,가파도,2021-03-12,28
71,가파도,2021-03-13,14
72,가파도,2021-03-14,23
73,가파도,2021-03-15,33
74,가파도,2021-03-16,27
75,가파도,2021-03-17,40
76,가파도,2021-03-18,29
77,가파도,2021-03-19,43
78,가파도,2021-03-20,28
79,가파도,2021-03-21,34
80,가파도,2021-03-22,35
81,가파도,2021-03-23,39
82,가파도,2021-03-24,32
83,가파도,2021-03-25,42
84,가파도,2021-03-26,40
85,가파도,2021-03-27,35
86,가파도,2021-03-28,29
87,가파도,2021-03-29,35
88,가파도,2021-03-30,39
89,가파도,2021-03-31,60
90,가파도,2021-04-01,52
91,가파도,2021-04-02,42
92,가파도,2021-04-03,34
93,가파도,2021-04-04,29
94,가파도,2021-04-05,45
95,가파도,2021-04-06,43
96,가파도,2021-04-07,64
97,가파도,2021-04-08,64
98,가파도,2021-04-09,69
99,가파도,2021-04-10,59
100,가파도,2021-04-11,39
101,가파도,2021-04-12,75
102,가파도,2021-04-13,64
103,가파도,2021-04-14,63
104,가파도,2021-04-15,68
105,가파도,2021-04-16,81
106,가파도,2021-04-17,55
107,가파도,2021-04-18,78
108,가파도,2021-04-19,80
109,가파도,2021-04-20,74
110,가파도,2021-04-21,81
111,가파도,2021-04-22,80
112,가파도,2021-04-23,97
113,가파도,2021-04-24,78
114,가파도,2021-04-25,71
115,가파도,2021-04-26,73
116,가파도,2021-04-27,80
117,가파도,2021-04-28,84
118,가파도,2021-04-29,75
119,가파도,2021-04-30,79
120,가파도,2021-05-01,109
121,가파도,2021-05-02,101
122,가파도,2021-05-03,106
123,가파도,2021-05-04,71
124,가파도,2021-05-05,63
125,가파도,2021-05-06,62
126,가파도,2021-05-07,76
127,가파도,2021-05-08,73
128,가파도,2021-05-09,55
129,가파도,2021-05-10,66
130,가파도,2021-05-11,61
131,가파도,2021-05-12,54
132,가파도,2021-05-13,61
133,가파도,2021-05-14,63
134,가파도,2021-05-15,45
135,가파도,2021-05-16,51
136,가파도,2021-05-17,55
137,가파도,2021-05-18,54
138,가파도,2021-05-19,51
139,가파도,2021-05-20,58
140,가파도,2021-05-21,54
141,가파도,2021-05-22,52
142,가파도,2021-05-23,51
143,가파도,2021-05-24,70
144,가파도,2021-05-25,59
145,가파도,2021-05-26,73
146,가파도,2021-05-27,67
147,가파도,2021-05-28,70
148,가파도,2021-05-29,59
149,가파도,2021-05-30,55
150,가파도,2021-05-31,48
151,가파도,2021-06-01,64
152,가파도,2021-06-02,62
153,가파도,2021-06-03,47
154,가파도,2021-06-04,51
155,가파도,2021-06-05,27
156,가파도,2021-06-06,30
157,가파도,2021-06-07,42
158,가파도,2021-06-08,35
159,가파도,2021-06-09,36
160,가파도,2021-06-10,36
161,가파도,2021-06-11,34
162,가파도,2021-06-12,29
163,가파도,2021-06-13,36
164,가파도,2021-06-14,39
165,가파도,2021-06-15,35
166,가파도,2021-06-16,51
167,가파도,2021-06-17,47
168,가파도,2021-06-18,34
169,가파도,2021-06-19,31
170,가파도,2021-06-20,37
171,가파도,2021-06-21,46
172,가파도,2021-06-22,44
173,가파도,2021-06-23,48
174,가파도,2021-06-24,72
175,가파도,2021-06-25,35
176,가파도,2021-06-26,30
177,가파도,2021-06-27,44
178,가파도,2021-06-28,41
179,가파도,2021-06-29,38
180,가파도,2021-06-30,35
181,가파도,2021-07-01,32
182,가파도,2021-07-02,37
183,가파도,2021-07-03,33
184,가파도,2021-07-04,32
185,가파도,2021-07-05,40
186,가파도,2021-07-06,26
187,가파도,2021-07-07,30
188,가파도,2021-07-08,32
189,가파도,2021-07-09,30
190,가파도,2021-07-10,32
191,가파도,2021-07-11,36
192,가파도,2021-07-12,38
193,가파도,2021-07-13,18
194,가파도,2021-07-14,25
195,가파도,2021-07-15,20
196,가파도,2021-07-16,18
197,가파도,2021-07-17,17
198,가파도,2021-07-18,17
199,가파도,2021-07-19,16
200,가파도,2021-07-20,20
201,가파도,2021-07-21,26
202,가파도,2021-07-22,32
203,가파도,2021-07-23,31
204,가파도,2021-07-24,29
205,가파도,2021-07-25,14
206,가파도,2021-07-26,29
207,가파도,2021-07-27,26
208,가파도,2021-07-28,28
209,가파도,2021-07-29,26
210,가파도,2021-07-30,36
211,가파도,2021-07-31,26
212,가파도,2021-08-01,24
213,가파도,2021-08-02,28
214,가파도,2021-08-03,32
215,가파도,2021-08-04,31
216,가파도,2021-08-05,29
217,가파도,2021-08-06,35
218,가파도,2021-08-07,39
219,가파도,2021-08-08,29
220,가파도,2021-08-09,40
221,가파도,2021-08-10,40
222,가파도,2021-08-11,43
223,가파도,2021-08-12,33
224,가파도,2021-08-13,26
225,가파도,2021-08-14,26
226,가파도,2021-08-15,36
227,가파도,2021-08-16,49
228,가파도,2021-08-17,42
229,가파도,2021-08-18,37
230,가파도,2021-08-19,28
231,가파도,2021-08-20,29
232,가파도,2021-08-21,26
