,관광지,날짜,버즈량
0,거문오름,2021-01-01,6
1,거문오름,2021-01-02,14
2,거문오름,2021-01-03,11
3,거문오름,2021-01-04,10
4,거문오름,2021-01-05,15
5,거문오름,2021-01-06,7
6,거문오름,2021-01-07,11
7,거문오름,2021-01-08,5
8,거문오름,2021-01-09,6
9,거문오름,2021-01-10,1
10,거문오름,2021-01-11,10
11,거문오름,2021-01-12,6
12,거문오름,2021-01-13,5
13,거문오름,2021-01-14,10
14,거문오름,2021-01-15,1
15,거문오름,2021-01-16,3
16,거문오름,2021-01-17,5
17,거문오름,2021-01-18,7
18,거문오름,2021-01-19,9
19,거문오름,2021-01-20,5
20,거문오름,2021-01-21,9
21,거문오름,2021-01-22,10
22,거문오름,2021-01-23,5
23,거문오름,2021-01-24,10
24,거문오름,2021-01-25,3
25,거문오름,2021-01-26,4
26,거문오름,2021-01-27,8
27,거문오름,2021-01-28,5
28,거문오름,2021-01-29,6
29,거문오름,2021-01-30,2
30,거문오름,2021-01-31,10
31,거문오름,2021-02-01,10
32,거문오름,2021-02-02,8
33,거문오름,2021-02-03,9
34,거문오름,2021-02-04,12
35,거문오름,2021-02-05,8
36,거문오름,2021-02-06,5
37,거문오름,2021-02-07,4
38,거문오름,2021-02-08,9
39,거문오름,2021-02-09,11
40,거문오름,2021-02-10,11
41,거문오름,2021-02-11,4
42,거문오름,2021-02-12,7
43,거문오름,2021-02-13,6
44,거문오름,2021-02-14,7
45,거문오름,2021-02-15,12
46,거문오름,2021-02-16,11
47,거문오름,2021-02-17,8
48,거문오름,2021-02-18,6
49,거문오름,2021-02-19,11
50,거문오름,2021-02-20,6
51,거문오름,2021-02-21,7
52,거문오름,2021-02-22,7
53,거문오름,2021-02-23,4
54,거문오름,2021-02-24,10
55,거문오름,2021-02-25,9
56,거문오름,2021-02-26,7
57,거문오름,2021-02-27,3
58,거문오름,2021-02-28,11
59,거문오름,2021-03-01,10
60,거문오름,2021-03-02,8
61,거문오름,2021-03-03,10
62,거문오름,2021-03-04,9
63,거문오름,2021-03-05,8
64,거문오름,2021-03-06,6
65,거문오름,2021-03-07,3
66,거문오름,2021-03-08,7
67,거문오름,2021-03-09,8
68,거문오름,2021-03-10,10
69,거문오름,2021-03-11,3
70,거문오름,2021-03-12,6
71,거문오름,2021-03-13,3
72,거문오름,2021-03-14,8
73,거문오름,2021-03-15,9
74,거문오름,2021-03-16,12
75,거문오름,2021-03-17,12
76,거문오름,2021-03-18,6
77,거문오름,2021-03-19,5
78,거문오름,2021-03-20,10
79,거문오름,2021-03-21,9
80,거문오름,2021-03-22,9
81,거문오름,2021-03-23,5
82,거문오름,2021-03-24,6
83,거문오름,2021-03-25,13
84,거문오름,2021-03-26,7
85,거문오름,2021-03-27,9
86,거문오름,2021-03-28,13
87,거문오름,2021-03-29,5
88,거문오름,2021-03-30,7
89,거문오름,2021-03-31,14
90,거문오름,2021-04-01,9
91,거문오름,2021-04-02,8
92,거문오름,2021-04-03,8
93,거문오름,2021-04-04,12
94,거문오름,2021-04-05,10
95,거문오름,2021-04-06,9
96,거문오름,2021-04-07,11
97,거문오름,2021-04-08,6
98,거문오름,2021-04-09,7
99,거문오름,2021-04-10,7
100,거문오름,2021-04-11,6
101,거문오름,2021-04-12,3
102,거문오름,2021-04-13,14
103,거문오름,2021-04-14,7
104,거문오름,2021-04-15,10
105,거문오름,2021-04-16,5
106,거문오름,2021-04-17,5
107,거문오름,2021-04-18,4
108,거문오름,2021-04-19,4
109,거문오름,2021-04-20,9
110,거문오름,2021-04-21,19
111,거문오름,2021-04-22,13
112,거문오름,2021-04-23,10
113,거문오름,2021-04-24,11
114,거문오름,2021-04-25,5
115,거문오름,2021-04-26,6
116,거문오름,2021-04-27,12
117,거문오름,2021-04-28,10
118,거문오름,2021-04-29,4
119,거문오름,2021-04-30,12
120,거문오름,2021-05-01,11
121,거문오름,2021-05-02,11
122,거문오름,2021-05-03,17
123,거문오름,2021-05-04,14
124,거문오름,2021-05-05,13
125,거문오름,2021-05-06,13
126,거문오름,2021-05-07,12
127,거문오름,2021-05-08,16
128,거문오름,2021-05-09,7
129,거문오름,2021-05-10,12
130,거문오름,2021-05-11,16
131,거문오름,2021-05-12,10
132,거문오름,2021-05-13,11
133,거문오름,2021-05-14,14
134,거문오름,2021-05-15,12
135,거문오름,2021-05-16,11
136,거문오름,2021-05-17,10
137,거문오름,2021-05-18,7
138,거문오름,2021-05-19,12
139,거문오름,2021-05-20,9
140,거문오름,2021-05-21,11
141,거문오름,2021-05-22,9
142,거문오름,2021-05-23,13
143,거문오름,2021-05-24,12
144,거문오름,2021-05-25,7
145,거문오름,2021-05-26,11
146,거문오름,2021-05-27,9
147,거문오름,2021-05-28,18
148,거문오름,2021-05-29,12
149,거문오름,2021-05-30,15
150,거문오름,2021-05-31,14
151,거문오름,2021-06-01,9
152,거문오름,2021-06-02,8
153,거문오름,2021-06-03,12
154,거문오름,2021-06-04,9
155,거문오름,2021-06-05,6
156,거문오름,2021-06-06,7
157,거문오름,2021-06-07,10
158,거문오름,2021-06-08,9
159,거문오름,2021-06-09,7
160,거문오름,2021-06-10,15
161,거문오름,2021-06-11,7
162,거문오름,2021-06-12,11
163,거문오름,2021-06-13,9
164,거문오름,2021-06-14,15
165,거문오름,2021-06-15,15
166,거문오름,2021-06-16,6
167,거문오름,2021-06-17,13
168,거문오름,2021-06-18,10
169,거문오름,2021-06-19,8
170,거문오름,2021-06-20,16
171,거문오름,2021-06-21,19
172,거문오름,2021-06-22,8
173,거문오름,2021-06-23,16
174,거문오름,2021-06-24,7
175,거문오름,2021-06-25,12
176,거문오름,2021-06-26,10
177,거문오름,2021-06-27,15
178,거문오름,2021-06-28,11
179,거문오름,2021-06-29,18
180,거문오름,2021-06-30,22
181,거문오름,2021-07-01,10
182,거문오름,2021-07-02,13
183,거문오름,2021-07-03,12
184,거문오름,2021-07-04,5
185,거문오름,2021-07-05,14
186,거문오름,2021-07-06,11
187,거문오름,2021-07-07,11
188,거문오름,2021-07-08,12
189,거문오름,2021-07-09,10
190,거문오름,2021-07-10,7
191,거문오름,2021-07-11,9
192,거문오름,2021-07-12,10
193,거문오름,2021-07-13,11
194,거문오름,2021-07-14,7
195,거문오름,2021-07-15,15
196,거문오름,2021-07-16,11
197,거문오름,2021-07-17,6
198,거문오름,2021-07-18,12
199,거문오름,2021-07-19,10
200,거문오름,2021-07-20,11
201,거문오름,2021-07-21,12
202,거문오름,2021-07-22,12
203,거문오름,2021-07-23,10
204,거문오름,2021-07-24,8
205,거문오름,2021-07-25,13
206,거문오름,2021-07-26,15
207,거문오름,2021-07-27,10
208,거문오름,2021-07-28,15
209,거문오름,2021-07-29,10
210,거문오름,2021-07-30,17
211,거문오름,2021-07-31,4
212,거문오름,2021-08-01,3
213,거문오름,2021-08-02,7
214,거문오름,2021-08-03,8
215,거문오름,2021-08-04,10
216,거문오름,2021-08-05,7
217,거문오름,2021-08-06,13
218,거문오름,2021-08-07,10
219,거문오름,2021-08-08,7
220,거문오름,2021-08-09,9
221,거문오름,2021-08-10,10
222,거문오름,2021-08-11,8
223,거문오름,2021-08-12,14
224,거문오름,2021-08-13,13
225,거문오름,2021-08-14,8
226,거문오름,2021-08-15,5
227,거문오름,2021-08-16,14
228,거문오름,2021-08-17,13
229,거문오름,2021-08-18,14
230,거문오름,2021-08-19,6
231,거문오름,2021-08-20,6
232,거문오름,2021-08-21,5
233,거문오름,2021-08-22,9
234,거문오름,2021-08-23,14
235,거문오름,2021-08-24,5
236,거문오름,2021-08-25,8
237,거문오름,2021-08-26,3
238,거문오름,2021-08-27,6
239,거문오름,2021-08-28,6
240,거문오름,2021-08-29,9
241,거문오름,2021-08-30,6
242,거문오름,2021-08-31,9
243,거문오름,2021-09-01,10
244,거문오름,2021-09-02,8
245,거문오름,2021-09-03,6
246,거문오름,2021-09-04,7
247,거문오름,2021-09-05,11
248,거문오름,2021-09-06,5
249,거문오름,2021-09-07,12
250,거문오름,2021-09-08,2
