,관광지,날짜,버즈량
0,건강과성박물관,2021-01-01,0
1,건강과성박물관,2021-01-02,1
2,건강과성박물관,2021-01-03,1
3,건강과성박물관,2021-01-04,0
4,건강과성박물관,2021-01-05,1
5,건강과성박물관,2021-01-06,4
6,건강과성박물관,2021-01-07,1
7,건강과성박물관,2021-01-08,0
8,건강과성박물관,2021-01-09,1
9,건강과성박물관,2021-01-10,1
10,건강과성박물관,2021-01-11,1
11,건강과성박물관,2021-01-12,2
12,건강과성박물관,2021-01-13,0
13,건강과성박물관,2021-01-14,1
14,건강과성박물관,2021-01-15,1
15,건강과성박물관,2021-01-16,0
16,건강과성박물관,2021-01-17,1
17,건강과성박물관,2021-01-18,2
18,건강과성박물관,2021-01-19,2
19,건강과성박물관,2021-01-20,2
20,건강과성박물관,2021-01-21,1
21,건강과성박물관,2021-01-22,1
22,건강과성박물관,2021-01-23,0
23,건강과성박물관,2021-01-24,1
24,건강과성박물관,2021-01-25,1
25,건강과성박물관,2021-01-26,1
26,건강과성박물관,2021-01-27,0
27,건강과성박물관,2021-01-28,1
28,건강과성박물관,2021-01-29,1
29,건강과성박물관,2021-01-30,1
30,건강과성박물관,2021-01-31,1
31,건강과성박물관,2021-02-01,1
32,건강과성박물관,2021-02-02,1
33,건강과성박물관,2021-02-03,0
34,건강과성박물관,2021-02-04,0
35,건강과성박물관,2021-02-05,1
36,건강과성박물관,2021-02-06,1
37,건강과성박물관,2021-02-07,1
38,건강과성박물관,2021-02-08,0
39,건강과성박물관,2021-02-09,1
40,건강과성박물관,2021-02-10,1
41,건강과성박물관,2021-02-11,0
42,건강과성박물관,2021-02-12,0
43,건강과성박물관,2021-02-13,2
44,건강과성박물관,2021-02-14,1
45,건강과성박물관,2021-02-15,0
46,건강과성박물관,2021-02-16,2
47,건강과성박물관,2021-02-17,1
48,건강과성박물관,2021-02-18,2
49,건강과성박물관,2021-02-19,1
50,건강과성박물관,2021-02-20,3
51,건강과성박물관,2021-02-21,1
52,건강과성박물관,2021-02-22,4
53,건강과성박물관,2021-02-23,3
54,건강과성박물관,2021-02-24,1
55,건강과성박물관,2021-02-25,1
56,건강과성박물관,2021-02-26,2
57,건강과성박물관,2021-02-27,3
58,건강과성박물관,2021-02-28,4
59,건강과성박물관,2021-03-01,2
60,건강과성박물관,2021-03-02,1
61,건강과성박물관,2021-03-03,4
62,건강과성박물관,2021-03-04,1
63,건강과성박물관,2021-03-05,1
64,건강과성박물관,2021-03-06,5
65,건강과성박물관,2021-03-07,1
66,건강과성박물관,2021-03-08,1
67,건강과성박물관,2021-03-09,1
68,건강과성박물관,2021-03-10,1
69,건강과성박물관,2021-03-11,2
70,건강과성박물관,2021-03-12,1
71,건강과성박물관,2021-03-13,1
72,건강과성박물관,2021-03-14,2
73,건강과성박물관,2021-03-15,0
74,건강과성박물관,2021-03-16,4
75,건강과성박물관,2021-03-17,2
76,건강과성박물관,2021-03-18,1
77,건강과성박물관,2021-03-19,1
78,건강과성박물관,2021-03-20,1
79,건강과성박물관,2021-03-21,0
80,건강과성박물관,2021-03-22,1
81,건강과성박물관,2021-03-23,3
82,건강과성박물관,2021-03-24,3
83,건강과성박물관,2021-03-25,1
84,건강과성박물관,2021-03-26,1
85,건강과성박물관,2021-03-27,3
86,건강과성박물관,2021-03-28,0
87,건강과성박물관,2021-03-29,2
88,건강과성박물관,2021-03-30,0
89,건강과성박물관,2021-03-31,0
90,건강과성박물관,2021-04-01,0
91,건강과성박물관,2021-04-02,2
92,건강과성박물관,2021-04-03,0
93,건강과성박물관,2021-04-04,0
94,건강과성박물관,2021-04-05,0
95,건강과성박물관,2021-04-06,2
96,건강과성박물관,2021-04-07,2
97,건강과성박물관,2021-04-08,2
98,건강과성박물관,2021-04-09,1
99,건강과성박물관,2021-04-10,0
100,건강과성박물관,2021-04-11,1
101,건강과성박물관,2021-04-12,1
102,건강과성박물관,2021-04-13,0
103,건강과성박물관,2021-04-14,2
104,건강과성박물관,2021-04-15,3
105,건강과성박물관,2021-04-16,0
106,건강과성박물관,2021-04-17,2
107,건강과성박물관,2021-04-18,2
108,건강과성박물관,2021-04-19,0
109,건강과성박물관,2021-04-20,2
110,건강과성박물관,2021-04-21,3
111,건강과성박물관,2021-04-22,1
112,건강과성박물관,2021-04-23,1
113,건강과성박물관,2021-04-24,0
114,건강과성박물관,2021-04-25,0
115,건강과성박물관,2021-04-26,1
116,건강과성박물관,2021-04-27,0
117,건강과성박물관,2021-04-28,1
118,건강과성박물관,2021-04-29,3
119,건강과성박물관,2021-04-30,1
120,건강과성박물관,2021-05-01,1
121,건강과성박물관,2021-05-02,1
122,건강과성박물관,2021-05-03,1
123,건강과성박물관,2021-05-04,3
124,건강과성박물관,2021-05-05,3
125,건강과성박물관,2021-05-06,0
126,건강과성박물관,2021-05-07,1
127,건강과성박물관,2021-05-08,2
128,건강과성박물관,2021-05-09,2
129,건강과성박물관,2021-05-10,0
130,건강과성박물관,2021-05-11,4
131,건강과성박물관,2021-05-12,4
132,건강과성박물관,2021-05-13,3
133,건강과성박물관,2021-05-14,2
134,건강과성박물관,2021-05-15,2
135,건강과성박물관,2021-05-16,0
136,건강과성박물관,2021-05-17,2
137,건강과성박물관,2021-05-18,0
138,건강과성박물관,2021-05-19,1
139,건강과성박물관,2021-05-20,2
140,건강과성박물관,2021-05-21,1
141,건강과성박물관,2021-05-22,2
142,건강과성박물관,2021-05-23,0
143,건강과성박물관,2021-05-24,1
144,건강과성박물관,2021-05-25,1
145,건강과성박물관,2021-05-26,1
146,건강과성박물관,2021-05-27,4
147,건강과성박물관,2021-05-28,2
148,건강과성박물관,2021-05-29,2
149,건강과성박물관,2021-05-30,0
150,건강과성박물관,2021-05-31,3
151,건강과성박물관,2021-06-01,1
152,건강과성박물관,2021-06-02,3
153,건강과성박물관,2021-06-03,0
154,건강과성박물관,2021-06-04,2
155,건강과성박물관,2021-06-05,1
156,건강과성박물관,2021-06-06,0
157,건강과성박물관,2021-06-07,1
158,건강과성박물관,2021-06-08,1
159,건강과성박물관,2021-06-09,2
160,건강과성박물관,2021-06-10,1
161,건강과성박물관,2021-06-11,0
162,건강과성박물관,2021-06-12,0
163,건강과성박물관,2021-06-13,1
164,건강과성박물관,2021-06-14,2
165,건강과성박물관,2021-06-15,0
166,건강과성박물관,2021-06-16,1
167,건강과성박물관,2021-06-17,1
168,건강과성박물관,2021-06-18,3
169,건강과성박물관,2021-06-19,2
170,건강과성박물관,2021-06-20,0
171,건강과성박물관,2021-06-21,1
172,건강과성박물관,2021-06-22,5
173,건강과성박물관,2021-06-23,2
174,건강과성박물관,2021-06-24,1
175,건강과성박물관,2021-06-25,2
176,건강과성박물관,2021-06-26,0
177,건강과성박물관,2021-06-27,2
178,건강과성박물관,2021-06-28,0
179,건강과성박물관,2021-06-29,1
180,건강과성박물관,2021-06-30,3
181,건강과성박물관,2021-07-01,1
182,건강과성박물관,2021-07-02,0
183,건강과성박물관,2021-07-03,0
184,건강과성박물관,2021-07-04,1
185,건강과성박물관,2021-07-05,2
186,건강과성박물관,2021-07-06,2
187,건강과성박물관,2021-07-07,4
188,건강과성박물관,2021-07-08,2
189,건강과성박물관,2021-07-09,1
190,건강과성박물관,2021-07-10,1
191,건강과성박물관,2021-07-11,2
192,건강과성박물관,2021-07-12,0
193,건강과성박물관,2021-07-13,1
194,건강과성박물관,2021-07-14,0
195,건강과성박물관,2021-07-15,1
196,건강과성박물관,2021-07-16,2
197,건강과성박물관,2021-07-17,1
198,건강과성박물관,2021-07-18,2
199,건강과성박물관,2021-07-19,3
