,관광지,날짜,버즈량
0,검멀레해수욕장,2021-01-01,3
1,검멀레해수욕장,2021-01-02,6
2,검멀레해수욕장,2021-01-03,1
3,검멀레해수욕장,2021-01-04,5
4,검멀레해수욕장,2021-01-05,2
5,검멀레해수욕장,2021-01-06,2
6,검멀레해수욕장,2021-01-07,1
7,검멀레해수욕장,2021-01-08,2
8,검멀레해수욕장,2021-01-09,1
9,검멀레해수욕장,2021-01-10,7
10,검멀레해수욕장,2021-01-11,6
11,검멀레해수욕장,2021-01-12,3
12,검멀레해수욕장,2021-01-13,3
13,검멀레해수욕장,2021-01-14,4
14,검멀레해수욕장,2021-01-15,7
15,검멀레해수욕장,2021-01-16,1
16,검멀레해수욕장,2021-01-17,7
17,검멀레해수욕장,2021-01-18,7
18,검멀레해수욕장,2021-01-19,8
19,검멀레해수욕장,2021-01-20,6
20,검멀레해수욕장,2021-01-21,4
21,검멀레해수욕장,2021-01-22,1
22,검멀레해수욕장,2021-01-23,6
23,검멀레해수욕장,2021-01-24,2
24,검멀레해수욕장,2021-01-25,2
25,검멀레해수욕장,2021-01-26,4
26,검멀레해수욕장,2021-01-27,4
27,검멀레해수욕장,2021-01-28,3
28,검멀레해수욕장,2021-01-29,4
29,검멀레해수욕장,2021-01-30,3
30,검멀레해수욕장,2021-01-31,4
31,검멀레해수욕장,2021-02-01,1
32,검멀레해수욕장,2021-02-02,3
33,검멀레해수욕장,2021-02-03,3
34,검멀레해수욕장,2021-02-04,1
35,검멀레해수욕장,2021-02-05,2
36,검멀레해수욕장,2021-02-06,6
37,검멀레해수욕장,2021-02-07,5
38,검멀레해수욕장,2021-02-08,2
39,검멀레해수욕장,2021-02-09,2
40,검멀레해수욕장,2021-02-10,6
41,검멀레해수욕장,2021-02-11,4
42,검멀레해수욕장,2021-02-12,1
43,검멀레해수욕장,2021-02-13,2
44,검멀레해수욕장,2021-02-14,2
45,검멀레해수욕장,2021-02-15,5
46,검멀레해수욕장,2021-02-16,8
47,검멀레해수욕장,2021-02-17,7
48,검멀레해수욕장,2021-02-18,4
49,검멀레해수욕장,2021-02-19,5
50,검멀레해수욕장,2021-02-20,5
51,검멀레해수욕장,2021-02-21,7
52,검멀레해수욕장,2021-02-22,5
53,검멀레해수욕장,2021-02-23,6
54,검멀레해수욕장,2021-02-24,4
55,검멀레해수욕장,2021-02-25,3
56,검멀레해수욕장,2021-02-26,9
57,검멀레해수욕장,2021-02-27,8
58,검멀레해수욕장,2021-02-28,4
59,검멀레해수욕장,2021-03-01,6
60,검멀레해수욕장,2021-03-02,5
61,검멀레해수욕장,2021-03-03,2
62,검멀레해수욕장,2021-03-04,4
63,검멀레해수욕장,2021-03-05,10
64,검멀레해수욕장,2021-03-06,4
65,검멀레해수욕장,2021-03-07,6
66,검멀레해수욕장,2021-03-08,3
67,검멀레해수욕장,2021-03-09,7
68,검멀레해수욕장,2021-03-10,8
69,검멀레해수욕장,2021-03-11,8
70,검멀레해수욕장,2021-03-12,7
