,관광지,날짜,버즈량
0,국립제주박물관,2021-01-01,2
1,국립제주박물관,2021-01-02,0
2,국립제주박물관,2021-01-03,4
3,국립제주박물관,2021-01-04,1
4,국립제주박물관,2021-01-05,6
5,국립제주박물관,2021-01-06,1
6,국립제주박물관,2021-01-07,1
7,국립제주박물관,2021-01-08,1
8,국립제주박물관,2021-01-09,1
9,국립제주박물관,2021-01-10,4
10,국립제주박물관,2021-01-11,4
11,국립제주박물관,2021-01-12,1
12,국립제주박물관,2021-01-13,2
13,국립제주박물관,2021-01-14,8
14,국립제주박물관,2021-01-15,5
15,국립제주박물관,2021-01-16,1
16,국립제주박물관,2021-01-17,2
17,국립제주박물관,2021-01-18,2
18,국립제주박물관,2021-01-19,3
19,국립제주박물관,2021-01-20,1
20,국립제주박물관,2021-01-21,4
21,국립제주박물관,2021-01-22,1
22,국립제주박물관,2021-01-23,1
23,국립제주박물관,2021-01-24,3
24,국립제주박물관,2021-01-25,2
25,국립제주박물관,2021-01-26,5
26,국립제주박물관,2021-01-27,8
27,국립제주박물관,2021-01-28,2
28,국립제주박물관,2021-01-29,1
29,국립제주박물관,2021-01-30,2
30,국립제주박물관,2021-01-31,1
31,국립제주박물관,2021-02-01,0
32,국립제주박물관,2021-02-02,2
33,국립제주박물관,2021-02-03,3
34,국립제주박물관,2021-02-04,4
35,국립제주박물관,2021-02-05,1
36,국립제주박물관,2021-02-06,0
37,국립제주박물관,2021-02-07,4
38,국립제주박물관,2021-02-08,2
39,국립제주박물관,2021-02-09,3
40,국립제주박물관,2021-02-10,2
41,국립제주박물관,2021-02-11,0
42,국립제주박물관,2021-02-12,4
43,국립제주박물관,2021-02-13,2
44,국립제주박물관,2021-02-14,2
45,국립제주박물관,2021-02-15,5
46,국립제주박물관,2021-02-16,5
47,국립제주박물관,2021-02-17,3
48,국립제주박물관,2021-02-18,3
49,국립제주박물관,2021-02-19,4
50,국립제주박물관,2021-02-20,2
51,국립제주박물관,2021-02-21,1
52,국립제주박물관,2021-02-22,4
53,국립제주박물관,2021-02-23,2
54,국립제주박물관,2021-02-24,5
55,국립제주박물관,2021-02-25,3
56,국립제주박물관,2021-02-26,3
57,국립제주박물관,2021-02-27,2
58,국립제주박물관,2021-02-28,2
59,국립제주박물관,2021-03-01,2
60,국립제주박물관,2021-03-02,1
61,국립제주박물관,2021-03-03,0
62,국립제주박물관,2021-03-04,0
63,국립제주박물관,2021-03-05,0
64,국립제주박물관,2021-03-06,4
65,국립제주박물관,2021-03-07,1
66,국립제주박물관,2021-03-08,2
67,국립제주박물관,2021-03-09,2
68,국립제주박물관,2021-03-10,3
69,국립제주박물관,2021-03-11,4
70,국립제주박물관,2021-03-12,5
71,국립제주박물관,2021-03-13,1
72,국립제주박물관,2021-03-14,2
73,국립제주박물관,2021-03-15,1
74,국립제주박물관,2021-03-16,1
75,국립제주박물관,2021-03-17,2
76,국립제주박물관,2021-03-18,3
77,국립제주박물관,2021-03-19,4
78,국립제주박물관,2021-03-20,1
79,국립제주박물관,2021-03-21,3
80,국립제주박물관,2021-03-22,4
81,국립제주박물관,2021-03-23,2
82,국립제주박물관,2021-03-24,4
83,국립제주박물관,2021-03-25,3
84,국립제주박물관,2021-03-26,3
85,국립제주박물관,2021-03-27,3
86,국립제주박물관,2021-03-28,2
87,국립제주박물관,2021-03-29,0
88,국립제주박물관,2021-03-30,2
89,국립제주박물관,2021-03-31,2
90,국립제주박물관,2021-04-01,2
91,국립제주박물관,2021-04-02,3
92,국립제주박물관,2021-04-03,0
93,국립제주박물관,2021-04-04,0
94,국립제주박물관,2021-04-05,0
95,국립제주박물관,2021-04-06,4
96,국립제주박물관,2021-04-07,4
97,국립제주박물관,2021-04-08,4
98,국립제주박물관,2021-04-09,2
99,국립제주박물관,2021-04-10,0
100,국립제주박물관,2021-04-11,3
101,국립제주박물관,2021-04-12,4
102,국립제주박물관,2021-04-13,3
103,국립제주박물관,2021-04-14,3
104,국립제주박물관,2021-04-15,1
105,국립제주박물관,2021-04-16,2
106,국립제주박물관,2021-04-17,1
107,국립제주박물관,2021-04-18,2
108,국립제주박물관,2021-04-19,3
109,국립제주박물관,2021-04-20,2
110,국립제주박물관,2021-04-21,3
111,국립제주박물관,2021-04-22,2
112,국립제주박물관,2021-04-23,1
113,국립제주박물관,2021-04-24,2
114,국립제주박물관,2021-04-25,4
115,국립제주박물관,2021-04-26,1
116,국립제주박물관,2021-04-27,2
117,국립제주박물관,2021-04-28,1
118,국립제주박물관,2021-04-29,3
119,국립제주박물관,2021-04-30,1
120,국립제주박물관,2021-05-01,2
121,국립제주박물관,2021-05-02,4
122,국립제주박물관,2021-05-03,5
123,국립제주박물관,2021-05-04,0
124,국립제주박물관,2021-05-05,2
125,국립제주박물관,2021-05-06,2
126,국립제주박물관,2021-05-07,7
127,국립제주박물관,2021-05-08,1
128,국립제주박물관,2021-05-09,2
129,국립제주박물관,2021-05-10,1
130,국립제주박물관,2021-05-11,5
131,국립제주박물관,2021-05-12,3
132,국립제주박물관,2021-05-13,2
133,국립제주박물관,2021-05-14,5
134,국립제주박물관,2021-05-15,0
135,국립제주박물관,2021-05-16,1
136,국립제주박물관,2021-05-17,0
137,국립제주박물관,2021-05-18,3
138,국립제주박물관,2021-05-19,1
139,국립제주박물관,2021-05-20,5
140,국립제주박물관,2021-05-21,2
141,국립제주박물관,2021-05-22,2
142,국립제주박물관,2021-05-23,3
143,국립제주박물관,2021-05-24,2
144,국립제주박물관,2021-05-25,5
145,국립제주박물관,2021-05-26,4
146,국립제주박물관,2021-05-27,3
147,국립제주박물관,2021-05-28,6
148,국립제주박물관,2021-05-29,1
149,국립제주박물관,2021-05-30,1
150,국립제주박물관,2021-05-31,0
151,국립제주박물관,2021-06-01,4
152,국립제주박물관,2021-06-02,3
153,국립제주박물관,2021-06-03,0
154,국립제주박물관,2021-06-04,5
155,국립제주박물관,2021-06-05,1
156,국립제주박물관,2021-06-06,1
157,국립제주박물관,2021-06-07,2
158,국립제주박물관,2021-06-08,1
159,국립제주박물관,2021-06-09,2
160,국립제주박물관,2021-06-10,1
161,국립제주박물관,2021-06-11,0
162,국립제주박물관,2021-06-12,0
163,국립제주박물관,2021-06-13,0
164,국립제주박물관,2021-06-14,3
165,국립제주박물관,2021-06-15,6
166,국립제주박물관,2021-06-16,4
167,국립제주박물관,2021-06-17,3
168,국립제주박물관,2021-06-18,5
169,국립제주박물관,2021-06-19,4
170,국립제주박물관,2021-06-20,1
171,국립제주박물관,2021-06-21,4
172,국립제주박물관,2021-06-22,4
173,국립제주박물관,2021-06-23,3
174,국립제주박물관,2021-06-24,3
175,국립제주박물관,2021-06-25,3
176,국립제주박물관,2021-06-26,0
177,국립제주박물관,2021-06-27,0
178,국립제주박물관,2021-06-28,0
179,국립제주박물관,2021-06-29,2
180,국립제주박물관,2021-06-30,1
181,국립제주박물관,2021-07-01,0
182,국립제주박물관,2021-07-02,5
183,국립제주박물관,2021-07-03,2
184,국립제주박물관,2021-07-04,2
185,국립제주박물관,2021-07-05,1
186,국립제주박물관,2021-07-06,1
187,국립제주박물관,2021-07-07,8
188,국립제주박물관,2021-07-08,2
189,국립제주박물관,2021-07-09,2
190,국립제주박물관,2021-07-10,2
191,국립제주박물관,2021-07-11,4
192,국립제주박물관,2021-07-12,0
193,국립제주박물관,2021-07-13,2
194,국립제주박물관,2021-07-14,1
195,국립제주박물관,2021-07-15,1
196,국립제주박물관,2021-07-16,3
197,국립제주박물관,2021-07-17,2
198,국립제주박물관,2021-07-18,5
