,관광지,날짜,버즈량
0,군산오름,2021-01-01,6
1,군산오름,2021-01-02,10
2,군산오름,2021-01-03,5
3,군산오름,2021-01-04,9
4,군산오름,2021-01-05,5
5,군산오름,2021-01-06,8
6,군산오름,2021-01-07,5
7,군산오름,2021-01-08,13
8,군산오름,2021-01-09,5
9,군산오름,2021-01-10,8
10,군산오름,2021-01-11,13
11,군산오름,2021-01-12,6
12,군산오름,2021-01-13,10
13,군산오름,2021-01-14,9
14,군산오름,2021-01-15,9
15,군산오름,2021-01-16,4
16,군산오름,2021-01-17,10
17,군산오름,2021-01-18,12
18,군산오름,2021-01-19,14
19,군산오름,2021-01-20,8
20,군산오름,2021-01-21,7
21,군산오름,2021-01-22,10
22,군산오름,2021-01-23,9
23,군산오름,2021-01-24,9
24,군산오름,2021-01-25,16
25,군산오름,2021-01-26,12
26,군산오름,2021-01-27,12
27,군산오름,2021-01-28,5
28,군산오름,2021-01-29,10
29,군산오름,2021-01-30,6
30,군산오름,2021-01-31,11
31,군산오름,2021-02-01,12
32,군산오름,2021-02-02,14
33,군산오름,2021-02-03,8
34,군산오름,2021-02-04,15
35,군산오름,2021-02-05,12
36,군산오름,2021-02-06,9
37,군산오름,2021-02-07,5
38,군산오름,2021-02-08,13
39,군산오름,2021-02-09,15
40,군산오름,2021-02-10,12
41,군산오름,2021-02-11,10
42,군산오름,2021-02-12,6
43,군산오름,2021-02-13,9
44,군산오름,2021-02-14,5
45,군산오름,2021-02-15,16
46,군산오름,2021-02-16,11
47,군산오름,2021-02-17,10
48,군산오름,2021-02-18,15
49,군산오름,2021-02-19,10
50,군산오름,2021-02-20,8
51,군산오름,2021-02-21,10
52,군산오름,2021-02-22,8
53,군산오름,2021-02-23,6
54,군산오름,2021-02-24,8
55,군산오름,2021-02-25,8
56,군산오름,2021-02-26,5
57,군산오름,2021-02-27,9
58,군산오름,2021-02-28,12
59,군산오름,2021-03-01,9
60,군산오름,2021-03-02,12
61,군산오름,2021-03-03,14
62,군산오름,2021-03-04,13
63,군산오름,2021-03-05,15
