,관광지,날짜,버즈량
0,그리스신화박물관,2021-01-01,0
1,그리스신화박물관,2021-01-02,1
2,그리스신화박물관,2021-01-03,1
3,그리스신화박물관,2021-01-04,2
4,그리스신화박물관,2021-01-05,0
5,그리스신화박물관,2021-01-06,1
6,그리스신화박물관,2021-01-07,1
7,그리스신화박물관,2021-01-08,2
8,그리스신화박물관,2021-01-09,2
9,그리스신화박물관,2021-01-10,1
10,그리스신화박물관,2021-01-11,2
11,그리스신화박물관,2021-01-12,2
12,그리스신화박물관,2021-01-13,1
13,그리스신화박물관,2021-01-14,0
14,그리스신화박물관,2021-01-15,0
15,그리스신화박물관,2021-01-16,0
16,그리스신화박물관,2021-01-17,0
17,그리스신화박물관,2021-01-18,0
18,그리스신화박물관,2021-01-19,0
19,그리스신화박물관,2021-01-20,1
20,그리스신화박물관,2021-01-21,1
21,그리스신화박물관,2021-01-22,1
22,그리스신화박물관,2021-01-23,2
23,그리스신화박물관,2021-01-24,3
24,그리스신화박물관,2021-01-25,2
25,그리스신화박물관,2021-01-26,0
26,그리스신화박물관,2021-01-27,1
27,그리스신화박물관,2021-01-28,0
28,그리스신화박물관,2021-01-29,0
29,그리스신화박물관,2021-01-30,0
30,그리스신화박물관,2021-01-31,1
31,그리스신화박물관,2021-02-01,2
32,그리스신화박물관,2021-02-02,1
33,그리스신화박물관,2021-02-03,0
34,그리스신화박물관,2021-02-04,0
35,그리스신화박물관,2021-02-05,1
36,그리스신화박물관,2021-02-06,2
37,그리스신화박물관,2021-02-07,0
38,그리스신화박물관,2021-02-08,1
39,그리스신화박물관,2021-02-09,0
40,그리스신화박물관,2021-02-10,0
41,그리스신화박물관,2021-02-11,0
42,그리스신화박물관,2021-02-12,0
43,그리스신화박물관,2021-02-13,1
44,그리스신화박물관,2021-02-14,1
45,그리스신화박물관,2021-02-15,1
46,그리스신화박물관,2021-02-16,1
47,그리스신화박물관,2021-02-17,2
48,그리스신화박물관,2021-02-18,1
49,그리스신화박물관,2021-02-19,2
50,그리스신화박물관,2021-02-20,2
51,그리스신화박물관,2021-02-21,0
52,그리스신화박물관,2021-02-22,2
53,그리스신화박물관,2021-02-23,1
54,그리스신화박물관,2021-02-24,0
55,그리스신화박물관,2021-02-25,0
56,그리스신화박물관,2021-02-26,1
57,그리스신화박물관,2021-02-27,0
58,그리스신화박물관,2021-02-28,0
59,그리스신화박물관,2021-03-01,1
60,그리스신화박물관,2021-03-02,0
61,그리스신화박물관,2021-03-03,0
62,그리스신화박물관,2021-03-04,0
63,그리스신화박물관,2021-03-05,0
64,그리스신화박물관,2021-03-06,2
65,그리스신화박물관,2021-03-07,0
66,그리스신화박물관,2021-03-08,0
67,그리스신화박물관,2021-03-09,0
68,그리스신화박물관,2021-03-10,0
69,그리스신화박물관,2021-03-11,0
70,그리스신화박물관,2021-03-12,0
71,그리스신화박물관,2021-03-13,1
72,그리스신화박물관,2021-03-14,1
73,그리스신화박물관,2021-03-15,5
74,그리스신화박물관,2021-03-16,2
75,그리스신화박물관,2021-03-17,0
76,그리스신화박물관,2021-03-18,3
77,그리스신화박물관,2021-03-19,0
78,그리스신화박물관,2021-03-20,0
79,그리스신화박물관,2021-03-21,0
80,그리스신화박물관,2021-03-22,1
81,그리스신화박물관,2021-03-23,0
82,그리스신화박물관,2021-03-24,0
83,그리스신화박물관,2021-03-25,0
84,그리스신화박물관,2021-03-26,2
85,그리스신화박물관,2021-03-27,0
86,그리스신화박물관,2021-03-28,1
87,그리스신화박물관,2021-03-29,1
88,그리스신화박물관,2021-03-30,0
89,그리스신화박물관,2021-03-31,0
90,그리스신화박물관,2021-04-01,0
91,그리스신화박물관,2021-04-02,0
92,그리스신화박물관,2021-04-03,0
93,그리스신화박물관,2021-04-04,0
94,그리스신화박물관,2021-04-05,0
95,그리스신화박물관,2021-04-06,1
96,그리스신화박물관,2021-04-07,0
97,그리스신화박물관,2021-04-08,1
98,그리스신화박물관,2021-04-09,0
99,그리스신화박물관,2021-04-10,1
100,그리스신화박물관,2021-04-11,0
101,그리스신화박물관,2021-04-12,0
102,그리스신화박물관,2021-04-13,0
103,그리스신화박물관,2021-04-14,0
104,그리스신화박물관,2021-04-15,1
105,그리스신화박물관,2021-04-16,1
106,그리스신화박물관,2021-04-17,1
107,그리스신화박물관,2021-04-18,0
108,그리스신화박물관,2021-04-19,1
109,그리스신화박물관,2021-04-20,1
110,그리스신화박물관,2021-04-21,1
111,그리스신화박물관,2021-04-22,2
112,그리스신화박물관,2021-04-23,2
113,그리스신화박물관,2021-04-24,2
114,그리스신화박물관,2021-04-25,2
115,그리스신화박물관,2021-04-26,1
116,그리스신화박물관,2021-04-27,0
117,그리스신화박물관,2021-04-28,0
118,그리스신화박물관,2021-04-29,2
119,그리스신화박물관,2021-04-30,0
120,그리스신화박물관,2021-05-01,1
121,그리스신화박물관,2021-05-02,1
122,그리스신화박물관,2021-05-03,2
123,그리스신화박물관,2021-05-04,2
124,그리스신화박물관,2021-05-05,0
125,그리스신화박물관,2021-05-06,1
126,그리스신화박물관,2021-05-07,0
127,그리스신화박물관,2021-05-08,2
128,그리스신화박물관,2021-05-09,1
129,그리스신화박물관,2021-05-10,0
130,그리스신화박물관,2021-05-11,1
131,그리스신화박물관,2021-05-12,2
132,그리스신화박물관,2021-05-13,1
133,그리스신화박물관,2021-05-14,3
134,그리스신화박물관,2021-05-15,1
135,그리스신화박물관,2021-05-16,1
136,그리스신화박물관,2021-05-17,0
137,그리스신화박물관,2021-05-18,1
138,그리스신화박물관,2021-05-19,0
139,그리스신화박물관,2021-05-20,0
140,그리스신화박물관,2021-05-21,0
141,그리스신화박물관,2021-05-22,2
142,그리스신화박물관,2021-05-23,1
143,그리스신화박물관,2021-05-24,3
144,그리스신화박물관,2021-05-25,1
145,그리스신화박물관,2021-05-26,0
146,그리스신화박물관,2021-05-27,0
147,그리스신화박물관,2021-05-28,2
148,그리스신화박물관,2021-05-29,2
149,그리스신화박물관,2021-05-30,2
150,그리스신화박물관,2021-05-31,2
151,그리스신화박물관,2021-06-01,1
152,그리스신화박물관,2021-06-02,1
153,그리스신화박물관,2021-06-03,0
154,그리스신화박물관,2021-06-04,0
155,그리스신화박물관,2021-06-05,0
156,그리스신화박물관,2021-06-06,1
157,그리스신화박물관,2021-06-07,0
158,그리스신화박물관,2021-06-08,0
159,그리스신화박물관,2021-06-09,0
160,그리스신화박물관,2021-06-10,2
161,그리스신화박물관,2021-06-11,1
162,그리스신화박물관,2021-06-12,1
163,그리스신화박물관,2021-06-13,2
164,그리스신화박물관,2021-06-14,3
165,그리스신화박물관,2021-06-15,0
166,그리스신화박물관,2021-06-16,0
167,그리스신화박물관,2021-06-17,1
168,그리스신화박물관,2021-06-18,3
169,그리스신화박물관,2021-06-19,0
170,그리스신화박물관,2021-06-20,1
171,그리스신화박물관,2021-06-21,0
172,그리스신화박물관,2021-06-22,1
173,그리스신화박물관,2021-06-23,1
174,그리스신화박물관,2021-06-24,2
175,그리스신화박물관,2021-06-25,3
176,그리스신화박물관,2021-06-26,0
177,그리스신화박물관,2021-06-27,2
178,그리스신화박물관,2021-06-28,2
179,그리스신화박물관,2021-06-29,0
180,그리스신화박물관,2021-06-30,2
181,그리스신화박물관,2021-07-01,0
182,그리스신화박물관,2021-07-02,1
183,그리스신화박물관,2021-07-03,0
184,그리스신화박물관,2021-07-04,1
185,그리스신화박물관,2021-07-05,2
186,그리스신화박물관,2021-07-06,1
187,그리스신화박물관,2021-07-07,1
188,그리스신화박물관,2021-07-08,0
189,그리스신화박물관,2021-07-09,0
190,그리스신화박물관,2021-07-10,2
191,그리스신화박물관,2021-07-11,0
192,그리스신화박물관,2021-07-12,2
193,그리스신화박물관,2021-07-13,3
194,그리스신화박물관,2021-07-14,2
195,그리스신화박물관,2021-07-15,1
196,그리스신화박물관,2021-07-16,0
197,그리스신화박물관,2021-07-17,1
198,그리스신화박물관,2021-07-18,1
199,그리스신화박물관,2021-07-19,3
200,그리스신화박물관,2021-07-20,1
201,그리스신화박물관,2021-07-21,1
202,그리스신화박물관,2021-07-22,1
203,그리스신화박물관,2021-07-23,2
204,그리스신화박물관,2021-07-24,1
205,그리스신화박물관,2021-07-25,1
206,그리스신화박물관,2021-07-26,1
207,그리스신화박물관,2021-07-27,1
208,그리스신화박물관,2021-07-28,2
209,그리스신화박물관,2021-07-29,2
210,그리스신화박물관,2021-07-30,0
211,그리스신화박물관,2021-07-31,0
212,그리스신화박물관,2021-08-01,1
213,그리스신화박물관,2021-08-02,2
214,그리스신화박물관,2021-08-03,4
215,그리스신화박물관,2021-08-04,0
216,그리스신화박물관,2021-08-05,2
217,그리스신화박물관,2021-08-06,2
218,그리스신화박물관,2021-08-07,3
219,그리스신화박물관,2021-08-08,0
220,그리스신화박물관,2021-08-09,1
221,그리스신화박물관,2021-08-10,3
222,그리스신화박물관,2021-08-11,1
223,그리스신화박물관,2021-08-12,1
224,그리스신화박물관,2021-08-13,1
225,그리스신화박물관,2021-08-14,0
226,그리스신화박물관,2021-08-15,2
227,그리스신화박물관,2021-08-16,1
228,그리스신화박물관,2021-08-17,1
229,그리스신화박물관,2021-08-18,4
230,그리스신화박물관,2021-08-19,2
231,그리스신화박물관,2021-08-20,0
232,그리스신화박물관,2021-08-21,0
233,그리스신화박물관,2021-08-22,1
234,그리스신화박물관,2021-08-23,3
235,그리스신화박물관,2021-08-24,0
236,그리스신화박물관,2021-08-25,1
237,그리스신화박물관,2021-08-26,2
238,그리스신화박물관,2021-08-27,2
239,그리스신화박물관,2021-08-28,0
240,그리스신화박물관,2021-08-29,0
241,그리스신화박물관,2021-08-30,1
242,그리스신화박물관,2021-08-31,1
243,그리스신화박물관,2021-09-01,0
244,그리스신화박물관,2021-09-02,0
245,그리스신화박물관,2021-09-03,1
246,그리스신화박물관,2021-09-04,1
247,그리스신화박물관,2021-09-05,0
248,그리스신화박물관,2021-09-06,2
