,관광지,날짜,버즈량
0,금능석물원,2021-01-01,0
1,금능석물원,2021-01-02,0
2,금능석물원,2021-01-03,1
3,금능석물원,2021-01-04,0
4,금능석물원,2021-01-05,0
5,금능석물원,2021-01-06,1
6,금능석물원,2021-01-07,0
7,금능석물원,2021-01-08,0
8,금능석물원,2021-01-09,0
9,금능석물원,2021-01-10,0
10,금능석물원,2021-01-11,1
11,금능석물원,2021-01-12,0
12,금능석물원,2021-01-13,2
13,금능석물원,2021-01-14,1
14,금능석물원,2021-01-15,0
15,금능석물원,2021-01-16,0
16,금능석물원,2021-01-17,0
17,금능석물원,2021-01-18,0
18,금능석물원,2021-01-19,2
19,금능석물원,2021-01-20,0
20,금능석물원,2021-01-21,3
21,금능석물원,2021-01-22,1
22,금능석물원,2021-01-23,1
23,금능석물원,2021-01-24,2
24,금능석물원,2021-01-25,1
25,금능석물원,2021-01-26,1
26,금능석물원,2021-01-27,0
27,금능석물원,2021-01-28,2
28,금능석물원,2021-01-29,1
29,금능석물원,2021-01-30,1
30,금능석물원,2021-01-31,0
31,금능석물원,2021-02-01,0
32,금능석물원,2021-02-02,1
33,금능석물원,2021-02-03,0
34,금능석물원,2021-02-04,1
35,금능석물원,2021-02-05,1
36,금능석물원,2021-02-06,0
37,금능석물원,2021-02-07,0
38,금능석물원,2021-02-08,1
39,금능석물원,2021-02-09,1
40,금능석물원,2021-02-10,1
41,금능석물원,2021-02-11,3
42,금능석물원,2021-02-12,1
43,금능석물원,2021-02-13,1
44,금능석물원,2021-02-14,1
45,금능석물원,2021-02-15,0
46,금능석물원,2021-02-16,1
47,금능석물원,2021-02-17,0
48,금능석물원,2021-02-18,1
49,금능석물원,2021-02-19,1
50,금능석물원,2021-02-20,1
51,금능석물원,2021-02-21,0
52,금능석물원,2021-02-22,2
53,금능석물원,2021-02-23,2
54,금능석물원,2021-02-24,3
55,금능석물원,2021-02-25,0
56,금능석물원,2021-02-26,0
57,금능석물원,2021-02-27,1
58,금능석물원,2021-02-28,1
59,금능석물원,2021-03-01,1
60,금능석물원,2021-03-02,3
61,금능석물원,2021-03-03,1
