,관광지,날짜,버즈량
0,금오름,2021-01-01,25
1,금오름,2021-01-02,20
2,금오름,2021-01-03,23
3,금오름,2021-01-04,15
4,금오름,2021-01-05,14
5,금오름,2021-01-06,12
6,금오름,2021-01-07,13
7,금오름,2021-01-08,9
8,금오름,2021-01-09,14
9,금오름,2021-01-10,17
10,금오름,2021-01-11,23
11,금오름,2021-01-12,15
12,금오름,2021-01-13,18
13,금오름,2021-01-14,15
14,금오름,2021-01-15,13
15,금오름,2021-01-16,6
16,금오름,2021-01-17,18
17,금오름,2021-01-18,15
18,금오름,2021-01-19,17
19,금오름,2021-01-20,15
20,금오름,2021-01-21,18
21,금오름,2021-01-22,12
22,금오름,2021-01-23,14
23,금오름,2021-01-24,27
24,금오름,2021-01-25,16
25,금오름,2021-01-26,20
26,금오름,2021-01-27,12
27,금오름,2021-01-28,25
28,금오름,2021-01-29,17
29,금오름,2021-01-30,10
30,금오름,2021-01-31,21
31,금오름,2021-02-01,17
32,금오름,2021-02-02,15
33,금오름,2021-02-03,20
34,금오름,2021-02-04,22
35,금오름,2021-02-05,20
36,금오름,2021-02-06,20
37,금오름,2021-02-07,25
38,금오름,2021-02-08,33
39,금오름,2021-02-09,23
40,금오름,2021-02-10,22
41,금오름,2021-02-11,15
42,금오름,2021-02-12,18
43,금오름,2021-02-13,11
44,금오름,2021-02-14,21
45,금오름,2021-02-15,23
46,금오름,2021-02-16,28
47,금오름,2021-02-17,20
48,금오름,2021-02-18,18
49,금오름,2021-02-19,25
50,금오름,2021-02-20,11
51,금오름,2021-02-21,22
52,금오름,2021-02-22,21
53,금오름,2021-02-23,25
54,금오름,2021-02-24,30
55,금오름,2021-02-25,22
56,금오름,2021-02-26,19
57,금오름,2021-02-27,11
58,금오름,2021-02-28,22
59,금오름,2021-03-01,34
60,금오름,2021-03-02,27
61,금오름,2021-03-03,15
62,금오름,2021-03-04,19
63,금오름,2021-03-05,22
64,금오름,2021-03-06,17
65,금오름,2021-03-07,16
66,금오름,2021-03-08,22
67,금오름,2021-03-09,27
68,금오름,2021-03-10,34
69,금오름,2021-03-11,22
70,금오름,2021-03-12,30
71,금오름,2021-03-13,13
72,금오름,2021-03-14,23
73,금오름,2021-03-15,21
74,금오름,2021-03-16,26
75,금오름,2021-03-17,26
76,금오름,2021-03-18,31
77,금오름,2021-03-19,24
78,금오름,2021-03-20,33
79,금오름,2021-03-21,28
80,금오름,2021-03-22,37
81,금오름,2021-03-23,34
82,금오름,2021-03-24,39
83,금오름,2021-03-25,17
84,금오름,2021-03-26,25
85,금오름,2021-03-27,21
86,금오름,2021-03-28,28
87,금오름,2021-03-29,41
88,금오름,2021-03-30,32
89,금오름,2021-03-31,29
90,금오름,2021-04-01,34
91,금오름,2021-04-02,23
92,금오름,2021-04-03,30
93,금오름,2021-04-04,32
94,금오름,2021-04-05,34
95,금오름,2021-04-06,31
96,금오름,2021-04-07,31
