,관광지,날짜,버즈량
0,김녕미로공원,2021-01-01,1
1,김녕미로공원,2021-01-02,3
2,김녕미로공원,2021-01-03,3
3,김녕미로공원,2021-01-04,2
4,김녕미로공원,2021-01-05,2
5,김녕미로공원,2021-01-06,8
6,김녕미로공원,2021-01-07,7
7,김녕미로공원,2021-01-08,3
8,김녕미로공원,2021-01-09,3
9,김녕미로공원,2021-01-10,5
10,김녕미로공원,2021-01-11,5
11,김녕미로공원,2021-01-12,8
12,김녕미로공원,2021-01-13,4
13,김녕미로공원,2021-01-14,9
14,김녕미로공원,2021-01-15,3
15,김녕미로공원,2021-01-16,2
16,김녕미로공원,2021-01-17,2
17,김녕미로공원,2021-01-18,4
18,김녕미로공원,2021-01-19,5
19,김녕미로공원,2021-01-20,2
20,김녕미로공원,2021-01-21,2
21,김녕미로공원,2021-01-22,3
22,김녕미로공원,2021-01-23,2
23,김녕미로공원,2021-01-24,3
24,김녕미로공원,2021-01-25,1
25,김녕미로공원,2021-01-26,5
26,김녕미로공원,2021-01-27,3
27,김녕미로공원,2021-01-28,5
28,김녕미로공원,2021-01-29,1
29,김녕미로공원,2021-01-30,3
30,김녕미로공원,2021-01-31,2
31,김녕미로공원,2021-02-01,2
32,김녕미로공원,2021-02-02,4
33,김녕미로공원,2021-02-03,4
34,김녕미로공원,2021-02-04,7
35,김녕미로공원,2021-02-05,1
36,김녕미로공원,2021-02-06,3
37,김녕미로공원,2021-02-07,3
38,김녕미로공원,2021-02-08,5
39,김녕미로공원,2021-02-09,4
40,김녕미로공원,2021-02-10,3
41,김녕미로공원,2021-02-11,2
42,김녕미로공원,2021-02-12,1
43,김녕미로공원,2021-02-13,1
44,김녕미로공원,2021-02-14,3
45,김녕미로공원,2021-02-15,3
46,김녕미로공원,2021-02-16,3
47,김녕미로공원,2021-02-17,3
48,김녕미로공원,2021-02-18,6
49,김녕미로공원,2021-02-19,1
50,김녕미로공원,2021-02-20,3
51,김녕미로공원,2021-02-21,3
52,김녕미로공원,2021-02-22,3
53,김녕미로공원,2021-02-23,13
54,김녕미로공원,2021-02-24,2
55,김녕미로공원,2021-02-25,3
56,김녕미로공원,2021-02-26,4
57,김녕미로공원,2021-02-27,1
58,김녕미로공원,2021-02-28,3
59,김녕미로공원,2021-03-01,6
60,김녕미로공원,2021-03-02,7
61,김녕미로공원,2021-03-03,6
62,김녕미로공원,2021-03-04,1
63,김녕미로공원,2021-03-05,3
64,김녕미로공원,2021-03-06,7
65,김녕미로공원,2021-03-07,5
66,김녕미로공원,2021-03-08,6
67,김녕미로공원,2021-03-09,6
68,김녕미로공원,2021-03-10,6
69,김녕미로공원,2021-03-11,2
70,김녕미로공원,2021-03-12,3
71,김녕미로공원,2021-03-13,1
72,김녕미로공원,2021-03-14,5
73,김녕미로공원,2021-03-15,5
74,김녕미로공원,2021-03-16,7
75,김녕미로공원,2021-03-17,11
76,김녕미로공원,2021-03-18,3
77,김녕미로공원,2021-03-19,8
78,김녕미로공원,2021-03-20,7
79,김녕미로공원,2021-03-21,8
80,김녕미로공원,2021-03-22,2
81,김녕미로공원,2021-03-23,7
82,김녕미로공원,2021-03-24,9
83,김녕미로공원,2021-03-25,7
84,김녕미로공원,2021-03-26,2
85,김녕미로공원,2021-03-27,8
86,김녕미로공원,2021-03-28,3
87,김녕미로공원,2021-03-29,7
88,김녕미로공원,2021-03-30,6
89,김녕미로공원,2021-03-31,8
90,김녕미로공원,2021-04-01,7
91,김녕미로공원,2021-04-02,5
92,김녕미로공원,2021-04-03,4
93,김녕미로공원,2021-04-04,2
94,김녕미로공원,2021-04-05,2
95,김녕미로공원,2021-04-06,4
96,김녕미로공원,2021-04-07,6
97,김녕미로공원,2021-04-08,0
98,김녕미로공원,2021-04-09,8
