,관광지,날짜,버즈량
0,김녕해수욕장,2021-01-01,11
1,김녕해수욕장,2021-01-02,19
2,김녕해수욕장,2021-01-03,13
3,김녕해수욕장,2021-01-04,22
4,김녕해수욕장,2021-01-05,24
5,김녕해수욕장,2021-01-06,15
6,김녕해수욕장,2021-01-07,13
7,김녕해수욕장,2021-01-08,15
8,김녕해수욕장,2021-01-09,15
9,김녕해수욕장,2021-01-10,25
10,김녕해수욕장,2021-01-11,16
11,김녕해수욕장,2021-01-12,15
12,김녕해수욕장,2021-01-13,15
13,김녕해수욕장,2021-01-14,17
14,김녕해수욕장,2021-01-15,11
15,김녕해수욕장,2021-01-16,12
16,김녕해수욕장,2021-01-17,19
17,김녕해수욕장,2021-01-18,20
18,김녕해수욕장,2021-01-19,16
19,김녕해수욕장,2021-01-20,12
20,김녕해수욕장,2021-01-21,16
21,김녕해수욕장,2021-01-22,17
22,김녕해수욕장,2021-01-23,11
23,김녕해수욕장,2021-01-24,16
24,김녕해수욕장,2021-01-25,18
25,김녕해수욕장,2021-01-26,17
26,김녕해수욕장,2021-01-27,9
27,김녕해수욕장,2021-01-28,21
28,김녕해수욕장,2021-01-29,10
29,김녕해수욕장,2021-01-30,10
30,김녕해수욕장,2021-01-31,21
31,김녕해수욕장,2021-02-01,24
32,김녕해수욕장,2021-02-02,15
33,김녕해수욕장,2021-02-03,17
34,김녕해수욕장,2021-02-04,28
35,김녕해수욕장,2021-02-05,25
36,김녕해수욕장,2021-02-06,12
37,김녕해수욕장,2021-02-07,13
38,김녕해수욕장,2021-02-08,14
39,김녕해수욕장,2021-02-09,14
40,김녕해수욕장,2021-02-10,17
41,김녕해수욕장,2021-02-11,20
42,김녕해수욕장,2021-02-12,13
43,김녕해수욕장,2021-02-13,7
44,김녕해수욕장,2021-02-14,12
45,김녕해수욕장,2021-02-15,24
46,김녕해수욕장,2021-02-16,12
47,김녕해수욕장,2021-02-17,16
48,김녕해수욕장,2021-02-18,17
49,김녕해수욕장,2021-02-19,15
50,김녕해수욕장,2021-02-20,13
51,김녕해수욕장,2021-02-21,14
52,김녕해수욕장,2021-02-22,16
53,김녕해수욕장,2021-02-23,25
54,김녕해수욕장,2021-02-24,18
