,관광지,날짜,버즈량
0,다랑쉬오름,2021-01-01,7
1,다랑쉬오름,2021-01-02,11
2,다랑쉬오름,2021-01-03,8
3,다랑쉬오름,2021-01-04,8
4,다랑쉬오름,2021-01-05,6
5,다랑쉬오름,2021-01-06,10
6,다랑쉬오름,2021-01-07,6
7,다랑쉬오름,2021-01-08,7
8,다랑쉬오름,2021-01-09,4
9,다랑쉬오름,2021-01-10,12
10,다랑쉬오름,2021-01-11,7
11,다랑쉬오름,2021-01-12,4
12,다랑쉬오름,2021-01-13,9
13,다랑쉬오름,2021-01-14,12
14,다랑쉬오름,2021-01-15,9
15,다랑쉬오름,2021-01-16,5
16,다랑쉬오름,2021-01-17,10
17,다랑쉬오름,2021-01-18,5
18,다랑쉬오름,2021-01-19,9
19,다랑쉬오름,2021-01-20,6
20,다랑쉬오름,2021-01-21,10
21,다랑쉬오름,2021-01-22,8
22,다랑쉬오름,2021-01-23,8
23,다랑쉬오름,2021-01-24,10
24,다랑쉬오름,2021-01-25,15
25,다랑쉬오름,2021-01-26,18
26,다랑쉬오름,2021-01-27,18
27,다랑쉬오름,2021-01-28,12
28,다랑쉬오름,2021-01-29,8
29,다랑쉬오름,2021-01-30,8
30,다랑쉬오름,2021-01-31,14
31,다랑쉬오름,2021-02-01,9
32,다랑쉬오름,2021-02-02,16
33,다랑쉬오름,2021-02-03,9
34,다랑쉬오름,2021-02-04,11
35,다랑쉬오름,2021-02-05,19
36,다랑쉬오름,2021-02-06,14
37,다랑쉬오름,2021-02-07,11
38,다랑쉬오름,2021-02-08,13
39,다랑쉬오름,2021-02-09,13
40,다랑쉬오름,2021-02-10,9
41,다랑쉬오름,2021-02-11,7
42,다랑쉬오름,2021-02-12,7
43,다랑쉬오름,2021-02-13,8
44,다랑쉬오름,2021-02-14,10
45,다랑쉬오름,2021-02-15,11
46,다랑쉬오름,2021-02-16,11
47,다랑쉬오름,2021-02-17,10
48,다랑쉬오름,2021-02-18,7
49,다랑쉬오름,2021-02-19,12
50,다랑쉬오름,2021-02-20,6
51,다랑쉬오름,2021-02-21,11
52,다랑쉬오름,2021-02-22,8
53,다랑쉬오름,2021-02-23,10
54,다랑쉬오름,2021-02-24,6
55,다랑쉬오름,2021-02-25,9
56,다랑쉬오름,2021-02-26,19
57,다랑쉬오름,2021-02-27,16
58,다랑쉬오름,2021-02-28,13
59,다랑쉬오름,2021-03-01,9
60,다랑쉬오름,2021-03-02,10
61,다랑쉬오름,2021-03-03,12
62,다랑쉬오름,2021-03-04,8
63,다랑쉬오름,2021-03-05,5
64,다랑쉬오름,2021-03-06,8
65,다랑쉬오름,2021-03-07,8
66,다랑쉬오름,2021-03-08,6
67,다랑쉬오름,2021-03-09,6
68,다랑쉬오름,2021-03-10,6
69,다랑쉬오름,2021-03-11,7
70,다랑쉬오름,2021-03-12,8
71,다랑쉬오름,2021-03-13,3
72,다랑쉬오름,2021-03-14,9
73,다랑쉬오름,2021-03-15,9
74,다랑쉬오름,2021-03-16,8
75,다랑쉬오름,2021-03-17,9
76,다랑쉬오름,2021-03-18,7
77,다랑쉬오름,2021-03-19,13
78,다랑쉬오름,2021-03-20,6
79,다랑쉬오름,2021-03-21,12
80,다랑쉬오름,2021-03-22,14
81,다랑쉬오름,2021-03-23,10
82,다랑쉬오름,2021-03-24,6
83,다랑쉬오름,2021-03-25,10
84,다랑쉬오름,2021-03-26,4
85,다랑쉬오름,2021-03-27,8
86,다랑쉬오름,2021-03-28,5
87,다랑쉬오름,2021-03-29,9
88,다랑쉬오름,2021-03-30,8
89,다랑쉬오름,2021-03-31,10
90,다랑쉬오름,2021-04-01,4
91,다랑쉬오름,2021-04-02,7
92,다랑쉬오름,2021-04-03,19
93,다랑쉬오름,2021-04-04,10
94,다랑쉬오름,2021-04-05,9
95,다랑쉬오름,2021-04-06,7
96,다랑쉬오름,2021-04-07,13
97,다랑쉬오름,2021-04-08,15
98,다랑쉬오름,2021-04-09,10
99,다랑쉬오름,2021-04-10,2
100,다랑쉬오름,2021-04-11,12
101,다랑쉬오름,2021-04-12,13
102,다랑쉬오름,2021-04-13,10
103,다랑쉬오름,2021-04-14,20
104,다랑쉬오름,2021-04-15,26
105,다랑쉬오름,2021-04-16,14
106,다랑쉬오름,2021-04-17,11
107,다랑쉬오름,2021-04-18,15
108,다랑쉬오름,2021-04-19,12
109,다랑쉬오름,2021-04-20,28
110,다랑쉬오름,2021-04-21,23
111,다랑쉬오름,2021-04-22,18
112,다랑쉬오름,2021-04-23,15
113,다랑쉬오름,2021-04-24,15
114,다랑쉬오름,2021-04-25,17
115,다랑쉬오름,2021-04-26,20
116,다랑쉬오름,2021-04-27,9
117,다랑쉬오름,2021-04-28,12
118,다랑쉬오름,2021-04-29,18
119,다랑쉬오름,2021-04-30,12
120,다랑쉬오름,2021-05-01,22
121,다랑쉬오름,2021-05-02,24
122,다랑쉬오름,2021-05-03,21
123,다랑쉬오름,2021-05-04,15
124,다랑쉬오름,2021-05-05,12
125,다랑쉬오름,2021-05-06,18
126,다랑쉬오름,2021-05-07,13
127,다랑쉬오름,2021-05-08,8
