,관광지,날짜,버즈량
0,동문재래시장,2021-01-01,8
1,동문재래시장,2021-01-02,4
2,동문재래시장,2021-01-03,6
3,동문재래시장,2021-01-04,2
4,동문재래시장,2021-01-05,9
5,동문재래시장,2021-01-06,11
6,동문재래시장,2021-01-07,13
7,동문재래시장,2021-01-08,11
8,동문재래시장,2021-01-09,10
9,동문재래시장,2021-01-10,10
10,동문재래시장,2021-01-11,8
11,동문재래시장,2021-01-12,11
12,동문재래시장,2021-01-13,14
13,동문재래시장,2021-01-14,11
14,동문재래시장,2021-01-15,6
15,동문재래시장,2021-01-16,4
16,동문재래시장,2021-01-17,8
17,동문재래시장,2021-01-18,11
18,동문재래시장,2021-01-19,10
19,동문재래시장,2021-01-20,7
20,동문재래시장,2021-01-21,11
21,동문재래시장,2021-01-22,8
22,동문재래시장,2021-01-23,9
23,동문재래시장,2021-01-24,9
24,동문재래시장,2021-01-25,8
25,동문재래시장,2021-01-26,9
26,동문재래시장,2021-01-27,8
27,동문재래시장,2021-01-28,4
28,동문재래시장,2021-01-29,5
29,동문재래시장,2021-01-30,7
30,동문재래시장,2021-01-31,6
31,동문재래시장,2021-02-01,6
32,동문재래시장,2021-02-02,9
33,동문재래시장,2021-02-03,7
34,동문재래시장,2021-02-04,9
35,동문재래시장,2021-02-05,3
36,동문재래시장,2021-02-06,8
37,동문재래시장,2021-02-07,8
38,동문재래시장,2021-02-08,12
39,동문재래시장,2021-02-09,14
40,동문재래시장,2021-02-10,8
41,동문재래시장,2021-02-11,3
42,동문재래시장,2021-02-12,3
43,동문재래시장,2021-02-13,12
44,동문재래시장,2021-02-14,10
45,동문재래시장,2021-02-15,6
46,동문재래시장,2021-02-16,15
47,동문재래시장,2021-02-17,8
48,동문재래시장,2021-02-18,1
49,동문재래시장,2021-02-19,3
50,동문재래시장,2021-02-20,5
51,동문재래시장,2021-02-21,5
52,동문재래시장,2021-02-22,13
53,동문재래시장,2021-02-23,6
54,동문재래시장,2021-02-24,5
55,동문재래시장,2021-02-25,6
56,동문재래시장,2021-02-26,16
57,동문재래시장,2021-02-27,4
58,동문재래시장,2021-02-28,12
59,동문재래시장,2021-03-01,5
60,동문재래시장,2021-03-02,10
61,동문재래시장,2021-03-03,9
62,동문재래시장,2021-03-04,14
63,동문재래시장,2021-03-05,14
64,동문재래시장,2021-03-06,5
65,동문재래시장,2021-03-07,14
66,동문재래시장,2021-03-08,15
67,동문재래시장,2021-03-09,10
68,동문재래시장,2021-03-10,10
69,동문재래시장,2021-03-11,7
70,동문재래시장,2021-03-12,8
71,동문재래시장,2021-03-13,7
72,동문재래시장,2021-03-14,4
73,동문재래시장,2021-03-15,3
74,동문재래시장,2021-03-16,12
75,동문재래시장,2021-03-17,9
76,동문재래시장,2021-03-18,6
77,동문재래시장,2021-03-19,7
78,동문재래시장,2021-03-20,11
79,동문재래시장,2021-03-21,7
80,동문재래시장,2021-03-22,3
81,동문재래시장,2021-03-23,7
82,동문재래시장,2021-03-24,10
83,동문재래시장,2021-03-25,10
84,동문재래시장,2021-03-26,10
85,동문재래시장,2021-03-27,10
86,동문재래시장,2021-03-28,9
87,동문재래시장,2021-03-29,7
88,동문재래시장,2021-03-30,11
89,동문재래시장,2021-03-31,7
90,동문재래시장,2021-04-01,7
91,동문재래시장,2021-04-02,6
92,동문재래시장,2021-04-03,8
93,동문재래시장,2021-04-04,10
94,동문재래시장,2021-04-05,11
95,동문재래시장,2021-04-06,10
96,동문재래시장,2021-04-07,6
97,동문재래시장,2021-04-08,7
98,동문재래시장,2021-04-09,8
99,동문재래시장,2021-04-10,6
100,동문재래시장,2021-04-11,5
101,동문재래시장,2021-04-12,9
102,동문재래시장,2021-04-13,8
103,동문재래시장,2021-04-14,12
104,동문재래시장,2021-04-15,15
105,동문재래시장,2021-04-16,14
106,동문재래시장,2021-04-17,6
107,동문재래시장,2021-04-18,6
108,동문재래시장,2021-04-19,12
109,동문재래시장,2021-04-20,12
110,동문재래시장,2021-04-21,12
111,동문재래시장,2021-04-22,7
112,동문재래시장,2021-04-23,10
113,동문재래시장,2021-04-24,8
114,동문재래시장,2021-04-25,11
115,동문재래시장,2021-04-26,8
116,동문재래시장,2021-04-27,13
117,동문재래시장,2021-04-28,9
118,동문재래시장,2021-04-29,13
119,동문재래시장,2021-04-30,10
120,동문재래시장,2021-05-01,9
121,동문재래시장,2021-05-02,17
122,동문재래시장,2021-05-03,12
123,동문재래시장,2021-05-04,17
124,동문재래시장,2021-05-05,16
125,동문재래시장,2021-05-06,13
126,동문재래시장,2021-05-07,13
127,동문재래시장,2021-05-08,12
128,동문재래시장,2021-05-09,10
129,동문재래시장,2021-05-10,13
130,동문재래시장,2021-05-11,11
131,동문재래시장,2021-05-12,10
132,동문재래시장,2021-05-13,10
133,동문재래시장,2021-05-14,11
134,동문재래시장,2021-05-15,13
135,동문재래시장,2021-05-16,12
136,동문재래시장,2021-05-17,11
137,동문재래시장,2021-05-18,14
138,동문재래시장,2021-05-19,16
139,동문재래시장,2021-05-20,8
140,동문재래시장,2021-05-21,10
141,동문재래시장,2021-05-22,9
142,동문재래시장,2021-05-23,12
143,동문재래시장,2021-05-24,12
144,동문재래시장,2021-05-25,8
145,동문재래시장,2021-05-26,13
146,동문재래시장,2021-05-27,17
147,동문재래시장,2021-05-28,10
148,동문재래시장,2021-05-29,14
149,동문재래시장,2021-05-30,12
150,동문재래시장,2021-05-31,11
151,동문재래시장,2021-06-01,16
152,동문재래시장,2021-06-02,11
153,동문재래시장,2021-06-03,17
154,동문재래시장,2021-06-04,10
155,동문재래시장,2021-06-05,5
156,동문재래시장,2021-06-06,5
157,동문재래시장,2021-06-07,15
158,동문재래시장,2021-06-08,12
159,동문재래시장,2021-06-09,10
160,동문재래시장,2021-06-10,9
161,동문재래시장,2021-06-11,8
162,동문재래시장,2021-06-12,8
163,동문재래시장,2021-06-13,12
164,동문재래시장,2021-06-14,16
165,동문재래시장,2021-06-15,12
166,동문재래시장,2021-06-16,14
167,동문재래시장,2021-06-17,6
168,동문재래시장,2021-06-18,12
169,동문재래시장,2021-06-19,8
170,동문재래시장,2021-06-20,11
171,동문재래시장,2021-06-21,15
172,동문재래시장,2021-06-22,22
173,동문재래시장,2021-06-23,13
174,동문재래시장,2021-06-24,11
175,동문재래시장,2021-06-25,13
176,동문재래시장,2021-06-26,6
177,동문재래시장,2021-06-27,11
178,동문재래시장,2021-06-28,15
179,동문재래시장,2021-06-29,14
180,동문재래시장,2021-06-30,20
181,동문재래시장,2021-07-01,12
182,동문재래시장,2021-07-02,12
183,동문재래시장,2021-07-03,12
184,동문재래시장,2021-07-04,12
185,동문재래시장,2021-07-05,23
186,동문재래시장,2021-07-06,12
187,동문재래시장,2021-07-07,9
188,동문재래시장,2021-07-08,11
189,동문재래시장,2021-07-09,15
190,동문재래시장,2021-07-10,9
191,동문재래시장,2021-07-11,12
192,동문재래시장,2021-07-12,17
193,동문재래시장,2021-07-13,8
194,동문재래시장,2021-07-14,11
195,동문재래시장,2021-07-15,6
196,동문재래시장,2021-07-16,8
197,동문재래시장,2021-07-17,9
198,동문재래시장,2021-07-18,10
199,동문재래시장,2021-07-19,14
200,동문재래시장,2021-07-20,20
201,동문재래시장,2021-07-21,12
202,동문재래시장,2021-07-22,12
203,동문재래시장,2021-07-23,9
204,동문재래시장,2021-07-24,11
205,동문재래시장,2021-07-25,8
206,동문재래시장,2021-07-26,13
207,동문재래시장,2021-07-27,11
208,동문재래시장,2021-07-28,10
209,동문재래시장,2021-07-29,8
210,동문재래시장,2021-07-30,14
211,동문재래시장,2021-07-31,8
212,동문재래시장,2021-08-01,4
213,동문재래시장,2021-08-02,9
214,동문재래시장,2021-08-03,10
215,동문재래시장,2021-08-04,12
216,동문재래시장,2021-08-05,14
217,동문재래시장,2021-08-06,6
218,동문재래시장,2021-08-07,4
219,동문재래시장,2021-08-08,7
220,동문재래시장,2021-08-09,11
221,동문재래시장,2021-08-10,8
222,동문재래시장,2021-08-11,15
223,동문재래시장,2021-08-12,17
224,동문재래시장,2021-08-13,13
225,동문재래시장,2021-08-14,8
226,동문재래시장,2021-08-15,5
227,동문재래시장,2021-08-16,8
228,동문재래시장,2021-08-17,11
229,동문재래시장,2021-08-18,7
230,동문재래시장,2021-08-19,7
231,동문재래시장,2021-08-20,7
232,동문재래시장,2021-08-21,7
233,동문재래시장,2021-08-22,5
234,동문재래시장,2021-08-23,18
235,동문재래시장,2021-08-24,10
236,동문재래시장,2021-08-25,10
237,동문재래시장,2021-08-26,12
238,동문재래시장,2021-08-27,9
239,동문재래시장,2021-08-28,5
240,동문재래시장,2021-08-29,7
241,동문재래시장,2021-08-30,17
242,동문재래시장,2021-08-31,14
243,동문재래시장,2021-09-01,22
244,동문재래시장,2021-09-02,17
245,동문재래시장,2021-09-03,13
246,동문재래시장,2021-09-04,12
