,관광지,날짜,버즈량
0,따라비오름,2021-01-01,10
1,따라비오름,2021-01-02,4
2,따라비오름,2021-01-03,5
3,따라비오름,2021-01-04,6
4,따라비오름,2021-01-05,8
5,따라비오름,2021-01-06,5
6,따라비오름,2021-01-07,11
7,따라비오름,2021-01-08,6
8,따라비오름,2021-01-09,5
9,따라비오름,2021-01-10,9
10,따라비오름,2021-01-11,4
11,따라비오름,2021-01-12,2
12,따라비오름,2021-01-13,2
13,따라비오름,2021-01-14,3
14,따라비오름,2021-01-15,4
15,따라비오름,2021-01-16,4
16,따라비오름,2021-01-17,7
17,따라비오름,2021-01-18,3
18,따라비오름,2021-01-19,8
19,따라비오름,2021-01-20,2
20,따라비오름,2021-01-21,5
21,따라비오름,2021-01-22,6
22,따라비오름,2021-01-23,2
23,따라비오름,2021-01-24,4
24,따라비오름,2021-01-25,3
25,따라비오름,2021-01-26,4
26,따라비오름,2021-01-27,3
27,따라비오름,2021-01-28,4
28,따라비오름,2021-01-29,9
29,따라비오름,2021-01-30,10
30,따라비오름,2021-01-31,7
31,따라비오름,2021-02-01,6
32,따라비오름,2021-02-02,2
33,따라비오름,2021-02-03,3
34,따라비오름,2021-02-04,1
35,따라비오름,2021-02-05,8
36,따라비오름,2021-02-06,5
37,따라비오름,2021-02-07,7
38,따라비오름,2021-02-08,10
39,따라비오름,2021-02-09,3
40,따라비오름,2021-02-10,5
41,따라비오름,2021-02-11,8
42,따라비오름,2021-02-12,6
43,따라비오름,2021-02-13,5
44,따라비오름,2021-02-14,2
45,따라비오름,2021-02-15,6
46,따라비오름,2021-02-16,7
47,따라비오름,2021-02-17,2
48,따라비오름,2021-02-18,4
49,따라비오름,2021-02-19,7
50,따라비오름,2021-02-20,5
51,따라비오름,2021-02-21,4
52,따라비오름,2021-02-22,10
53,따라비오름,2021-02-23,6
54,따라비오름,2021-02-24,5
55,따라비오름,2021-02-25,5
56,따라비오름,2021-02-26,6
57,따라비오름,2021-02-27,3
58,따라비오름,2021-02-28,5
59,따라비오름,2021-03-01,4
