,관광지,날짜,버즈량
0,만장굴,2021-01-01,12
1,만장굴,2021-01-02,8
2,만장굴,2021-01-03,4
3,만장굴,2021-01-04,10
4,만장굴,2021-01-05,12
5,만장굴,2021-01-06,11
6,만장굴,2021-01-07,9
7,만장굴,2021-01-08,8
8,만장굴,2021-01-09,12
9,만장굴,2021-01-10,8
10,만장굴,2021-01-11,11
11,만장굴,2021-01-12,6
12,만장굴,2021-01-13,8
13,만장굴,2021-01-14,12
14,만장굴,2021-01-15,6
15,만장굴,2021-01-16,5
16,만장굴,2021-01-17,8
17,만장굴,2021-01-18,5
18,만장굴,2021-01-19,6
19,만장굴,2021-01-20,5
20,만장굴,2021-01-21,7
21,만장굴,2021-01-22,5
22,만장굴,2021-01-23,12
23,만장굴,2021-01-24,7
24,만장굴,2021-01-25,4
25,만장굴,2021-01-26,14
26,만장굴,2021-01-27,10
27,만장굴,2021-01-28,7
28,만장굴,2021-01-29,7
29,만장굴,2021-01-30,3
30,만장굴,2021-01-31,7
31,만장굴,2021-02-01,4
32,만장굴,2021-02-02,9
33,만장굴,2021-02-03,6
34,만장굴,2021-02-04,6
35,만장굴,2021-02-05,12
36,만장굴,2021-02-06,6
37,만장굴,2021-02-07,6
38,만장굴,2021-02-08,9
39,만장굴,2021-02-09,5
40,만장굴,2021-02-10,9
41,만장굴,2021-02-11,7
42,만장굴,2021-02-12,4
43,만장굴,2021-02-13,6
44,만장굴,2021-02-14,6
45,만장굴,2021-02-15,5
46,만장굴,2021-02-16,6
47,만장굴,2021-02-17,6
48,만장굴,2021-02-18,3
49,만장굴,2021-02-19,9
50,만장굴,2021-02-20,7
51,만장굴,2021-02-21,8
52,만장굴,2021-02-22,4
53,만장굴,2021-02-23,11
54,만장굴,2021-02-24,10
55,만장굴,2021-02-25,13
56,만장굴,2021-02-26,8
57,만장굴,2021-02-27,10
58,만장굴,2021-02-28,10
59,만장굴,2021-03-01,11
60,만장굴,2021-03-02,7
61,만장굴,2021-03-03,12
62,만장굴,2021-03-04,6
63,만장굴,2021-03-05,3
64,만장굴,2021-03-06,5
65,만장굴,2021-03-07,4
66,만장굴,2021-03-08,10
67,만장굴,2021-03-09,6
68,만장굴,2021-03-10,8
69,만장굴,2021-03-11,5
70,만장굴,2021-03-12,4
71,만장굴,2021-03-13,4
72,만장굴,2021-03-14,14
