,관광지,날짜,버즈량
0,메이즈랜드,2021-01-01,1
1,메이즈랜드,2021-01-02,7
2,메이즈랜드,2021-01-03,3
3,메이즈랜드,2021-01-04,2
4,메이즈랜드,2021-01-05,3
5,메이즈랜드,2021-01-06,4
6,메이즈랜드,2021-01-07,4
7,메이즈랜드,2021-01-08,5
8,메이즈랜드,2021-01-09,2
9,메이즈랜드,2021-01-10,4
10,메이즈랜드,2021-01-11,3
11,메이즈랜드,2021-01-12,4
12,메이즈랜드,2021-01-13,4
13,메이즈랜드,2021-01-14,2
14,메이즈랜드,2021-01-15,2
15,메이즈랜드,2021-01-16,3
16,메이즈랜드,2021-01-17,4
17,메이즈랜드,2021-01-18,4
18,메이즈랜드,2021-01-19,3
19,메이즈랜드,2021-01-20,0
20,메이즈랜드,2021-01-21,3
21,메이즈랜드,2021-01-22,2
22,메이즈랜드,2021-01-23,2
23,메이즈랜드,2021-01-24,2
24,메이즈랜드,2021-01-25,3
25,메이즈랜드,2021-01-26,5
26,메이즈랜드,2021-01-27,2
27,메이즈랜드,2021-01-28,5
28,메이즈랜드,2021-01-29,0
29,메이즈랜드,2021-01-30,1
30,메이즈랜드,2021-01-31,2
31,메이즈랜드,2021-02-01,2
32,메이즈랜드,2021-02-02,1
33,메이즈랜드,2021-02-03,3
34,메이즈랜드,2021-02-04,2
35,메이즈랜드,2021-02-05,3
36,메이즈랜드,2021-02-06,0
37,메이즈랜드,2021-02-07,0
38,메이즈랜드,2021-02-08,4
39,메이즈랜드,2021-02-09,3
40,메이즈랜드,2021-02-10,5
41,메이즈랜드,2021-02-11,4
42,메이즈랜드,2021-02-12,0
43,메이즈랜드,2021-02-13,1
44,메이즈랜드,2021-02-14,3
45,메이즈랜드,2021-02-15,1
46,메이즈랜드,2021-02-16,2
47,메이즈랜드,2021-02-17,2
48,메이즈랜드,2021-02-18,2
49,메이즈랜드,2021-02-19,2
50,메이즈랜드,2021-02-20,0
51,메이즈랜드,2021-02-21,1
52,메이즈랜드,2021-02-22,5
53,메이즈랜드,2021-02-23,3
54,메이즈랜드,2021-02-24,2
55,메이즈랜드,2021-02-25,4
56,메이즈랜드,2021-02-26,2
57,메이즈랜드,2021-02-27,1
58,메이즈랜드,2021-02-28,3
59,메이즈랜드,2021-03-01,1
60,메이즈랜드,2021-03-02,4
61,메이즈랜드,2021-03-03,0
62,메이즈랜드,2021-03-04,3
63,메이즈랜드,2021-03-05,0
64,메이즈랜드,2021-03-06,3
65,메이즈랜드,2021-03-07,3
66,메이즈랜드,2021-03-08,4
67,메이즈랜드,2021-03-09,8
68,메이즈랜드,2021-03-10,2
69,메이즈랜드,2021-03-11,2
70,메이즈랜드,2021-03-12,5
71,메이즈랜드,2021-03-13,1
72,메이즈랜드,2021-03-14,1
73,메이즈랜드,2021-03-15,2
74,메이즈랜드,2021-03-16,3
75,메이즈랜드,2021-03-17,1
76,메이즈랜드,2021-03-18,4
77,메이즈랜드,2021-03-19,3
78,메이즈랜드,2021-03-20,3
79,메이즈랜드,2021-03-21,2
80,메이즈랜드,2021-03-22,2
81,메이즈랜드,2021-03-23,2
82,메이즈랜드,2021-03-24,6
83,메이즈랜드,2021-03-25,3
84,메이즈랜드,2021-03-26,4
85,메이즈랜드,2021-03-27,4
86,메이즈랜드,2021-03-28,3
87,메이즈랜드,2021-03-29,1
88,메이즈랜드,2021-03-30,1
89,메이즈랜드,2021-03-31,2
90,메이즈랜드,2021-04-01,2
91,메이즈랜드,2021-04-02,3
92,메이즈랜드,2021-04-03,2
93,메이즈랜드,2021-04-04,1
94,메이즈랜드,2021-04-05,1
95,메이즈랜드,2021-04-06,4
96,메이즈랜드,2021-04-07,2
97,메이즈랜드,2021-04-08,2
98,메이즈랜드,2021-04-09,6
99,메이즈랜드,2021-04-10,1
100,메이즈랜드,2021-04-11,2
101,메이즈랜드,2021-04-12,3
102,메이즈랜드,2021-04-13,2
103,메이즈랜드,2021-04-14,2
104,메이즈랜드,2021-04-15,2
105,메이즈랜드,2021-04-16,1
106,메이즈랜드,2021-04-17,6
107,메이즈랜드,2021-04-18,7
108,메이즈랜드,2021-04-19,2
109,메이즈랜드,2021-04-20,5
110,메이즈랜드,2021-04-21,3
111,메이즈랜드,2021-04-22,4
112,메이즈랜드,2021-04-23,4
113,메이즈랜드,2021-04-24,4
114,메이즈랜드,2021-04-25,5
115,메이즈랜드,2021-04-26,4
116,메이즈랜드,2021-04-27,6
117,메이즈랜드,2021-04-28,2
118,메이즈랜드,2021-04-29,5
119,메이즈랜드,2021-04-30,3
120,메이즈랜드,2021-05-01,2
121,메이즈랜드,2021-05-02,4
122,메이즈랜드,2021-05-03,2
123,메이즈랜드,2021-05-04,7
124,메이즈랜드,2021-05-05,4
125,메이즈랜드,2021-05-06,3
126,메이즈랜드,2021-05-07,4
127,메이즈랜드,2021-05-08,2
128,메이즈랜드,2021-05-09,1
129,메이즈랜드,2021-05-10,4
130,메이즈랜드,2021-05-11,5
131,메이즈랜드,2021-05-12,11
132,메이즈랜드,2021-05-13,4
133,메이즈랜드,2021-05-14,3
134,메이즈랜드,2021-05-15,3
135,메이즈랜드,2021-05-16,3
136,메이즈랜드,2021-05-17,6
137,메이즈랜드,2021-05-18,5
138,메이즈랜드,2021-05-19,5
139,메이즈랜드,2021-05-20,5
140,메이즈랜드,2021-05-21,2
141,메이즈랜드,2021-05-22,2
142,메이즈랜드,2021-05-23,1
143,메이즈랜드,2021-05-24,3
144,메이즈랜드,2021-05-25,6
145,메이즈랜드,2021-05-26,5
146,메이즈랜드,2021-05-27,6
147,메이즈랜드,2021-05-28,5
148,메이즈랜드,2021-05-29,3
149,메이즈랜드,2021-05-30,4
150,메이즈랜드,2021-05-31,4
