,관광지,날짜,버즈량
0,물영아리오름,2021-01-01,3
1,물영아리오름,2021-01-02,7
2,물영아리오름,2021-01-03,4
3,물영아리오름,2021-01-04,3
4,물영아리오름,2021-01-05,7
5,물영아리오름,2021-01-06,3
6,물영아리오름,2021-01-07,4
7,물영아리오름,2021-01-08,4
8,물영아리오름,2021-01-09,3
9,물영아리오름,2021-01-10,1
10,물영아리오름,2021-01-11,7
11,물영아리오름,2021-01-12,2
12,물영아리오름,2021-01-13,5
13,물영아리오름,2021-01-14,8
14,물영아리오름,2021-01-15,2
15,물영아리오름,2021-01-16,1
16,물영아리오름,2021-01-17,5
17,물영아리오름,2021-01-18,2
18,물영아리오름,2021-01-19,7
19,물영아리오름,2021-01-20,13
20,물영아리오름,2021-01-21,4
21,물영아리오름,2021-01-22,5
22,물영아리오름,2021-01-23,1
23,물영아리오름,2021-01-24,1
24,물영아리오름,2021-01-25,5
25,물영아리오름,2021-01-26,1
26,물영아리오름,2021-01-27,2
27,물영아리오름,2021-01-28,2
28,물영아리오름,2021-01-29,4
29,물영아리오름,2021-01-30,3
30,물영아리오름,2021-01-31,4
31,물영아리오름,2021-02-01,5
32,물영아리오름,2021-02-02,5
33,물영아리오름,2021-02-03,3
34,물영아리오름,2021-02-04,4
35,물영아리오름,2021-02-05,2
36,물영아리오름,2021-02-06,3
37,물영아리오름,2021-02-07,3
38,물영아리오름,2021-02-08,2
39,물영아리오름,2021-02-09,2
40,물영아리오름,2021-02-10,4
41,물영아리오름,2021-02-11,2
42,물영아리오름,2021-02-12,4
43,물영아리오름,2021-02-13,3
44,물영아리오름,2021-02-14,4
45,물영아리오름,2021-02-15,5
46,물영아리오름,2021-02-16,3
47,물영아리오름,2021-02-17,6
48,물영아리오름,2021-02-18,7
49,물영아리오름,2021-02-19,2
50,물영아리오름,2021-02-20,3
51,물영아리오름,2021-02-21,2
52,물영아리오름,2021-02-22,1
53,물영아리오름,2021-02-23,2
54,물영아리오름,2021-02-24,6
55,물영아리오름,2021-02-25,3
56,물영아리오름,2021-02-26,2
57,물영아리오름,2021-02-27,6
58,물영아리오름,2021-02-28,2
59,물영아리오름,2021-03-01,2
60,물영아리오름,2021-03-02,3
61,물영아리오름,2021-03-03,0
62,물영아리오름,2021-03-04,2
63,물영아리오름,2021-03-05,1
64,물영아리오름,2021-03-06,3
65,물영아리오름,2021-03-07,3
66,물영아리오름,2021-03-08,1
67,물영아리오름,2021-03-09,1
68,물영아리오름,2021-03-10,7
69,물영아리오름,2021-03-11,1
70,물영아리오름,2021-03-12,1
71,물영아리오름,2021-03-13,2
72,물영아리오름,2021-03-14,7
73,물영아리오름,2021-03-15,3
74,물영아리오름,2021-03-16,3
75,물영아리오름,2021-03-17,0
76,물영아리오름,2021-03-18,3
77,물영아리오름,2021-03-19,3
78,물영아리오름,2021-03-20,3
79,물영아리오름,2021-03-21,1
80,물영아리오름,2021-03-22,2
81,물영아리오름,2021-03-23,3
82,물영아리오름,2021-03-24,5
83,물영아리오름,2021-03-25,2
84,물영아리오름,2021-03-26,3
85,물영아리오름,2021-03-27,2
86,물영아리오름,2021-03-28,3
87,물영아리오름,2021-03-29,4
88,물영아리오름,2021-03-30,5
89,물영아리오름,2021-03-31,4
90,물영아리오름,2021-04-01,7
91,물영아리오름,2021-04-02,6
92,물영아리오름,2021-04-03,6
93,물영아리오름,2021-04-04,7
94,물영아리오름,2021-04-05,4
95,물영아리오름,2021-04-06,3
96,물영아리오름,2021-04-07,4
97,물영아리오름,2021-04-08,1
98,물영아리오름,2021-04-09,1
99,물영아리오름,2021-04-10,4
100,물영아리오름,2021-04-11,3
101,물영아리오름,2021-04-12,3
102,물영아리오름,2021-04-13,4
103,물영아리오름,2021-04-14,4
104,물영아리오름,2021-04-15,3
105,물영아리오름,2021-04-16,2
106,물영아리오름,2021-04-17,8
107,물영아리오름,2021-04-18,5
108,물영아리오름,2021-04-19,7
109,물영아리오름,2021-04-20,4
110,물영아리오름,2021-04-21,4
111,물영아리오름,2021-04-22,7
112,물영아리오름,2021-04-23,4
113,물영아리오름,2021-04-24,1
114,물영아리오름,2021-04-25,8
115,물영아리오름,2021-04-26,4
116,물영아리오름,2021-04-27,6
117,물영아리오름,2021-04-28,5
118,물영아리오름,2021-04-29,3
119,물영아리오름,2021-04-30,6
120,물영아리오름,2021-05-01,5
121,물영아리오름,2021-05-02,6
122,물영아리오름,2021-05-03,8
123,물영아리오름,2021-05-04,5
124,물영아리오름,2021-05-05,8
125,물영아리오름,2021-05-06,8
126,물영아리오름,2021-05-07,5
