,관광지,날짜,버즈량
0,브릭캠퍼스제주,2021-01-01,9
1,브릭캠퍼스제주,2021-01-02,10
2,브릭캠퍼스제주,2021-01-03,18
3,브릭캠퍼스제주,2021-01-04,16
4,브릭캠퍼스제주,2021-01-05,15
5,브릭캠퍼스제주,2021-01-06,16
6,브릭캠퍼스제주,2021-01-07,13
7,브릭캠퍼스제주,2021-01-08,14
8,브릭캠퍼스제주,2021-01-09,3
9,브릭캠퍼스제주,2021-01-10,16
10,브릭캠퍼스제주,2021-01-11,15
11,브릭캠퍼스제주,2021-01-12,16
12,브릭캠퍼스제주,2021-01-13,13
13,브릭캠퍼스제주,2021-01-14,17
14,브릭캠퍼스제주,2021-01-15,12
15,브릭캠퍼스제주,2021-01-16,2
16,브릭캠퍼스제주,2021-01-17,15
17,브릭캠퍼스제주,2021-01-18,16
18,브릭캠퍼스제주,2021-01-19,12
19,브릭캠퍼스제주,2021-01-20,11
20,브릭캠퍼스제주,2021-01-21,1
21,브릭캠퍼스제주,2021-01-22,2
22,브릭캠퍼스제주,2021-01-23,0
23,브릭캠퍼스제주,2021-01-24,5
24,브릭캠퍼스제주,2021-01-25,1
25,브릭캠퍼스제주,2021-01-26,4
26,브릭캠퍼스제주,2021-01-27,1
27,브릭캠퍼스제주,2021-01-28,0
28,브릭캠퍼스제주,2021-01-29,1
29,브릭캠퍼스제주,2021-01-30,1
30,브릭캠퍼스제주,2021-01-31,0
31,브릭캠퍼스제주,2021-02-01,1
32,브릭캠퍼스제주,2021-02-02,9
33,브릭캠퍼스제주,2021-02-03,11
34,브릭캠퍼스제주,2021-02-04,3
35,브릭캠퍼스제주,2021-02-05,2
36,브릭캠퍼스제주,2021-02-06,0
37,브릭캠퍼스제주,2021-02-07,1
38,브릭캠퍼스제주,2021-02-08,1
39,브릭캠퍼스제주,2021-02-09,1
40,브릭캠퍼스제주,2021-02-10,2
41,브릭캠퍼스제주,2021-02-11,4
42,브릭캠퍼스제주,2021-02-12,0
43,브릭캠퍼스제주,2021-02-13,2
44,브릭캠퍼스제주,2021-02-14,0
45,브릭캠퍼스제주,2021-02-15,2
46,브릭캠퍼스제주,2021-02-16,1
47,브릭캠퍼스제주,2021-02-17,3
48,브릭캠퍼스제주,2021-02-18,8
49,브릭캠퍼스제주,2021-02-19,3
50,브릭캠퍼스제주,2021-02-20,8
51,브릭캠퍼스제주,2021-02-21,3
52,브릭캠퍼스제주,2021-02-22,15
53,브릭캠퍼스제주,2021-02-23,12
54,브릭캠퍼스제주,2021-02-24,15
55,브릭캠퍼스제주,2021-02-25,12
56,브릭캠퍼스제주,2021-02-26,10
57,브릭캠퍼스제주,2021-02-27,2
58,브릭캠퍼스제주,2021-02-28,2
59,브릭캠퍼스제주,2021-03-01,13
60,브릭캠퍼스제주,2021-03-02,14
61,브릭캠퍼스제주,2021-03-03,14
62,브릭캠퍼스제주,2021-03-04,14
63,브릭캠퍼스제주,2021-03-05,11
64,브릭캠퍼스제주,2021-03-06,12
65,브릭캠퍼스제주,2021-03-07,3
66,브릭캠퍼스제주,2021-03-08,10
67,브릭캠퍼스제주,2021-03-09,11
68,브릭캠퍼스제주,2021-03-10,9
69,브릭캠퍼스제주,2021-03-11,9
70,브릭캠퍼스제주,2021-03-12,11
71,브릭캠퍼스제주,2021-03-13,3
72,브릭캠퍼스제주,2021-03-14,10
73,브릭캠퍼스제주,2021-03-15,10
74,브릭캠퍼스제주,2021-03-16,10
75,브릭캠퍼스제주,2021-03-17,11
76,브릭캠퍼스제주,2021-03-18,10
77,브릭캠퍼스제주,2021-03-19,3
78,브릭캠퍼스제주,2021-03-20,3
79,브릭캠퍼스제주,2021-03-21,2
80,브릭캠퍼스제주,2021-03-22,16
81,브릭캠퍼스제주,2021-03-23,14
82,브릭캠퍼스제주,2021-03-24,18
83,브릭캠퍼스제주,2021-03-25,19
84,브릭캠퍼스제주,2021-03-26,1
85,브릭캠퍼스제주,2021-03-27,1
86,브릭캠퍼스제주,2021-03-28,18
87,브릭캠퍼스제주,2021-03-29,18
88,브릭캠퍼스제주,2021-03-30,9
89,브릭캠퍼스제주,2021-03-31,12
90,브릭캠퍼스제주,2021-04-01,20
91,브릭캠퍼스제주,2021-04-02,8
92,브릭캠퍼스제주,2021-04-03,8
93,브릭캠퍼스제주,2021-04-04,11
94,브릭캠퍼스제주,2021-04-05,18
95,브릭캠퍼스제주,2021-04-06,18
96,브릭캠퍼스제주,2021-04-07,19
97,브릭캠퍼스제주,2021-04-08,16
98,브릭캠퍼스제주,2021-04-09,10
99,브릭캠퍼스제주,2021-04-10,3
100,브릭캠퍼스제주,2021-04-11,2
101,브릭캠퍼스제주,2021-04-12,27
102,브릭캠퍼스제주,2021-04-13,15
103,브릭캠퍼스제주,2021-04-14,18
104,브릭캠퍼스제주,2021-04-15,17
105,브릭캠퍼스제주,2021-04-16,9
106,브릭캠퍼스제주,2021-04-17,14
107,브릭캠퍼스제주,2021-04-18,10
108,브릭캠퍼스제주,2021-04-19,12
109,브릭캠퍼스제주,2021-04-20,13
110,브릭캠퍼스제주,2021-04-21,15
111,브릭캠퍼스제주,2021-04-22,18
112,브릭캠퍼스제주,2021-04-23,2
113,브릭캠퍼스제주,2021-04-24,1
114,브릭캠퍼스제주,2021-04-25,10
115,브릭캠퍼스제주,2021-04-26,17
116,브릭캠퍼스제주,2021-04-27,14
117,브릭캠퍼스제주,2021-04-28,8
118,브릭캠퍼스제주,2021-04-29,11
119,브릭캠퍼스제주,2021-04-30,2
120,브릭캠퍼스제주,2021-05-01,2
121,브릭캠퍼스제주,2021-05-02,3
122,브릭캠퍼스제주,2021-05-03,14
123,브릭캠퍼스제주,2021-05-04,19
124,브릭캠퍼스제주,2021-05-05,8
125,브릭캠퍼스제주,2021-05-06,8
126,브릭캠퍼스제주,2021-05-07,9
127,브릭캠퍼스제주,2021-05-08,1
128,브릭캠퍼스제주,2021-05-09,10
129,브릭캠퍼스제주,2021-05-10,17
130,브릭캠퍼스제주,2021-05-11,16
131,브릭캠퍼스제주,2021-05-12,19
132,브릭캠퍼스제주,2021-05-13,13
133,브릭캠퍼스제주,2021-05-14,2
134,브릭캠퍼스제주,2021-05-15,2
135,브릭캠퍼스제주,2021-05-16,12
136,브릭캠퍼스제주,2021-05-17,9
137,브릭캠퍼스제주,2021-05-18,12
138,브릭캠퍼스제주,2021-05-19,13
139,브릭캠퍼스제주,2021-05-20,18
140,브릭캠퍼스제주,2021-05-21,10
141,브릭캠퍼스제주,2021-05-22,9
142,브릭캠퍼스제주,2021-05-23,9
143,브릭캠퍼스제주,2021-05-24,18
144,브릭캠퍼스제주,2021-05-25,17
145,브릭캠퍼스제주,2021-05-26,21
146,브릭캠퍼스제주,2021-05-27,21
147,브릭캠퍼스제주,2021-05-28,17
148,브릭캠퍼스제주,2021-05-29,9
149,브릭캠퍼스제주,2021-05-30,1
150,브릭캠퍼스제주,2021-05-31,18
151,브릭캠퍼스제주,2021-06-01,19
152,브릭캠퍼스제주,2021-06-02,13
153,브릭캠퍼스제주,2021-06-03,18
154,브릭캠퍼스제주,2021-06-04,13
155,브릭캠퍼스제주,2021-06-05,1
156,브릭캠퍼스제주,2021-06-06,9
157,브릭캠퍼스제주,2021-06-07,14
158,브릭캠퍼스제주,2021-06-08,17
159,브릭캠퍼스제주,2021-06-09,16
160,브릭캠퍼스제주,2021-06-10,9
161,브릭캠퍼스제주,2021-06-11,14
162,브릭캠퍼스제주,2021-06-12,2
163,브릭캠퍼스제주,2021-06-13,14
164,브릭캠퍼스제주,2021-06-14,20
165,브릭캠퍼스제주,2021-06-15,17
166,브릭캠퍼스제주,2021-06-16,18
167,브릭캠퍼스제주,2021-06-17,20
168,브릭캠퍼스제주,2021-06-18,16
169,브릭캠퍼스제주,2021-06-19,15
170,브릭캠퍼스제주,2021-06-20,12
171,브릭캠퍼스제주,2021-06-21,20
172,브릭캠퍼스제주,2021-06-22,13
173,브릭캠퍼스제주,2021-06-23,17
174,브릭캠퍼스제주,2021-06-24,16
175,브릭캠퍼스제주,2021-06-25,11
176,브릭캠퍼스제주,2021-06-26,0
177,브릭캠퍼스제주,2021-06-27,1
178,브릭캠퍼스제주,2021-06-28,11
179,브릭캠퍼스제주,2021-06-29,14
180,브릭캠퍼스제주,2021-06-30,9
181,브릭캠퍼스제주,2021-07-01,12
182,브릭캠퍼스제주,2021-07-02,8
183,브릭캠퍼스제주,2021-07-03,1
184,브릭캠퍼스제주,2021-07-04,9
185,브릭캠퍼스제주,2021-07-05,13
186,브릭캠퍼스제주,2021-07-06,9
187,브릭캠퍼스제주,2021-07-07,17
188,브릭캠퍼스제주,2021-07-08,2
189,브릭캠퍼스제주,2021-07-09,4
190,브릭캠퍼스제주,2021-07-10,4
191,브릭캠퍼스제주,2021-07-11,3
192,브릭캠퍼스제주,2021-07-12,5
193,브릭캠퍼스제주,2021-07-13,3
194,브릭캠퍼스제주,2021-07-14,3
195,브릭캠퍼스제주,2021-07-15,5
196,브릭캠퍼스제주,2021-07-16,5
197,브릭캠퍼스제주,2021-07-17,5
198,브릭캠퍼스제주,2021-07-18,5
199,브릭캠퍼스제주,2021-07-19,2
200,브릭캠퍼스제주,2021-07-20,4
201,브릭캠퍼스제주,2021-07-21,6
202,브릭캠퍼스제주,2021-07-22,8
203,브릭캠퍼스제주,2021-07-23,2
204,브릭캠퍼스제주,2021-07-24,1
205,브릭캠퍼스제주,2021-07-25,3
206,브릭캠퍼스제주,2021-07-26,4
207,브릭캠퍼스제주,2021-07-27,3
208,브릭캠퍼스제주,2021-07-28,5
209,브릭캠퍼스제주,2021-07-29,5
210,브릭캠퍼스제주,2021-07-30,4
211,브릭캠퍼스제주,2021-07-31,5
212,브릭캠퍼스제주,2021-08-01,2
213,브릭캠퍼스제주,2021-08-02,6
214,브릭캠퍼스제주,2021-08-03,2
215,브릭캠퍼스제주,2021-08-04,8
216,브릭캠퍼스제주,2021-08-05,5
217,브릭캠퍼스제주,2021-08-06,3
218,브릭캠퍼스제주,2021-08-07,4
219,브릭캠퍼스제주,2021-08-08,6
220,브릭캠퍼스제주,2021-08-09,5
221,브릭캠퍼스제주,2021-08-10,3
222,브릭캠퍼스제주,2021-08-11,3
223,브릭캠퍼스제주,2021-08-12,6
224,브릭캠퍼스제주,2021-08-13,4
225,브릭캠퍼스제주,2021-08-14,5
226,브릭캠퍼스제주,2021-08-15,5
227,브릭캠퍼스제주,2021-08-16,6
228,브릭캠퍼스제주,2021-08-17,3
229,브릭캠퍼스제주,2021-08-18,2
230,브릭캠퍼스제주,2021-08-19,4
231,브릭캠퍼스제주,2021-08-20,3
232,브릭캠퍼스제주,2021-08-21,1
233,브릭캠퍼스제주,2021-08-22,4
234,브릭캠퍼스제주,2021-08-23,5
235,브릭캠퍼스제주,2021-08-24,4
236,브릭캠퍼스제주,2021-08-25,6
237,브릭캠퍼스제주,2021-08-26,0
238,브릭캠퍼스제주,2021-08-27,1
