,관광지,날짜,버즈량
0,비양도,2021-01-01,33
1,비양도,2021-01-02,34
2,비양도,2021-01-03,44
3,비양도,2021-01-04,36
4,비양도,2021-01-05,30
5,비양도,2021-01-06,41
6,비양도,2021-01-07,23
7,비양도,2021-01-08,33
8,비양도,2021-01-09,18
9,비양도,2021-01-10,24
10,비양도,2021-01-11,30
11,비양도,2021-01-12,34
12,비양도,2021-01-13,38
13,비양도,2021-01-14,29
14,비양도,2021-01-15,26
15,비양도,2021-01-16,23
16,비양도,2021-01-17,25
17,비양도,2021-01-18,30
18,비양도,2021-01-19,32
19,비양도,2021-01-20,33
20,비양도,2021-01-21,29
21,비양도,2021-01-22,32
22,비양도,2021-01-23,24
23,비양도,2021-01-24,30
24,비양도,2021-01-25,30
25,비양도,2021-01-26,37
26,비양도,2021-01-27,45
27,비양도,2021-01-28,41
28,비양도,2021-01-29,40
29,비양도,2021-01-30,22
30,비양도,2021-01-31,33
31,비양도,2021-02-01,31
32,비양도,2021-02-02,36
33,비양도,2021-02-03,31
34,비양도,2021-02-04,28
35,비양도,2021-02-05,34
36,비양도,2021-02-06,27
37,비양도,2021-02-07,28
38,비양도,2021-02-08,38
39,비양도,2021-02-09,49
40,비양도,2021-02-10,32
41,비양도,2021-02-11,34
42,비양도,2021-02-12,26
43,비양도,2021-02-13,23
44,비양도,2021-02-14,30
45,비양도,2021-02-15,33
46,비양도,2021-02-16,25
47,비양도,2021-02-17,31
48,비양도,2021-02-18,45
49,비양도,2021-02-19,36
50,비양도,2021-02-20,33
51,비양도,2021-02-21,31
52,비양도,2021-02-22,43
53,비양도,2021-02-23,48
54,비양도,2021-02-24,33
55,비양도,2021-02-25,40
56,비양도,2021-02-26,44
57,비양도,2021-02-27,35
58,비양도,2021-02-28,21
59,비양도,2021-03-01,28
60,비양도,2021-03-02,40
61,비양도,2021-03-03,55
62,비양도,2021-03-04,36
63,비양도,2021-03-05,42
64,비양도,2021-03-06,27
65,비양도,2021-03-07,33
66,비양도,2021-03-08,38
67,비양도,2021-03-09,43
68,비양도,2021-03-10,44
69,비양도,2021-03-11,53
70,비양도,2021-03-12,48
71,비양도,2021-03-13,24
72,비양도,2021-03-14,43
73,비양도,2021-03-15,43
74,비양도,2021-03-16,51
75,비양도,2021-03-17,36
76,비양도,2021-03-18,43
77,비양도,2021-03-19,70
78,비양도,2021-03-20,38
79,비양도,2021-03-21,43
80,비양도,2021-03-22,51
81,비양도,2021-03-23,33
82,비양도,2021-03-24,61
83,비양도,2021-03-25,52
84,비양도,2021-03-26,48
85,비양도,2021-03-27,40
86,비양도,2021-03-28,36
87,비양도,2021-03-29,50
88,비양도,2021-03-30,36
89,비양도,2021-03-31,47
90,비양도,2021-04-01,42
91,비양도,2021-04-02,38
92,비양도,2021-04-03,33
93,비양도,2021-04-04,33
94,비양도,2021-04-05,35
95,비양도,2021-04-06,57
96,비양도,2021-04-07,63
97,비양도,2021-04-08,60
98,비양도,2021-04-09,49
99,비양도,2021-04-10,46
100,비양도,2021-04-11,35
101,비양도,2021-04-12,57
102,비양도,2021-04-13,67
103,비양도,2021-04-14,49
104,비양도,2021-04-15,60
105,비양도,2021-04-16,55
106,비양도,2021-04-17,46
107,비양도,2021-04-18,41
108,비양도,2021-04-19,71
109,비양도,2021-04-20,48
110,비양도,2021-04-21,62
111,비양도,2021-04-22,66
112,비양도,2021-04-23,68
113,비양도,2021-04-24,49
114,비양도,2021-04-25,67
115,비양도,2021-04-26,47
116,비양도,2021-04-27,54
117,비양도,2021-04-28,60
118,비양도,2021-04-29,61
119,비양도,2021-04-30,49
120,비양도,2021-05-01,55
121,비양도,2021-05-02,61
122,비양도,2021-05-03,77
123,비양도,2021-05-04,66
124,비양도,2021-05-05,46
125,비양도,2021-05-06,66
126,비양도,2021-05-07,57
127,비양도,2021-05-08,50
128,비양도,2021-05-09,28
129,비양도,2021-05-10,58
130,비양도,2021-05-11,64
131,비양도,2021-05-12,53
132,비양도,2021-05-13,52
133,비양도,2021-05-14,45
134,비양도,2021-05-15,60
135,비양도,2021-05-16,35
136,비양도,2021-05-17,63
137,비양도,2021-05-18,55
138,비양도,2021-05-19,54
139,비양도,2021-05-20,56
140,비양도,2021-05-21,48
141,비양도,2021-05-22,37
142,비양도,2021-05-23,59
143,비양도,2021-05-24,74
144,비양도,2021-05-25,51
145,비양도,2021-05-26,70
146,비양도,2021-05-27,78
147,비양도,2021-05-28,54
148,비양도,2021-05-29,53
149,비양도,2021-05-30,53
150,비양도,2021-05-31,56
151,비양도,2021-06-01,80
152,비양도,2021-06-02,76
153,비양도,2021-06-03,63
154,비양도,2021-06-04,47
155,비양도,2021-06-05,41
156,비양도,2021-06-06,38
157,비양도,2021-06-07,81
158,비양도,2021-06-08,43
159,비양도,2021-06-09,62
160,비양도,2021-06-10,54
161,비양도,2021-06-11,60
162,비양도,2021-06-12,50
163,비양도,2021-06-13,41
164,비양도,2021-06-14,56
165,비양도,2021-06-15,58
166,비양도,2021-06-16,57
167,비양도,2021-06-17,52
168,비양도,2021-06-18,50
169,비양도,2021-06-19,38
170,비양도,2021-06-20,51
171,비양도,2021-06-21,71
172,비양도,2021-06-22,67
173,비양도,2021-06-23,57
174,비양도,2021-06-24,69
175,비양도,2021-06-25,39
176,비양도,2021-06-26,53
177,비양도,2021-06-27,56
178,비양도,2021-06-28,63
179,비양도,2021-06-29,76
180,비양도,2021-06-30,72
181,비양도,2021-07-01,64
182,비양도,2021-07-02,72
183,비양도,2021-07-03,47
184,비양도,2021-07-04,43
185,비양도,2021-07-05,46
186,비양도,2021-07-06,58
187,비양도,2021-07-07,52
188,비양도,2021-07-08,49
189,비양도,2021-07-09,50
190,비양도,2021-07-10,56
191,비양도,2021-07-11,51
192,비양도,2021-07-12,50
193,비양도,2021-07-13,58
194,비양도,2021-07-14,56
195,비양도,2021-07-15,59
196,비양도,2021-07-16,40
197,비양도,2021-07-17,40
198,비양도,2021-07-18,60
199,비양도,2021-07-19,60
200,비양도,2021-07-20,55
201,비양도,2021-07-21,69
202,비양도,2021-07-22,66
203,비양도,2021-07-23,40
204,비양도,2021-07-24,43
205,비양도,2021-07-25,45
206,비양도,2021-07-26,48
207,비양도,2021-07-27,61
208,비양도,2021-07-28,43
209,비양도,2021-07-29,41
210,비양도,2021-07-30,42
211,비양도,2021-07-31,29
212,비양도,2021-08-01,48
213,비양도,2021-08-02,50
214,비양도,2021-08-03,41
215,비양도,2021-08-04,49
216,비양도,2021-08-05,48
217,비양도,2021-08-06,40
218,비양도,2021-08-07,45
219,비양도,2021-08-08,34
220,비양도,2021-08-09,61
221,비양도,2021-08-10,58
222,비양도,2021-08-11,43
223,비양도,2021-08-12,57
224,비양도,2021-08-13,42
225,비양도,2021-08-14,45
226,비양도,2021-08-15,31
227,비양도,2021-08-16,56
228,비양도,2021-08-17,47
229,비양도,2021-08-18,49
230,비양도,2021-08-19,37
231,비양도,2021-08-20,39
232,비양도,2021-08-21,33
233,비양도,2021-08-22,34
234,비양도,2021-08-23,49
235,비양도,2021-08-24,49
236,비양도,2021-08-25,54
237,비양도,2021-08-26,47
238,비양도,2021-08-27,41
239,비양도,2021-08-28,35
240,비양도,2021-08-29,29
241,비양도,2021-08-30,47
242,비양도,2021-08-31,38
243,비양도,2021-09-01,50
244,비양도,2021-09-02,35
245,비양도,2021-09-03,41
246,비양도,2021-09-04,37
247,비양도,2021-09-05,50
248,비양도,2021-09-06,45
249,비양도,2021-09-07,60
250,비양도,2021-09-08,55
251,비양도,2021-09-09,54
252,비양도,2021-09-10,43
253,비양도,2021-09-11,38
254,비양도,2021-09-12,36
255,비양도,2021-09-13,37
256,비양도,2021-09-14,39
257,비양도,2021-09-15,48
258,비양도,2021-09-16,48
259,비양도,2021-09-17,38
260,비양도,2021-09-18,20
261,비양도,2021-09-19,40
262,비양도,2021-09-20,35
263,비양도,2021-09-21,45
264,비양도,2021-09-22,41
265,비양도,2021-09-23,57
266,비양도,2021-09-24,43
267,비양도,2021-09-25,31
268,비양도,2021-09-26,44
269,비양도,2021-09-27,63
270,비양도,2021-09-28,58
