,관광지,날짜,버즈량
0,비자림,2021-01-01,27
1,비자림,2021-01-02,38
2,비자림,2021-01-03,34
3,비자림,2021-01-04,32
4,비자림,2021-01-05,34
5,비자림,2021-01-06,36
6,비자림,2021-01-07,32
7,비자림,2021-01-08,30
8,비자림,2021-01-09,39
9,비자림,2021-01-10,29
10,비자림,2021-01-11,43
11,비자림,2021-01-12,28
12,비자림,2021-01-13,38
13,비자림,2021-01-14,39
14,비자림,2021-01-15,50
15,비자림,2021-01-16,25
16,비자림,2021-01-17,27
17,비자림,2021-01-18,28
18,비자림,2021-01-19,32
19,비자림,2021-01-20,23
20,비자림,2021-01-21,33
21,비자림,2021-01-22,24
22,비자림,2021-01-23,20
23,비자림,2021-01-24,21
24,비자림,2021-01-25,32
25,비자림,2021-01-26,22
26,비자림,2021-01-27,19
27,비자림,2021-01-28,38
28,비자림,2021-01-29,35
29,비자림,2021-01-30,24
30,비자림,2021-01-31,25
31,비자림,2021-02-01,32
32,비자림,2021-02-02,46
33,비자림,2021-02-03,33
34,비자림,2021-02-04,33
35,비자림,2021-02-05,50
36,비자림,2021-02-06,29
37,비자림,2021-02-07,37
38,비자림,2021-02-08,30
39,비자림,2021-02-09,36
40,비자림,2021-02-10,26
41,비자림,2021-02-11,36
42,비자림,2021-02-12,20
43,비자림,2021-02-13,27
44,비자림,2021-02-14,31
45,비자림,2021-02-15,32
46,비자림,2021-02-16,27
47,비자림,2021-02-17,35
48,비자림,2021-02-18,32
49,비자림,2021-02-19,31
50,비자림,2021-02-20,34
51,비자림,2021-02-21,34
52,비자림,2021-02-22,30
53,비자림,2021-02-23,31
54,비자림,2021-02-24,34
55,비자림,2021-02-25,35
56,비자림,2021-02-26,31
57,비자림,2021-02-27,27
58,비자림,2021-02-28,25
59,비자림,2021-03-01,35
60,비자림,2021-03-02,35
61,비자림,2021-03-03,31
62,비자림,2021-03-04,49
63,비자림,2021-03-05,33
64,비자림,2021-03-06,37
65,비자림,2021-03-07,44
66,비자림,2021-03-08,48
67,비자림,2021-03-09,31
68,비자림,2021-03-10,26
69,비자림,2021-03-11,41
70,비자림,2021-03-12,39
71,비자림,2021-03-13,26
72,비자림,2021-03-14,33
73,비자림,2021-03-15,36
74,비자림,2021-03-16,40
75,비자림,2021-03-17,42
76,비자림,2021-03-18,71
77,비자림,2021-03-19,108
78,비자림,2021-03-20,59
79,비자림,2021-03-21,98
80,비자림,2021-03-22,82
81,비자림,2021-03-23,83
82,비자림,2021-03-24,102
83,비자림,2021-03-25,67
84,비자림,2021-03-26,54
85,비자림,2021-03-27,64
86,비자림,2021-03-28,44
87,비자림,2021-03-29,50
88,비자림,2021-03-30,38
89,비자림,2021-03-31,40
90,비자림,2021-04-01,44
91,비자림,2021-04-02,50
92,비자림,2021-04-03,49
93,비자림,2021-04-04,51
94,비자림,2021-04-05,49
95,비자림,2021-04-06,43
96,비자림,2021-04-07,83
97,비자림,2021-04-08,67
98,비자림,2021-04-09,49
99,비자림,2021-04-10,76
100,비자림,2021-04-11,62
101,비자림,2021-04-12,74
102,비자림,2021-04-13,103
103,비자림,2021-04-14,80
104,비자림,2021-04-15,94
105,비자림,2021-04-16,80
106,비자림,2021-04-17,73
107,비자림,2021-04-18,77
108,비자림,2021-04-19,117
109,비자림,2021-04-20,76
110,비자림,2021-04-21,112
111,비자림,2021-04-22,119
112,비자림,2021-04-23,102
113,비자림,2021-04-24,91
114,비자림,2021-04-25,96
115,비자림,2021-04-26,59
116,비자림,2021-04-27,42
117,비자림,2021-04-28,36
118,비자림,2021-04-29,42
119,비자림,2021-04-30,59
120,비자림,2021-05-01,79
121,비자림,2021-05-02,64
122,비자림,2021-05-03,78
123,비자림,2021-05-04,59
124,비자림,2021-05-05,45
125,비자림,2021-05-06,51
126,비자림,2021-05-07,39
127,비자림,2021-05-08,47
128,비자림,2021-05-09,51
129,비자림,2021-05-10,48
130,비자림,2021-05-11,46
131,비자림,2021-05-12,52
132,비자림,2021-05-13,35
133,비자림,2021-05-14,43
134,비자림,2021-05-15,39
135,비자림,2021-05-16,42
136,비자림,2021-05-17,52
137,비자림,2021-05-18,46
138,비자림,2021-05-19,33
139,비자림,2021-05-20,54
140,비자림,2021-05-21,52
141,비자림,2021-05-22,37
142,비자림,2021-05-23,38
143,비자림,2021-05-24,75
144,비자림,2021-05-25,57
145,비자림,2021-05-26,66
146,비자림,2021-05-27,57
147,비자림,2021-05-28,67
148,비자림,2021-05-29,51
149,비자림,2021-05-30,55
150,비자림,2021-05-31,72
151,비자림,2021-06-01,41
152,비자림,2021-06-02,62
153,비자림,2021-06-03,60
154,비자림,2021-06-04,50
155,비자림,2021-06-05,49
156,비자림,2021-06-06,46
157,비자림,2021-06-07,38
158,비자림,2021-06-08,41
159,비자림,2021-06-09,51
160,비자림,2021-06-10,39
161,비자림,2021-06-11,35
162,비자림,2021-06-12,40
163,비자림,2021-06-13,36
164,비자림,2021-06-14,57
165,비자림,2021-06-15,59
166,비자림,2021-06-16,51
167,비자림,2021-06-17,45
168,비자림,2021-06-18,57
169,비자림,2021-06-19,45
170,비자림,2021-06-20,36
171,비자림,2021-06-21,63
172,비자림,2021-06-22,63
173,비자림,2021-06-23,49
174,비자림,2021-06-24,81
175,비자림,2021-06-25,73
176,비자림,2021-06-26,57
177,비자림,2021-06-27,53
178,비자림,2021-06-28,53
179,비자림,2021-06-29,70
180,비자림,2021-06-30,74
181,비자림,2021-07-01,47
182,비자림,2021-07-02,55
183,비자림,2021-07-03,50
184,비자림,2021-07-04,39
185,비자림,2021-07-05,59
186,비자림,2021-07-06,56
187,비자림,2021-07-07,61
188,비자림,2021-07-08,48
189,비자림,2021-07-09,46
190,비자림,2021-07-10,43
191,비자림,2021-07-11,56
192,비자림,2021-07-12,57
193,비자림,2021-07-13,63
194,비자림,2021-07-14,41
195,비자림,2021-07-15,56
196,비자림,2021-07-16,55
197,비자림,2021-07-17,58
198,비자림,2021-07-18,51
199,비자림,2021-07-19,58
200,비자림,2021-07-20,62
201,비자림,2021-07-21,44
202,비자림,2021-07-22,63
203,비자림,2021-07-23,55
204,비자림,2021-07-24,59
205,비자림,2021-07-25,44
206,비자림,2021-07-26,49
207,비자림,2021-07-27,49
208,비자림,2021-07-28,56
209,비자림,2021-07-29,40
210,비자림,2021-07-30,51
211,비자림,2021-07-31,33
212,비자림,2021-08-01,50
213,비자림,2021-08-02,39
214,비자림,2021-08-03,58
215,비자림,2021-08-04,50
216,비자림,2021-08-05,45
217,비자림,2021-08-06,48
218,비자림,2021-08-07,29
219,비자림,2021-08-08,49
220,비자림,2021-08-09,42
221,비자림,2021-08-10,52
222,비자림,2021-08-11,51
223,비자림,2021-08-12,47
224,비자림,2021-08-13,40
225,비자림,2021-08-14,48
226,비자림,2021-08-15,69
227,비자림,2021-08-16,55
228,비자림,2021-08-17,55
229,비자림,2021-08-18,45
230,비자림,2021-08-19,42
231,비자림,2021-08-20,33
232,비자림,2021-08-21,35
233,비자림,2021-08-22,41
234,비자림,2021-08-23,49
235,비자림,2021-08-24,56
236,비자림,2021-08-25,49
237,비자림,2021-08-26,47
238,비자림,2021-08-27,48
239,비자림,2021-08-28,50
240,비자림,2021-08-29,47
241,비자림,2021-08-30,59
242,비자림,2021-08-31,52
243,비자림,2021-09-01,39
244,비자림,2021-09-02,29
245,비자림,2021-09-03,45
246,비자림,2021-09-04,30
247,비자림,2021-09-05,36
248,비자림,2021-09-06,46
249,비자림,2021-09-07,52
250,비자림,2021-09-08,39
251,비자림,2021-09-09,45
252,비자림,2021-09-10,35
253,비자림,2021-09-11,31
254,비자림,2021-09-12,40
255,비자림,2021-09-13,45
256,비자림,2021-09-14,46
257,비자림,2021-09-15,35
258,비자림,2021-09-16,36
259,비자림,2021-09-17,44
260,비자림,2021-09-18,30
261,비자림,2021-09-19,33
262,비자림,2021-09-20,29
263,비자림,2021-09-21,33
264,비자림,2021-09-22,38
265,비자림,2021-09-23,45
266,비자림,2021-09-24,54
267,비자림,2021-09-25,32
268,비자림,2021-09-26,45
269,비자림,2021-09-27,31
270,비자림,2021-09-28,48
271,비자림,2021-09-29,46
272,비자림,2021-09-30,48
