,관광지,날짜,버즈량
0,산굼부리,2021-01-01,25
1,산굼부리,2021-01-02,29
2,산굼부리,2021-01-03,18
3,산굼부리,2021-01-04,26
4,산굼부리,2021-01-05,26
5,산굼부리,2021-01-06,17
6,산굼부리,2021-01-07,21
7,산굼부리,2021-01-08,8
8,산굼부리,2021-01-09,13
9,산굼부리,2021-01-10,11
10,산굼부리,2021-01-11,17
11,산굼부리,2021-01-12,11
12,산굼부리,2021-01-13,17
13,산굼부리,2021-01-14,14
14,산굼부리,2021-01-15,5
15,산굼부리,2021-01-16,8
16,산굼부리,2021-01-17,6
17,산굼부리,2021-01-18,10
18,산굼부리,2021-01-19,8
19,산굼부리,2021-01-20,7
20,산굼부리,2021-01-21,8
21,산굼부리,2021-01-22,13
22,산굼부리,2021-01-23,4
23,산굼부리,2021-01-24,10
24,산굼부리,2021-01-25,6
25,산굼부리,2021-01-26,11
26,산굼부리,2021-01-27,9
27,산굼부리,2021-01-28,11
28,산굼부리,2021-01-29,5
29,산굼부리,2021-01-30,12
30,산굼부리,2021-01-31,12
31,산굼부리,2021-02-01,8
32,산굼부리,2021-02-02,11
33,산굼부리,2021-02-03,9
34,산굼부리,2021-02-04,8
35,산굼부리,2021-02-05,16
36,산굼부리,2021-02-06,11
37,산굼부리,2021-02-07,7
38,산굼부리,2021-02-08,11
39,산굼부리,2021-02-09,12
40,산굼부리,2021-02-10,5
41,산굼부리,2021-02-11,11
42,산굼부리,2021-02-12,7
43,산굼부리,2021-02-13,8
44,산굼부리,2021-02-14,5
45,산굼부리,2021-02-15,15
46,산굼부리,2021-02-16,14
47,산굼부리,2021-02-17,10
48,산굼부리,2021-02-18,16
49,산굼부리,2021-02-19,10
50,산굼부리,2021-02-20,4
51,산굼부리,2021-02-21,6
52,산굼부리,2021-02-22,10
53,산굼부리,2021-02-23,12
54,산굼부리,2021-02-24,7
55,산굼부리,2021-02-25,8
56,산굼부리,2021-02-26,15
57,산굼부리,2021-02-27,6
58,산굼부리,2021-02-28,3
59,산굼부리,2021-03-01,18
60,산굼부리,2021-03-02,19
61,산굼부리,2021-03-03,11
62,산굼부리,2021-03-04,10
63,산굼부리,2021-03-05,6
64,산굼부리,2021-03-06,8
65,산굼부리,2021-03-07,9
66,산굼부리,2021-03-08,8
67,산굼부리,2021-03-09,7
68,산굼부리,2021-03-10,11
69,산굼부리,2021-03-11,6
70,산굼부리,2021-03-12,15
71,산굼부리,2021-03-13,9
72,산굼부리,2021-03-14,10
73,산굼부리,2021-03-15,9
74,산굼부리,2021-03-16,6
75,산굼부리,2021-03-17,12
76,산굼부리,2021-03-18,18
77,산굼부리,2021-03-19,42
78,산굼부리,2021-03-20,13
79,산굼부리,2021-03-21,26
80,산굼부리,2021-03-22,26
81,산굼부리,2021-03-23,20
82,산굼부리,2021-03-24,31
83,산굼부리,2021-03-25,15
84,산굼부리,2021-03-26,12
85,산굼부리,2021-03-27,16
86,산굼부리,2021-03-28,10
