,관광지,날짜,버즈량
0,삼양해수욕장,2021-01-01,2
1,삼양해수욕장,2021-01-02,4
2,삼양해수욕장,2021-01-03,9
3,삼양해수욕장,2021-01-04,9
4,삼양해수욕장,2021-01-05,3
5,삼양해수욕장,2021-01-06,13
6,삼양해수욕장,2021-01-07,7
7,삼양해수욕장,2021-01-08,4
8,삼양해수욕장,2021-01-09,11
9,삼양해수욕장,2021-01-10,8
10,삼양해수욕장,2021-01-11,6
11,삼양해수욕장,2021-01-12,14
12,삼양해수욕장,2021-01-13,6
13,삼양해수욕장,2021-01-14,6
14,삼양해수욕장,2021-01-15,7
15,삼양해수욕장,2021-01-16,1
16,삼양해수욕장,2021-01-17,5
17,삼양해수욕장,2021-01-18,8
18,삼양해수욕장,2021-01-19,8
19,삼양해수욕장,2021-01-20,4
20,삼양해수욕장,2021-01-21,17
21,삼양해수욕장,2021-01-22,6
22,삼양해수욕장,2021-01-23,5
23,삼양해수욕장,2021-01-24,5
24,삼양해수욕장,2021-01-25,5
25,삼양해수욕장,2021-01-26,8
26,삼양해수욕장,2021-01-27,5
27,삼양해수욕장,2021-01-28,10
28,삼양해수욕장,2021-01-29,5
29,삼양해수욕장,2021-01-30,4
30,삼양해수욕장,2021-01-31,5
31,삼양해수욕장,2021-02-01,13
32,삼양해수욕장,2021-02-02,6
33,삼양해수욕장,2021-02-03,6
34,삼양해수욕장,2021-02-04,8
35,삼양해수욕장,2021-02-05,6
36,삼양해수욕장,2021-02-06,6
37,삼양해수욕장,2021-02-07,9
38,삼양해수욕장,2021-02-08,8
39,삼양해수욕장,2021-02-09,10
40,삼양해수욕장,2021-02-10,4
41,삼양해수욕장,2021-02-11,4
42,삼양해수욕장,2021-02-12,6
43,삼양해수욕장,2021-02-13,6
44,삼양해수욕장,2021-02-14,2
45,삼양해수욕장,2021-02-15,9
46,삼양해수욕장,2021-02-16,16
47,삼양해수욕장,2021-02-17,16
48,삼양해수욕장,2021-02-18,8
49,삼양해수욕장,2021-02-19,8
50,삼양해수욕장,2021-02-20,8
51,삼양해수욕장,2021-02-21,8
52,삼양해수욕장,2021-02-22,8
53,삼양해수욕장,2021-02-23,5
54,삼양해수욕장,2021-02-24,8
55,삼양해수욕장,2021-02-25,9
56,삼양해수욕장,2021-02-26,9
57,삼양해수욕장,2021-02-27,6
58,삼양해수욕장,2021-02-28,5
59,삼양해수욕장,2021-03-01,5
60,삼양해수욕장,2021-03-02,18
61,삼양해수욕장,2021-03-03,13
62,삼양해수욕장,2021-03-04,15
63,삼양해수욕장,2021-03-05,11
64,삼양해수욕장,2021-03-06,12
65,삼양해수욕장,2021-03-07,12
66,삼양해수욕장,2021-03-08,10
67,삼양해수욕장,2021-03-09,18
68,삼양해수욕장,2021-03-10,12
69,삼양해수욕장,2021-03-11,16
70,삼양해수욕장,2021-03-12,9
71,삼양해수욕장,2021-03-13,2
72,삼양해수욕장,2021-03-14,5
73,삼양해수욕장,2021-03-15,15
74,삼양해수욕장,2021-03-16,6
75,삼양해수욕장,2021-03-17,6
76,삼양해수욕장,2021-03-18,6
77,삼양해수욕장,2021-03-19,16
