,관광지,날짜,버즈량
0,새별오름,2021-01-01,44
1,새별오름,2021-01-02,37
2,새별오름,2021-01-03,38
3,새별오름,2021-01-04,52
4,새별오름,2021-01-05,36
5,새별오름,2021-01-06,36
6,새별오름,2021-01-07,32
7,새별오름,2021-01-08,29
8,새별오름,2021-01-09,36
9,새별오름,2021-01-10,36
10,새별오름,2021-01-11,47
11,새별오름,2021-01-12,28
12,새별오름,2021-01-13,27
13,새별오름,2021-01-14,36
14,새별오름,2021-01-15,38
15,새별오름,2021-01-16,23
16,새별오름,2021-01-17,29
17,새별오름,2021-01-18,30
18,새별오름,2021-01-19,26
19,새별오름,2021-01-20,44
20,새별오름,2021-01-21,19
21,새별오름,2021-01-22,31
22,새별오름,2021-01-23,26
23,새별오름,2021-01-24,29
24,새별오름,2021-01-25,34
25,새별오름,2021-01-26,37
26,새별오름,2021-01-27,45
27,새별오름,2021-01-28,35
28,새별오름,2021-01-29,34
29,새별오름,2021-01-30,27
30,새별오름,2021-01-31,41
31,새별오름,2021-02-01,54
32,새별오름,2021-02-02,40
33,새별오름,2021-02-03,39
34,새별오름,2021-02-04,24
35,새별오름,2021-02-05,36
36,새별오름,2021-02-06,40
37,새별오름,2021-02-07,35
38,새별오름,2021-02-08,41
39,새별오름,2021-02-09,39
40,새별오름,2021-02-10,36
41,새별오름,2021-02-11,32
42,새별오름,2021-02-12,32
43,새별오름,2021-02-13,39
44,새별오름,2021-02-14,39
45,새별오름,2021-02-15,38
46,새별오름,2021-02-16,35
47,새별오름,2021-02-17,28
48,새별오름,2021-02-18,41
49,새별오름,2021-02-19,42
50,새별오름,2021-02-20,43
51,새별오름,2021-02-21,34
52,새별오름,2021-02-22,44
53,새별오름,2021-02-23,29
54,새별오름,2021-02-24,40
55,새별오름,2021-02-25,36
56,새별오름,2021-02-26,35
57,새별오름,2021-02-27,32
58,새별오름,2021-02-28,33
59,새별오름,2021-03-01,43
60,새별오름,2021-03-02,46
61,새별오름,2021-03-03,42
62,새별오름,2021-03-04,47
63,새별오름,2021-03-05,36
64,새별오름,2021-03-06,26
65,새별오름,2021-03-07,41
66,새별오름,2021-03-08,40
67,새별오름,2021-03-09,37
68,새별오름,2021-03-10,42
69,새별오름,2021-03-11,40
70,새별오름,2021-03-12,45
71,새별오름,2021-03-13,43
72,새별오름,2021-03-14,48
73,새별오름,2021-03-15,52
74,새별오름,2021-03-16,45
75,새별오름,2021-03-17,33
76,새별오름,2021-03-18,46
77,새별오름,2021-03-19,83
78,새별오름,2021-03-20,37
79,새별오름,2021-03-21,55
80,새별오름,2021-03-22,54
81,새별오름,2021-03-23,44
82,새별오름,2021-03-24,48
83,새별오름,2021-03-25,50
84,새별오름,2021-03-26,46
85,새별오름,2021-03-27,42
86,새별오름,2021-03-28,27
87,새별오름,2021-03-29,33
88,새별오름,2021-03-30,25
89,새별오름,2021-03-31,29
90,새별오름,2021-04-01,35
91,새별오름,2021-04-02,27
92,새별오름,2021-04-03,27
93,새별오름,2021-04-04,33
94,새별오름,2021-04-05,30
95,새별오름,2021-04-06,40
96,새별오름,2021-04-07,43
97,새별오름,2021-04-08,49
98,새별오름,2021-04-09,32
99,새별오름,2021-04-10,49
100,새별오름,2021-04-11,33
101,새별오름,2021-04-12,55
102,새별오름,2021-04-13,68
103,새별오름,2021-04-14,51
104,새별오름,2021-04-15,50
105,새별오름,2021-04-16,44
106,새별오름,2021-04-17,36
107,새별오름,2021-04-18,39
108,새별오름,2021-04-19,83
109,새별오름,2021-04-20,47
110,새별오름,2021-04-21,86
111,새별오름,2021-04-22,82
112,새별오름,2021-04-23,51
113,새별오름,2021-04-24,67
114,새별오름,2021-04-25,65
115,새별오름,2021-04-26,36
116,새별오름,2021-04-27,35
117,새별오름,2021-04-28,41
118,새별오름,2021-04-29,37
119,새별오름,2021-04-30,34
120,새별오름,2021-05-01,42
121,새별오름,2021-05-02,47
122,새별오름,2021-05-03,47
123,새별오름,2021-05-04,42
124,새별오름,2021-05-05,40
125,새별오름,2021-05-06,45
126,새별오름,2021-05-07,38
127,새별오름,2021-05-08,30
128,새별오름,2021-05-09,24
129,새별오름,2021-05-10,38
130,새별오름,2021-05-11,39
131,새별오름,2021-05-12,36
132,새별오름,2021-05-13,34
133,새별오름,2021-05-14,33
134,새별오름,2021-05-15,31
135,새별오름,2021-05-16,28
136,새별오름,2021-05-17,48
137,새별오름,2021-05-18,34
138,새별오름,2021-05-19,22
139,새별오름,2021-05-20,32
140,새별오름,2021-05-21,33
141,새별오름,2021-05-22,31
142,새별오름,2021-05-23,38
143,새별오름,2021-05-24,55
144,새별오름,2021-05-25,52
145,새별오름,2021-05-26,56
146,새별오름,2021-05-27,35
147,새별오름,2021-05-28,44
148,새별오름,2021-05-29,40
149,새별오름,2021-05-30,37
150,새별오름,2021-05-31,50
151,새별오름,2021-06-01,29
152,새별오름,2021-06-02,46
153,새별오름,2021-06-03,46
154,새별오름,2021-06-04,28
155,새별오름,2021-06-05,35
156,새별오름,2021-06-06,24
157,새별오름,2021-06-07,36
158,새별오름,2021-06-08,36
159,새별오름,2021-06-09,49
160,새별오름,2021-06-10,47
161,새별오름,2021-06-11,29
162,새별오름,2021-06-12,24
163,새별오름,2021-06-13,30
164,새별오름,2021-06-14,34
165,새별오름,2021-06-15,38
166,새별오름,2021-06-16,49
167,새별오름,2021-06-17,41
168,새별오름,2021-06-18,34
169,새별오름,2021-06-19,24
170,새별오름,2021-06-20,22
171,새별오름,2021-06-21,25
172,새별오름,2021-06-22,37
173,새별오름,2021-06-23,41
174,새별오름,2021-06-24,37
175,새별오름,2021-06-25,38
176,새별오름,2021-06-26,31
177,새별오름,2021-06-27,30
178,새별오름,2021-06-28,36
179,새별오름,2021-06-29,34
180,새별오름,2021-06-30,47
181,새별오름,2021-07-01,32
182,새별오름,2021-07-02,35
183,새별오름,2021-07-03,31
184,새별오름,2021-07-04,25
185,새별오름,2021-07-05,39
186,새별오름,2021-07-06,43
187,새별오름,2021-07-07,34
188,새별오름,2021-07-08,29
189,새별오름,2021-07-09,33
190,새별오름,2021-07-10,31
191,새별오름,2021-07-11,41
192,새별오름,2021-07-12,30
193,새별오름,2021-07-13,27
194,새별오름,2021-07-14,44
195,새별오름,2021-07-15,26
196,새별오름,2021-07-16,37
197,새별오름,2021-07-17,23
198,새별오름,2021-07-18,25
199,새별오름,2021-07-19,31
200,새별오름,2021-07-20,42
201,새별오름,2021-07-21,39
202,새별오름,2021-07-22,23
203,새별오름,2021-07-23,23
204,새별오름,2021-07-24,24
205,새별오름,2021-07-25,16
206,새별오름,2021-07-26,39
207,새별오름,2021-07-27,32
208,새별오름,2021-07-28,45
209,새별오름,2021-07-29,30
210,새별오름,2021-07-30,36
211,새별오름,2021-07-31,20
212,새별오름,2021-08-01,30
213,새별오름,2021-08-02,20
214,새별오름,2021-08-03,33
215,새별오름,2021-08-04,23
216,새별오름,2021-08-05,31
217,새별오름,2021-08-06,39
218,새별오름,2021-08-07,22
219,새별오름,2021-08-08,26
220,새별오름,2021-08-09,34
221,새별오름,2021-08-10,32
222,새별오름,2021-08-11,32
223,새별오름,2021-08-12,22
224,새별오름,2021-08-13,25
225,새별오름,2021-08-14,22
226,새별오름,2021-08-15,34
227,새별오름,2021-08-16,28
228,새별오름,2021-08-17,31
229,새별오름,2021-08-18,33
230,새별오름,2021-08-19,31
231,새별오름,2021-08-20,29
232,새별오름,2021-08-21,21
233,새별오름,2021-08-22,21
234,새별오름,2021-08-23,27
235,새별오름,2021-08-24,27
236,새별오름,2021-08-25,23
237,새별오름,2021-08-26,30
238,새별오름,2021-08-27,34
239,새별오름,2021-08-28,19
240,새별오름,2021-08-29,22
241,새별오름,2021-08-30,25
242,새별오름,2021-08-31,19
243,새별오름,2021-09-01,24
244,새별오름,2021-09-02,21
