,관광지,날짜,버즈량
0,서귀포잠수함,2021-01-01,13
1,서귀포잠수함,2021-01-02,19
2,서귀포잠수함,2021-01-03,15
3,서귀포잠수함,2021-01-04,21
4,서귀포잠수함,2021-01-05,9
5,서귀포잠수함,2021-01-06,9
6,서귀포잠수함,2021-01-07,11
7,서귀포잠수함,2021-01-08,19
8,서귀포잠수함,2021-01-09,21
9,서귀포잠수함,2021-01-10,21
10,서귀포잠수함,2021-01-11,22
11,서귀포잠수함,2021-01-12,14
12,서귀포잠수함,2021-01-13,13
13,서귀포잠수함,2021-01-14,9
14,서귀포잠수함,2021-01-15,3
15,서귀포잠수함,2021-01-16,2
16,서귀포잠수함,2021-01-17,2
17,서귀포잠수함,2021-01-18,1
18,서귀포잠수함,2021-01-19,2
19,서귀포잠수함,2021-01-20,4
20,서귀포잠수함,2021-01-21,2
21,서귀포잠수함,2021-01-22,1
22,서귀포잠수함,2021-01-23,0
23,서귀포잠수함,2021-01-24,1
24,서귀포잠수함,2021-01-25,3
25,서귀포잠수함,2021-01-26,4
26,서귀포잠수함,2021-01-27,0
27,서귀포잠수함,2021-01-28,1
28,서귀포잠수함,2021-01-29,2
29,서귀포잠수함,2021-01-30,3
30,서귀포잠수함,2021-01-31,1
31,서귀포잠수함,2021-02-01,2
32,서귀포잠수함,2021-02-02,1
33,서귀포잠수함,2021-02-03,1
34,서귀포잠수함,2021-02-04,0
35,서귀포잠수함,2021-02-05,2
36,서귀포잠수함,2021-02-06,3
37,서귀포잠수함,2021-02-07,1
38,서귀포잠수함,2021-02-08,6
39,서귀포잠수함,2021-02-09,3
40,서귀포잠수함,2021-02-10,0
41,서귀포잠수함,2021-02-11,2
42,서귀포잠수함,2021-02-12,2
43,서귀포잠수함,2021-02-13,1
44,서귀포잠수함,2021-02-14,3
45,서귀포잠수함,2021-02-15,3
46,서귀포잠수함,2021-02-16,3
47,서귀포잠수함,2021-02-17,4
48,서귀포잠수함,2021-02-18,0
49,서귀포잠수함,2021-02-19,1
50,서귀포잠수함,2021-02-20,5
51,서귀포잠수함,2021-02-21,5
52,서귀포잠수함,2021-02-22,5
53,서귀포잠수함,2021-02-23,6
54,서귀포잠수함,2021-02-24,4
55,서귀포잠수함,2021-02-25,3
56,서귀포잠수함,2021-02-26,6
57,서귀포잠수함,2021-02-27,7
58,서귀포잠수함,2021-02-28,0
59,서귀포잠수함,2021-03-01,3
60,서귀포잠수함,2021-03-02,3
61,서귀포잠수함,2021-03-03,2
62,서귀포잠수함,2021-03-04,4
63,서귀포잠수함,2021-03-05,1
64,서귀포잠수함,2021-03-06,3
65,서귀포잠수함,2021-03-07,2
66,서귀포잠수함,2021-03-08,2
67,서귀포잠수함,2021-03-09,4
68,서귀포잠수함,2021-03-10,4
69,서귀포잠수함,2021-03-11,2
70,서귀포잠수함,2021-03-12,4
71,서귀포잠수함,2021-03-13,0
72,서귀포잠수함,2021-03-14,1
73,서귀포잠수함,2021-03-15,4
74,서귀포잠수함,2021-03-16,5
75,서귀포잠수함,2021-03-17,2
76,서귀포잠수함,2021-03-18,3
77,서귀포잠수함,2021-03-19,3
78,서귀포잠수함,2021-03-20,5
79,서귀포잠수함,2021-03-21,2
80,서귀포잠수함,2021-03-22,0
81,서귀포잠수함,2021-03-23,5
82,서귀포잠수함,2021-03-24,6
83,서귀포잠수함,2021-03-25,8
84,서귀포잠수함,2021-03-26,4
85,서귀포잠수함,2021-03-27,7
86,서귀포잠수함,2021-03-28,4
87,서귀포잠수함,2021-03-29,4
88,서귀포잠수함,2021-03-30,11
89,서귀포잠수함,2021-03-31,1
90,서귀포잠수함,2021-04-01,6
91,서귀포잠수함,2021-04-02,6
92,서귀포잠수함,2021-04-03,3
93,서귀포잠수함,2021-04-04,2
94,서귀포잠수함,2021-04-05,3
95,서귀포잠수함,2021-04-06,6
96,서귀포잠수함,2021-04-07,5
97,서귀포잠수함,2021-04-08,2
98,서귀포잠수함,2021-04-09,5
99,서귀포잠수함,2021-04-10,2
100,서귀포잠수함,2021-04-11,5
101,서귀포잠수함,2021-04-12,6
102,서귀포잠수함,2021-04-13,5
103,서귀포잠수함,2021-04-14,1
104,서귀포잠수함,2021-04-15,3
105,서귀포잠수함,2021-04-16,4
106,서귀포잠수함,2021-04-17,2
107,서귀포잠수함,2021-04-18,5
108,서귀포잠수함,2021-04-19,1
109,서귀포잠수함,2021-04-20,3
110,서귀포잠수함,2021-04-21,7
111,서귀포잠수함,2021-04-22,4
112,서귀포잠수함,2021-04-23,4
113,서귀포잠수함,2021-04-24,2
114,서귀포잠수함,2021-04-25,2
115,서귀포잠수함,2021-04-26,4
116,서귀포잠수함,2021-04-27,8
117,서귀포잠수함,2021-04-28,8
118,서귀포잠수함,2021-04-29,3
119,서귀포잠수함,2021-04-30,7
120,서귀포잠수함,2021-05-01,4
121,서귀포잠수함,2021-05-02,6
122,서귀포잠수함,2021-05-03,7
123,서귀포잠수함,2021-05-04,10
124,서귀포잠수함,2021-05-05,1
125,서귀포잠수함,2021-05-06,3
126,서귀포잠수함,2021-05-07,4
127,서귀포잠수함,2021-05-08,5
128,서귀포잠수함,2021-05-09,2
129,서귀포잠수함,2021-05-10,4
130,서귀포잠수함,2021-05-11,3
131,서귀포잠수함,2021-05-12,4
132,서귀포잠수함,2021-05-13,5
133,서귀포잠수함,2021-05-14,3
134,서귀포잠수함,2021-05-15,1
135,서귀포잠수함,2021-05-16,7
136,서귀포잠수함,2021-05-17,4
137,서귀포잠수함,2021-05-18,3
138,서귀포잠수함,2021-05-19,2
139,서귀포잠수함,2021-05-20,4
140,서귀포잠수함,2021-05-21,5
141,서귀포잠수함,2021-05-22,2
142,서귀포잠수함,2021-05-23,7
143,서귀포잠수함,2021-05-24,8
144,서귀포잠수함,2021-05-25,4
145,서귀포잠수함,2021-05-26,5
146,서귀포잠수함,2021-05-27,8
147,서귀포잠수함,2021-05-28,4
148,서귀포잠수함,2021-05-29,2
149,서귀포잠수함,2021-05-30,5
150,서귀포잠수함,2021-05-31,9
151,서귀포잠수함,2021-06-01,8
152,서귀포잠수함,2021-06-02,6
153,서귀포잠수함,2021-06-03,8
154,서귀포잠수함,2021-06-04,6
155,서귀포잠수함,2021-06-05,2
156,서귀포잠수함,2021-06-06,8
157,서귀포잠수함,2021-06-07,6
158,서귀포잠수함,2021-06-08,6
159,서귀포잠수함,2021-06-09,4
160,서귀포잠수함,2021-06-10,6
161,서귀포잠수함,2021-06-11,2
162,서귀포잠수함,2021-06-12,3
163,서귀포잠수함,2021-06-13,2
164,서귀포잠수함,2021-06-14,2
165,서귀포잠수함,2021-06-15,4
166,서귀포잠수함,2021-06-16,5
167,서귀포잠수함,2021-06-17,5
168,서귀포잠수함,2021-06-18,9
169,서귀포잠수함,2021-06-19,2
170,서귀포잠수함,2021-06-20,1
171,서귀포잠수함,2021-06-21,6
172,서귀포잠수함,2021-06-22,9
173,서귀포잠수함,2021-06-23,7
174,서귀포잠수함,2021-06-24,7
175,서귀포잠수함,2021-06-25,4
176,서귀포잠수함,2021-06-26,4
177,서귀포잠수함,2021-06-27,4
178,서귀포잠수함,2021-06-28,4
179,서귀포잠수함,2021-06-29,5
180,서귀포잠수함,2021-06-30,6
181,서귀포잠수함,2021-07-01,6
182,서귀포잠수함,2021-07-02,7
183,서귀포잠수함,2021-07-03,3
184,서귀포잠수함,2021-07-04,1
185,서귀포잠수함,2021-07-05,5
186,서귀포잠수함,2021-07-06,5
187,서귀포잠수함,2021-07-07,3
188,서귀포잠수함,2021-07-08,4
189,서귀포잠수함,2021-07-09,8
190,서귀포잠수함,2021-07-10,5
191,서귀포잠수함,2021-07-11,2
192,서귀포잠수함,2021-07-12,0
193,서귀포잠수함,2021-07-13,6
194,서귀포잠수함,2021-07-14,5
195,서귀포잠수함,2021-07-15,2
196,서귀포잠수함,2021-07-16,4
197,서귀포잠수함,2021-07-17,3
198,서귀포잠수함,2021-07-18,3
199,서귀포잠수함,2021-07-19,6
200,서귀포잠수함,2021-07-20,3
201,서귀포잠수함,2021-07-21,5
202,서귀포잠수함,2021-07-22,5
203,서귀포잠수함,2021-07-23,5
204,서귀포잠수함,2021-07-24,2
205,서귀포잠수함,2021-07-25,3
206,서귀포잠수함,2021-07-26,4
207,서귀포잠수함,2021-07-27,5
208,서귀포잠수함,2021-07-28,4
209,서귀포잠수함,2021-07-29,6
210,서귀포잠수함,2021-07-30,3
211,서귀포잠수함,2021-07-31,3
212,서귀포잠수함,2021-08-01,3
213,서귀포잠수함,2021-08-02,2
214,서귀포잠수함,2021-08-03,4
215,서귀포잠수함,2021-08-04,5
216,서귀포잠수함,2021-08-05,6
217,서귀포잠수함,2021-08-06,2
218,서귀포잠수함,2021-08-07,5
219,서귀포잠수함,2021-08-08,6
