,관광지,날짜,버즈량
0,섭지코지,2021-01-01,102
1,섭지코지,2021-01-02,71
2,섭지코지,2021-01-03,54
3,섭지코지,2021-01-04,58
4,섭지코지,2021-01-05,53
5,섭지코지,2021-01-06,51
6,섭지코지,2021-01-07,58
7,섭지코지,2021-01-08,56
8,섭지코지,2021-01-09,65
9,섭지코지,2021-01-10,44
10,섭지코지,2021-01-11,70
11,섭지코지,2021-01-12,51
12,섭지코지,2021-01-13,62
13,섭지코지,2021-01-14,77
14,섭지코지,2021-01-15,55
15,섭지코지,2021-01-16,46
16,섭지코지,2021-01-17,60
17,섭지코지,2021-01-18,62
18,섭지코지,2021-01-19,54
19,섭지코지,2021-01-20,59
20,섭지코지,2021-01-21,53
21,섭지코지,2021-01-22,54
22,섭지코지,2021-01-23,44
23,섭지코지,2021-01-24,37
24,섭지코지,2021-01-25,54
25,섭지코지,2021-01-26,43
26,섭지코지,2021-01-27,51
27,섭지코지,2021-01-28,65
28,섭지코지,2021-01-29,42
29,섭지코지,2021-01-30,27
30,섭지코지,2021-01-31,49
31,섭지코지,2021-02-01,50
32,섭지코지,2021-02-02,54
33,섭지코지,2021-02-03,58
34,섭지코지,2021-02-04,48
35,섭지코지,2021-02-05,37
36,섭지코지,2021-02-06,47
37,섭지코지,2021-02-07,41
38,섭지코지,2021-02-08,46
39,섭지코지,2021-02-09,54
40,섭지코지,2021-02-10,47
41,섭지코지,2021-02-11,55
42,섭지코지,2021-02-12,40
43,섭지코지,2021-02-13,52
44,섭지코지,2021-02-14,48
45,섭지코지,2021-02-15,61
46,섭지코지,2021-02-16,68
47,섭지코지,2021-02-17,56
48,섭지코지,2021-02-18,69
49,섭지코지,2021-02-19,42
50,섭지코지,2021-02-20,48
51,섭지코지,2021-02-21,50
52,섭지코지,2021-02-22,81
53,섭지코지,2021-02-23,53
54,섭지코지,2021-02-24,66
55,섭지코지,2021-02-25,60
56,섭지코지,2021-02-26,61
57,섭지코지,2021-02-27,45
58,섭지코지,2021-02-28,61
59,섭지코지,2021-03-01,60
60,섭지코지,2021-03-02,71
61,섭지코지,2021-03-03,60
62,섭지코지,2021-03-04,74
63,섭지코지,2021-03-05,73
64,섭지코지,2021-03-06,60
65,섭지코지,2021-03-07,62
66,섭지코지,2021-03-08,61
67,섭지코지,2021-03-09,63
68,섭지코지,2021-03-10,85
69,섭지코지,2021-03-11,81
70,섭지코지,2021-03-12,63
71,섭지코지,2021-03-13,46
72,섭지코지,2021-03-14,52
73,섭지코지,2021-03-15,59
74,섭지코지,2021-03-16,73
75,섭지코지,2021-03-17,71
76,섭지코지,2021-03-18,117
77,섭지코지,2021-03-19,155
78,섭지코지,2021-03-20,77
79,섭지코지,2021-03-21,145
80,섭지코지,2021-03-22,109
81,섭지코지,2021-03-23,97
82,섭지코지,2021-03-24,144
83,섭지코지,2021-03-25,109
84,섭지코지,2021-03-26,90
85,섭지코지,2021-03-27,89
86,섭지코지,2021-03-28,49
87,섭지코지,2021-03-29,73
88,섭지코지,2021-03-30,69
89,섭지코지,2021-03-31,67
90,섭지코지,2021-04-01,51
91,섭지코지,2021-04-02,62
92,섭지코지,2021-04-03,59
93,섭지코지,2021-04-04,52
94,섭지코지,2021-04-05,72
95,섭지코지,2021-04-06,64
96,섭지코지,2021-04-07,109
97,섭지코지,2021-04-08,97
98,섭지코지,2021-04-09,97
99,섭지코지,2021-04-10,105
100,섭지코지,2021-04-11,78
101,섭지코지,2021-04-12,112
102,섭지코지,2021-04-13,112
103,섭지코지,2021-04-14,92
104,섭지코지,2021-04-15,123
105,섭지코지,2021-04-16,96
106,섭지코지,2021-04-17,97
107,섭지코지,2021-04-18,87
108,섭지코지,2021-04-19,132
109,섭지코지,2021-04-20,108
110,섭지코지,2021-04-21,170
111,섭지코지,2021-04-22,127
112,섭지코지,2021-04-23,139
113,섭지코지,2021-04-24,119
114,섭지코지,2021-04-25,160
115,섭지코지,2021-04-26,99
116,섭지코지,2021-04-27,95
117,섭지코지,2021-04-28,88
118,섭지코지,2021-04-29,60
119,섭지코지,2021-04-30,86
120,섭지코지,2021-05-01,91
121,섭지코지,2021-05-02,68
122,섭지코지,2021-05-03,107
123,섭지코지,2021-05-04,85
124,섭지코지,2021-05-05,61
125,섭지코지,2021-05-06,74
126,섭지코지,2021-05-07,82
127,섭지코지,2021-05-08,74
128,섭지코지,2021-05-09,77
129,섭지코지,2021-05-10,97
130,섭지코지,2021-05-11,74
131,섭지코지,2021-05-12,66
132,섭지코지,2021-05-13,70
133,섭지코지,2021-05-14,78
134,섭지코지,2021-05-15,55
135,섭지코지,2021-05-16,66
136,섭지코지,2021-05-17,77
137,섭지코지,2021-05-18,84
138,섭지코지,2021-05-19,74
139,섭지코지,2021-05-20,79
140,섭지코지,2021-05-21,63
141,섭지코지,2021-05-22,41
142,섭지코지,2021-05-23,48
143,섭지코지,2021-05-24,82
144,섭지코지,2021-05-25,93
145,섭지코지,2021-05-26,102
146,섭지코지,2021-05-27,113
147,섭지코지,2021-05-28,86
148,섭지코지,2021-05-29,108
149,섭지코지,2021-05-30,88
