,관광지,날짜,버즈량
0,성산일출봉,2021-01-01,209
1,성산일출봉,2021-01-02,170
2,성산일출봉,2021-01-03,156
3,성산일출봉,2021-01-04,150
4,성산일출봉,2021-01-05,137
5,성산일출봉,2021-01-06,145
6,성산일출봉,2021-01-07,115
7,성산일출봉,2021-01-08,141
8,성산일출봉,2021-01-09,132
9,성산일출봉,2021-01-10,119
10,성산일출봉,2021-01-11,145
11,성산일출봉,2021-01-12,166
12,성산일출봉,2021-01-13,131
13,성산일출봉,2021-01-14,135
14,성산일출봉,2021-01-15,115
15,성산일출봉,2021-01-16,102
16,성산일출봉,2021-01-17,107
17,성산일출봉,2021-01-18,142
18,성산일출봉,2021-01-19,111
19,성산일출봉,2021-01-20,141
20,성산일출봉,2021-01-21,124
21,성산일출봉,2021-01-22,125
22,성산일출봉,2021-01-23,101
23,성산일출봉,2021-01-24,104
24,성산일출봉,2021-01-25,144
25,성산일출봉,2021-01-26,110
26,성산일출봉,2021-01-27,119
27,성산일출봉,2021-01-28,159
28,성산일출봉,2021-01-29,115
29,성산일출봉,2021-01-30,107
30,성산일출봉,2021-01-31,115
31,성산일출봉,2021-02-01,129
32,성산일출봉,2021-02-02,154
33,성산일출봉,2021-02-03,162
34,성산일출봉,2021-02-04,149
35,성산일출봉,2021-02-05,142
36,성산일출봉,2021-02-06,139
37,성산일출봉,2021-02-07,125
38,성산일출봉,2021-02-08,131
39,성산일출봉,2021-02-09,139
40,성산일출봉,2021-02-10,135
41,성산일출봉,2021-02-11,141
42,성산일출봉,2021-02-12,86
43,성산일출봉,2021-02-13,113
44,성산일출봉,2021-02-14,115
45,성산일출봉,2021-02-15,165
46,성산일출봉,2021-02-16,141
47,성산일출봉,2021-02-17,141
48,성산일출봉,2021-02-18,141
49,성산일출봉,2021-02-19,129
50,성산일출봉,2021-02-20,113
51,성산일출봉,2021-02-21,120
52,성산일출봉,2021-02-22,170
53,성산일출봉,2021-02-23,144
54,성산일출봉,2021-02-24,143
55,성산일출봉,2021-02-25,157
56,성산일출봉,2021-02-26,147
57,성산일출봉,2021-02-27,131
58,성산일출봉,2021-02-28,158
59,성산일출봉,2021-03-01,149
60,성산일출봉,2021-03-02,175
61,성산일출봉,2021-03-03,202
62,성산일출봉,2021-03-04,199
63,성산일출봉,2021-03-05,160
64,성산일출봉,2021-03-06,148
65,성산일출봉,2021-03-07,131
66,성산일출봉,2021-03-08,161
67,성산일출봉,2021-03-09,148
68,성산일출봉,2021-03-10,168
69,성산일출봉,2021-03-11,185
70,성산일출봉,2021-03-12,146
71,성산일출봉,2021-03-13,121
72,성산일출봉,2021-03-14,117
73,성산일출봉,2021-03-15,157
74,성산일출봉,2021-03-16,186
75,성산일출봉,2021-03-17,186
76,성산일출봉,2021-03-18,219
77,성산일출봉,2021-03-19,250
78,성산일출봉,2021-03-20,149
79,성산일출봉,2021-03-21,196
80,성산일출봉,2021-03-22,214
81,성산일출봉,2021-03-23,190
82,성산일출봉,2021-03-24,218
83,성산일출봉,2021-03-25,221
84,성산일출봉,2021-03-26,176
85,성산일출봉,2021-03-27,162
86,성산일출봉,2021-03-28,128
87,성산일출봉,2021-03-29,174
88,성산일출봉,2021-03-30,152
89,성산일출봉,2021-03-31,150
90,성산일출봉,2021-04-01,162
91,성산일출봉,2021-04-02,143
92,성산일출봉,2021-04-03,129
93,성산일출봉,2021-04-04,120
94,성산일출봉,2021-04-05,156
95,성산일출봉,2021-04-06,173
96,성산일출봉,2021-04-07,262
97,성산일출봉,2021-04-08,204
98,성산일출봉,2021-04-09,190
99,성산일출봉,2021-04-10,194
100,성산일출봉,2021-04-11,152
101,성산일출봉,2021-04-12,199
102,성산일출봉,2021-04-13,251
103,성산일출봉,2021-04-14,203
104,성산일출봉,2021-04-15,217
105,성산일출봉,2021-04-16,198
106,성산일출봉,2021-04-17,190
107,성산일출봉,2021-04-18,159
108,성산일출봉,2021-04-19,251
109,성산일출봉,2021-04-20,223
110,성산일출봉,2021-04-21,275
111,성산일출봉,2021-04-22,273
112,성산일출봉,2021-04-23,324
113,성산일출봉,2021-04-24,217
114,성산일출봉,2021-04-25,244
115,성산일출봉,2021-04-26,200
116,성산일출봉,2021-04-27,194
117,성산일출봉,2021-04-28,178
118,성산일출봉,2021-04-29,181
119,성산일출봉,2021-04-30,193
120,성산일출봉,2021-05-01,196
121,성산일출봉,2021-05-02,184
122,성산일출봉,2021-05-03,252
123,성산일출봉,2021-05-04,195
124,성산일출봉,2021-05-05,154
125,성산일출봉,2021-05-06,183
126,성산일출봉,2021-05-07,200
127,성산일출봉,2021-05-08,167
128,성산일출봉,2021-05-09,167
129,성산일출봉,2021-05-10,200
130,성산일출봉,2021-05-11,180
131,성산일출봉,2021-05-12,177
132,성산일출봉,2021-05-13,180
133,성산일출봉,2021-05-14,157
134,성산일출봉,2021-05-15,136
135,성산일출봉,2021-05-16,140
136,성산일출봉,2021-05-17,184
137,성산일출봉,2021-05-18,193
138,성산일출봉,2021-05-19,170
139,성산일출봉,2021-05-20,188
140,성산일출봉,2021-05-21,159
141,성산일출봉,2021-05-22,138
142,성산일출봉,2021-05-23,140
143,성산일출봉,2021-05-24,217
144,성산일출봉,2021-05-25,218
145,성산일출봉,2021-05-26,234
146,성산일출봉,2021-05-27,246
147,성산일출봉,2021-05-28,200
148,성산일출봉,2021-05-29,205
149,성산일출봉,2021-05-30,188
150,성산일출봉,2021-05-31,235
151,성산일출봉,2021-06-01,228
152,성산일출봉,2021-06-02,239
153,성산일출봉,2021-06-03,216
154,성산일출봉,2021-06-04,182
155,성산일출봉,2021-06-05,124
156,성산일출봉,2021-06-06,118
157,성산일출봉,2021-06-07,182
158,성산일출봉,2021-06-08,182
159,성산일출봉,2021-06-09,190
160,성산일출봉,2021-06-10,172
161,성산일출봉,2021-06-11,172
162,성산일출봉,2021-06-12,148
163,성산일출봉,2021-06-13,136
164,성산일출봉,2021-06-14,190
165,성산일출봉,2021-06-15,181
166,성산일출봉,2021-06-16,169
167,성산일출봉,2021-06-17,178
168,성산일출봉,2021-06-18,203
169,성산일출봉,2021-06-19,130
170,성산일출봉,2021-06-20,158
171,성산일출봉,2021-06-21,177
172,성산일출봉,2021-06-22,230
173,성산일출봉,2021-06-23,197
174,성산일출봉,2021-06-24,209
175,성산일출봉,2021-06-25,203
176,성산일출봉,2021-06-26,165
177,성산일출봉,2021-06-27,185
178,성산일출봉,2021-06-28,207
179,성산일출봉,2021-06-29,214
180,성산일출봉,2021-06-30,241
181,성산일출봉,2021-07-01,213
182,성산일출봉,2021-07-02,210
183,성산일출봉,2021-07-03,193
184,성산일출봉,2021-07-04,169
185,성산일출봉,2021-07-05,216
186,성산일출봉,2021-07-06,246
187,성산일출봉,2021-07-07,204
188,성산일출봉,2021-07-08,200
189,성산일출봉,2021-07-09,186
190,성산일출봉,2021-07-10,147
191,성산일출봉,2021-07-11,139
192,성산일출봉,2021-07-12,189
193,성산일출봉,2021-07-13,199
194,성산일출봉,2021-07-14,194
195,성산일출봉,2021-07-15,182
196,성산일출봉,2021-07-16,185
197,성산일출봉,2021-07-17,165
198,성산일출봉,2021-07-18,172
199,성산일출봉,2021-07-19,203
200,성산일출봉,2021-07-20,174
201,성산일출봉,2021-07-21,193
202,성산일출봉,2021-07-22,160
203,성산일출봉,2021-07-23,172
204,성산일출봉,2021-07-24,138
205,성산일출봉,2021-07-25,132
206,성산일출봉,2021-07-26,229
207,성산일출봉,2021-07-27,198
208,성산일출봉,2021-07-28,192
209,성산일출봉,2021-07-29,175
210,성산일출봉,2021-07-30,188
211,성산일출봉,2021-07-31,161
212,성산일출봉,2021-08-01,154
213,성산일출봉,2021-08-02,175
214,성산일출봉,2021-08-03,183
215,성산일출봉,2021-08-04,169
216,성산일출봉,2021-08-05,131
217,성산일출봉,2021-08-06,165
218,성산일출봉,2021-08-07,133
219,성산일출봉,2021-08-08,139
220,성산일출봉,2021-08-09,182
221,성산일출봉,2021-08-10,170
222,성산일출봉,2021-08-11,172
223,성산일출봉,2021-08-12,163
224,성산일출봉,2021-08-13,171
225,성산일출봉,2021-08-14,129
226,성산일출봉,2021-08-15,121
227,성산일출봉,2021-08-16,150
228,성산일출봉,2021-08-17,179
229,성산일출봉,2021-08-18,208
230,성산일출봉,2021-08-19,166
231,성산일출봉,2021-08-20,166
232,성산일출봉,2021-08-21,126
233,성산일출봉,2021-08-22,106
234,성산일출봉,2021-08-23,154
235,성산일출봉,2021-08-24,149
236,성산일출봉,2021-08-25,254
237,성산일출봉,2021-08-26,152
238,성산일출봉,2021-08-27,161
239,성산일출봉,2021-08-28,118
240,성산일출봉,2021-08-29,130
241,성산일출봉,2021-08-30,178
242,성산일출봉,2021-08-31,199
243,성산일출봉,2021-09-01,191
244,성산일출봉,2021-09-02,186
245,성산일출봉,2021-09-03,205
246,성산일출봉,2021-09-04,148
