,관광지,날짜,버즈량
0,성읍민속마을,2021-01-01,5
1,성읍민속마을,2021-01-02,4
2,성읍민속마을,2021-01-03,5
3,성읍민속마을,2021-01-04,8
4,성읍민속마을,2021-01-05,9
5,성읍민속마을,2021-01-06,13
6,성읍민속마을,2021-01-07,11
7,성읍민속마을,2021-01-08,9
8,성읍민속마을,2021-01-09,13
9,성읍민속마을,2021-01-10,10
10,성읍민속마을,2021-01-11,12
11,성읍민속마을,2021-01-12,8
12,성읍민속마을,2021-01-13,9
13,성읍민속마을,2021-01-14,10
14,성읍민속마을,2021-01-15,9
15,성읍민속마을,2021-01-16,9
16,성읍민속마을,2021-01-17,10
17,성읍민속마을,2021-01-18,11
18,성읍민속마을,2021-01-19,11
19,성읍민속마을,2021-01-20,8
20,성읍민속마을,2021-01-21,14
21,성읍민속마을,2021-01-22,14
22,성읍민속마을,2021-01-23,10
23,성읍민속마을,2021-01-24,11
24,성읍민속마을,2021-01-25,3
25,성읍민속마을,2021-01-26,11
26,성읍민속마을,2021-01-27,1
27,성읍민속마을,2021-01-28,4
28,성읍민속마을,2021-01-29,18
29,성읍민속마을,2021-01-30,8
30,성읍민속마을,2021-01-31,9
31,성읍민속마을,2021-02-01,9
32,성읍민속마을,2021-02-02,4
33,성읍민속마을,2021-02-03,4
34,성읍민속마을,2021-02-04,8
35,성읍민속마을,2021-02-05,3
36,성읍민속마을,2021-02-06,9
37,성읍민속마을,2021-02-07,3
38,성읍민속마을,2021-02-08,4
39,성읍민속마을,2021-02-09,9
40,성읍민속마을,2021-02-10,3
41,성읍민속마을,2021-02-11,5
42,성읍민속마을,2021-02-12,1
43,성읍민속마을,2021-02-13,8
44,성읍민속마을,2021-02-14,4
45,성읍민속마을,2021-02-15,9
46,성읍민속마을,2021-02-16,4
47,성읍민속마을,2021-02-17,9
48,성읍민속마을,2021-02-18,10
49,성읍민속마을,2021-02-19,12
50,성읍민속마을,2021-02-20,12
51,성읍민속마을,2021-02-21,4
52,성읍민속마을,2021-02-22,10
53,성읍민속마을,2021-02-23,12
54,성읍민속마을,2021-02-24,6
55,성읍민속마을,2021-02-25,10
56,성읍민속마을,2021-02-26,13
57,성읍민속마을,2021-02-27,9
58,성읍민속마을,2021-02-28,12
59,성읍민속마을,2021-03-01,11
60,성읍민속마을,2021-03-02,11
61,성읍민속마을,2021-03-03,12
62,성읍민속마을,2021-03-04,13
63,성읍민속마을,2021-03-05,18
64,성읍민속마을,2021-03-06,11
65,성읍민속마을,2021-03-07,10
66,성읍민속마을,2021-03-08,11
67,성읍민속마을,2021-03-09,11
68,성읍민속마을,2021-03-10,14
69,성읍민속마을,2021-03-11,10
70,성읍민속마을,2021-03-12,16
71,성읍민속마을,2021-03-13,1
72,성읍민속마을,2021-03-14,9
73,성읍민속마을,2021-03-15,15
74,성읍민속마을,2021-03-16,13
75,성읍민속마을,2021-03-17,16
76,성읍민속마을,2021-03-18,9
77,성읍민속마을,2021-03-19,11
78,성읍민속마을,2021-03-20,9
79,성읍민속마을,2021-03-21,13
80,성읍민속마을,2021-03-22,11
81,성읍민속마을,2021-03-23,15
82,성읍민속마을,2021-03-24,17
83,성읍민속마을,2021-03-25,17
84,성읍민속마을,2021-03-26,10
85,성읍민속마을,2021-03-27,11
86,성읍민속마을,2021-03-28,9
87,성읍민속마을,2021-03-29,8
88,성읍민속마을,2021-03-30,9
89,성읍민속마을,2021-03-31,9
90,성읍민속마을,2021-04-01,15
91,성읍민속마을,2021-04-02,9
