,관광지,날짜,버즈량
0,소정방폭포,2021-01-01,1
1,소정방폭포,2021-01-02,3
2,소정방폭포,2021-01-03,3
3,소정방폭포,2021-01-04,2
4,소정방폭포,2021-01-05,2
5,소정방폭포,2021-01-06,2
6,소정방폭포,2021-01-07,4
7,소정방폭포,2021-01-08,3
8,소정방폭포,2021-01-09,2
9,소정방폭포,2021-01-10,6
10,소정방폭포,2021-01-11,5
11,소정방폭포,2021-01-12,3
12,소정방폭포,2021-01-13,1
13,소정방폭포,2021-01-14,3
14,소정방폭포,2021-01-15,3
15,소정방폭포,2021-01-16,6
16,소정방폭포,2021-01-17,4
17,소정방폭포,2021-01-18,1
18,소정방폭포,2021-01-19,0
19,소정방폭포,2021-01-20,4
20,소정방폭포,2021-01-21,2
21,소정방폭포,2021-01-22,5
22,소정방폭포,2021-01-23,2
23,소정방폭포,2021-01-24,4
24,소정방폭포,2021-01-25,5
25,소정방폭포,2021-01-26,1
26,소정방폭포,2021-01-27,5
27,소정방폭포,2021-01-28,5
28,소정방폭포,2021-01-29,2
29,소정방폭포,2021-01-30,2
30,소정방폭포,2021-01-31,2
31,소정방폭포,2021-02-01,3
32,소정방폭포,2021-02-02,7
33,소정방폭포,2021-02-03,1
34,소정방폭포,2021-02-04,5
35,소정방폭포,2021-02-05,4
36,소정방폭포,2021-02-06,3
37,소정방폭포,2021-02-07,5
38,소정방폭포,2021-02-08,1
39,소정방폭포,2021-02-09,1
40,소정방폭포,2021-02-10,2
41,소정방폭포,2021-02-11,3
42,소정방폭포,2021-02-12,3
43,소정방폭포,2021-02-13,2
44,소정방폭포,2021-02-14,7
45,소정방폭포,2021-02-15,6
46,소정방폭포,2021-02-16,3
47,소정방폭포,2021-02-17,0
48,소정방폭포,2021-02-18,3
49,소정방폭포,2021-02-19,3
50,소정방폭포,2021-02-20,4
51,소정방폭포,2021-02-21,4
52,소정방폭포,2021-02-22,3
53,소정방폭포,2021-02-23,3
54,소정방폭포,2021-02-24,4
55,소정방폭포,2021-02-25,3
56,소정방폭포,2021-02-26,5
57,소정방폭포,2021-02-27,5
58,소정방폭포,2021-02-28,4
59,소정방폭포,2021-03-01,2
60,소정방폭포,2021-03-02,3
61,소정방폭포,2021-03-03,2
62,소정방폭포,2021-03-04,3
63,소정방폭포,2021-03-05,5
64,소정방폭포,2021-03-06,4
65,소정방폭포,2021-03-07,4
