,관광지,날짜,버즈량
0,쇠소깍,2021-01-01,31
1,쇠소깍,2021-01-02,44
2,쇠소깍,2021-01-03,35
3,쇠소깍,2021-01-04,47
4,쇠소깍,2021-01-05,36
5,쇠소깍,2021-01-06,42
6,쇠소깍,2021-01-07,49
7,쇠소깍,2021-01-08,37
8,쇠소깍,2021-01-09,29
9,쇠소깍,2021-01-10,50
10,쇠소깍,2021-01-11,44
11,쇠소깍,2021-01-12,47
12,쇠소깍,2021-01-13,57
13,쇠소깍,2021-01-14,35
14,쇠소깍,2021-01-15,25
15,쇠소깍,2021-01-16,22
16,쇠소깍,2021-01-17,22
17,쇠소깍,2021-01-18,31
18,쇠소깍,2021-01-19,25
19,쇠소깍,2021-01-20,23
20,쇠소깍,2021-01-21,25
21,쇠소깍,2021-01-22,26
22,쇠소깍,2021-01-23,16
23,쇠소깍,2021-01-24,22
24,쇠소깍,2021-01-25,35
25,쇠소깍,2021-01-26,24
26,쇠소깍,2021-01-27,14
27,쇠소깍,2021-01-28,22
28,쇠소깍,2021-01-29,22
29,쇠소깍,2021-01-30,18
30,쇠소깍,2021-01-31,24
31,쇠소깍,2021-02-01,29
32,쇠소깍,2021-02-02,25
33,쇠소깍,2021-02-03,27
34,쇠소깍,2021-02-04,31
35,쇠소깍,2021-02-05,30
36,쇠소깍,2021-02-06,13
37,쇠소깍,2021-02-07,23
38,쇠소깍,2021-02-08,28
39,쇠소깍,2021-02-09,31
40,쇠소깍,2021-02-10,29
41,쇠소깍,2021-02-11,24
42,쇠소깍,2021-02-12,19
43,쇠소깍,2021-02-13,26
44,쇠소깍,2021-02-14,24
45,쇠소깍,2021-02-15,31
46,쇠소깍,2021-02-16,31
47,쇠소깍,2021-02-17,33
48,쇠소깍,2021-02-18,34
49,쇠소깍,2021-02-19,31
50,쇠소깍,2021-02-20,23
51,쇠소깍,2021-02-21,26
52,쇠소깍,2021-02-22,42
53,쇠소깍,2021-02-23,39
54,쇠소깍,2021-02-24,28
55,쇠소깍,2021-02-25,33
56,쇠소깍,2021-02-26,31
57,쇠소깍,2021-02-27,24
58,쇠소깍,2021-02-28,27
59,쇠소깍,2021-03-01,24
60,쇠소깍,2021-03-02,37
61,쇠소깍,2021-03-03,30
62,쇠소깍,2021-03-04,28
63,쇠소깍,2021-03-05,28
64,쇠소깍,2021-03-06,36
65,쇠소깍,2021-03-07,22
66,쇠소깍,2021-03-08,32
67,쇠소깍,2021-03-09,31
68,쇠소깍,2021-03-10,38
69,쇠소깍,2021-03-11,30
70,쇠소깍,2021-03-12,36
71,쇠소깍,2021-03-13,27
72,쇠소깍,2021-03-14,33
73,쇠소깍,2021-03-15,26
74,쇠소깍,2021-03-16,34
75,쇠소깍,2021-03-17,33
76,쇠소깍,2021-03-18,33
77,쇠소깍,2021-03-19,38
78,쇠소깍,2021-03-20,25
79,쇠소깍,2021-03-21,32
80,쇠소깍,2021-03-22,44
81,쇠소깍,2021-03-23,43
82,쇠소깍,2021-03-24,37
83,쇠소깍,2021-03-25,42
84,쇠소깍,2021-03-26,38
85,쇠소깍,2021-03-27,32
86,쇠소깍,2021-03-28,27
87,쇠소깍,2021-03-29,35
88,쇠소깍,2021-03-30,40
89,쇠소깍,2021-03-31,31
90,쇠소깍,2021-04-01,36
91,쇠소깍,2021-04-02,28
92,쇠소깍,2021-04-03,32
93,쇠소깍,2021-04-04,26
94,쇠소깍,2021-04-05,37
95,쇠소깍,2021-04-06,30
96,쇠소깍,2021-04-07,52
97,쇠소깍,2021-04-08,32
98,쇠소깍,2021-04-09,38
99,쇠소깍,2021-04-10,38
100,쇠소깍,2021-04-11,23
101,쇠소깍,2021-04-12,34
102,쇠소깍,2021-04-13,33
103,쇠소깍,2021-04-14,37
104,쇠소깍,2021-04-15,39
105,쇠소깍,2021-04-16,38
106,쇠소깍,2021-04-17,42
107,쇠소깍,2021-04-18,42
108,쇠소깍,2021-04-19,37
109,쇠소깍,2021-04-20,44
110,쇠소깍,2021-04-21,43
111,쇠소깍,2021-04-22,36
112,쇠소깍,2021-04-23,54
113,쇠소깍,2021-04-24,29
114,쇠소깍,2021-04-25,37
115,쇠소깍,2021-04-26,37
116,쇠소깍,2021-04-27,50
117,쇠소깍,2021-04-28,50
