,관광지,날짜,버즈량
0,신양섭지해수욕장,2021-01-01,0
1,신양섭지해수욕장,2021-01-02,1
2,신양섭지해수욕장,2021-01-03,1
3,신양섭지해수욕장,2021-01-04,0
4,신양섭지해수욕장,2021-01-05,1
5,신양섭지해수욕장,2021-01-06,0
6,신양섭지해수욕장,2021-01-07,0
7,신양섭지해수욕장,2021-01-08,0
8,신양섭지해수욕장,2021-01-09,1
9,신양섭지해수욕장,2021-01-10,2
10,신양섭지해수욕장,2021-01-11,1
11,신양섭지해수욕장,2021-01-12,0
12,신양섭지해수욕장,2021-01-13,2
13,신양섭지해수욕장,2021-01-14,3
14,신양섭지해수욕장,2021-01-15,1
15,신양섭지해수욕장,2021-01-16,1
16,신양섭지해수욕장,2021-01-17,4
17,신양섭지해수욕장,2021-01-18,1
18,신양섭지해수욕장,2021-01-19,1
19,신양섭지해수욕장,2021-01-20,0
20,신양섭지해수욕장,2021-01-21,1
21,신양섭지해수욕장,2021-01-22,1
22,신양섭지해수욕장,2021-01-23,1
23,신양섭지해수욕장,2021-01-24,0
24,신양섭지해수욕장,2021-01-25,0
25,신양섭지해수욕장,2021-01-26,7
26,신양섭지해수욕장,2021-01-27,2
27,신양섭지해수욕장,2021-01-28,4
28,신양섭지해수욕장,2021-01-29,1
29,신양섭지해수욕장,2021-01-30,2
30,신양섭지해수욕장,2021-01-31,2
31,신양섭지해수욕장,2021-02-01,1
32,신양섭지해수욕장,2021-02-02,0
33,신양섭지해수욕장,2021-02-03,2
34,신양섭지해수욕장,2021-02-04,0
35,신양섭지해수욕장,2021-02-05,1
36,신양섭지해수욕장,2021-02-06,0
37,신양섭지해수욕장,2021-02-07,0
38,신양섭지해수욕장,2021-02-08,2
39,신양섭지해수욕장,2021-02-09,1
40,신양섭지해수욕장,2021-02-10,0
41,신양섭지해수욕장,2021-02-11,1
42,신양섭지해수욕장,2021-02-12,1
43,신양섭지해수욕장,2021-02-13,0
44,신양섭지해수욕장,2021-02-14,0
45,신양섭지해수욕장,2021-02-15,1
46,신양섭지해수욕장,2021-02-16,3
47,신양섭지해수욕장,2021-02-17,2
