,관광지,날짜,버즈량
0,아부오름,2021-01-01,8
1,아부오름,2021-01-02,11
2,아부오름,2021-01-03,16
3,아부오름,2021-01-04,11
4,아부오름,2021-01-05,8
5,아부오름,2021-01-06,8
6,아부오름,2021-01-07,12
7,아부오름,2021-01-08,9
8,아부오름,2021-01-09,11
9,아부오름,2021-01-10,11
10,아부오름,2021-01-11,14
11,아부오름,2021-01-12,5
12,아부오름,2021-01-13,6
13,아부오름,2021-01-14,13
14,아부오름,2021-01-15,8
15,아부오름,2021-01-16,3
16,아부오름,2021-01-17,10
17,아부오름,2021-01-18,3
18,아부오름,2021-01-19,10
19,아부오름,2021-01-20,11
20,아부오름,2021-01-21,8
21,아부오름,2021-01-22,3
22,아부오름,2021-01-23,7
23,아부오름,2021-01-24,4
24,아부오름,2021-01-25,9
25,아부오름,2021-01-26,7
26,아부오름,2021-01-27,11
27,아부오름,2021-01-28,9
28,아부오름,2021-01-29,10
29,아부오름,2021-01-30,9
30,아부오름,2021-01-31,12
31,아부오름,2021-02-01,7
32,아부오름,2021-02-02,9
33,아부오름,2021-02-03,10
34,아부오름,2021-02-04,8
35,아부오름,2021-02-05,10
36,아부오름,2021-02-06,8
37,아부오름,2021-02-07,13
38,아부오름,2021-02-08,9
39,아부오름,2021-02-09,15
40,아부오름,2021-02-10,7
41,아부오름,2021-02-11,12
42,아부오름,2021-02-12,2
43,아부오름,2021-02-13,6
44,아부오름,2021-02-14,8
45,아부오름,2021-02-15,10
46,아부오름,2021-02-16,9
47,아부오름,2021-02-17,5
48,아부오름,2021-02-18,12
49,아부오름,2021-02-19,11
50,아부오름,2021-02-20,8
51,아부오름,2021-02-21,6
52,아부오름,2021-02-22,11
53,아부오름,2021-02-23,6
54,아부오름,2021-02-24,10
55,아부오름,2021-02-25,9
56,아부오름,2021-02-26,9
57,아부오름,2021-02-27,8
58,아부오름,2021-02-28,13
59,아부오름,2021-03-01,6
60,아부오름,2021-03-02,5
61,아부오름,2021-03-03,6
62,아부오름,2021-03-04,9
63,아부오름,2021-03-05,5
64,아부오름,2021-03-06,5
65,아부오름,2021-03-07,11
66,아부오름,2021-03-08,9
67,아부오름,2021-03-09,8
68,아부오름,2021-03-10,11
69,아부오름,2021-03-11,5
70,아부오름,2021-03-12,8
71,아부오름,2021-03-13,4
72,아부오름,2021-03-14,12
73,아부오름,2021-03-15,9
74,아부오름,2021-03-16,9
75,아부오름,2021-03-17,13
76,아부오름,2021-03-18,11
77,아부오름,2021-03-19,10
78,아부오름,2021-03-20,9
79,아부오름,2021-03-21,5
80,아부오름,2021-03-22,11
81,아부오름,2021-03-23,15
82,아부오름,2021-03-24,6
83,아부오름,2021-03-25,13
84,아부오름,2021-03-26,10
85,아부오름,2021-03-27,14
86,아부오름,2021-03-28,10
87,아부오름,2021-03-29,11
88,아부오름,2021-03-30,10
89,아부오름,2021-03-31,10
90,아부오름,2021-04-01,16
91,아부오름,2021-04-02,9
92,아부오름,2021-04-03,8
93,아부오름,2021-04-04,7
94,아부오름,2021-04-05,9
95,아부오름,2021-04-06,8
96,아부오름,2021-04-07,13
97,아부오름,2021-04-08,12
98,아부오름,2021-04-09,12
