,관광지,날짜,버즈량
0,아쿠아플라넷제주,2021-01-01,6
1,아쿠아플라넷제주,2021-01-02,6
2,아쿠아플라넷제주,2021-01-03,7
3,아쿠아플라넷제주,2021-01-04,8
4,아쿠아플라넷제주,2021-01-05,9
5,아쿠아플라넷제주,2021-01-06,8
6,아쿠아플라넷제주,2021-01-07,6
7,아쿠아플라넷제주,2021-01-08,4
8,아쿠아플라넷제주,2021-01-09,6
9,아쿠아플라넷제주,2021-01-10,12
10,아쿠아플라넷제주,2021-01-11,6
11,아쿠아플라넷제주,2021-01-12,3
12,아쿠아플라넷제주,2021-01-13,7
13,아쿠아플라넷제주,2021-01-14,2
14,아쿠아플라넷제주,2021-01-15,3
15,아쿠아플라넷제주,2021-01-16,1
16,아쿠아플라넷제주,2021-01-17,9
17,아쿠아플라넷제주,2021-01-18,4
18,아쿠아플라넷제주,2021-01-19,9
19,아쿠아플라넷제주,2021-01-20,4
20,아쿠아플라넷제주,2021-01-21,4
21,아쿠아플라넷제주,2021-01-22,2
22,아쿠아플라넷제주,2021-01-23,4
23,아쿠아플라넷제주,2021-01-24,4
24,아쿠아플라넷제주,2021-01-25,7
25,아쿠아플라넷제주,2021-01-26,8
26,아쿠아플라넷제주,2021-01-27,3
27,아쿠아플라넷제주,2021-01-28,3
28,아쿠아플라넷제주,2021-01-29,6
29,아쿠아플라넷제주,2021-01-30,2
30,아쿠아플라넷제주,2021-01-31,3
31,아쿠아플라넷제주,2021-02-01,3
32,아쿠아플라넷제주,2021-02-02,4
33,아쿠아플라넷제주,2021-02-03,6
34,아쿠아플라넷제주,2021-02-04,3
35,아쿠아플라넷제주,2021-02-05,6
36,아쿠아플라넷제주,2021-02-06,10
37,아쿠아플라넷제주,2021-02-07,3
38,아쿠아플라넷제주,2021-02-08,3
39,아쿠아플라넷제주,2021-02-09,5
40,아쿠아플라넷제주,2021-02-10,1
41,아쿠아플라넷제주,2021-02-11,3
42,아쿠아플라넷제주,2021-02-12,4
43,아쿠아플라넷제주,2021-02-13,6
44,아쿠아플라넷제주,2021-02-14,5
45,아쿠아플라넷제주,2021-02-15,6
46,아쿠아플라넷제주,2021-02-16,10
47,아쿠아플라넷제주,2021-02-17,5
48,아쿠아플라넷제주,2021-02-18,11
49,아쿠아플라넷제주,2021-02-19,5
50,아쿠아플라넷제주,2021-02-20,2
51,아쿠아플라넷제주,2021-02-21,5
52,아쿠아플라넷제주,2021-02-22,13
53,아쿠아플라넷제주,2021-02-23,5
54,아쿠아플라넷제주,2021-02-24,8
55,아쿠아플라넷제주,2021-02-25,11
56,아쿠아플라넷제주,2021-02-26,6
57,아쿠아플라넷제주,2021-02-27,5
58,아쿠아플라넷제주,2021-02-28,5
59,아쿠아플라넷제주,2021-03-01,11
60,아쿠아플라넷제주,2021-03-02,8
61,아쿠아플라넷제주,2021-03-03,6
62,아쿠아플라넷제주,2021-03-04,11
63,아쿠아플라넷제주,2021-03-05,7
64,아쿠아플라넷제주,2021-03-06,5
65,아쿠아플라넷제주,2021-03-07,3
66,아쿠아플라넷제주,2021-03-08,5
67,아쿠아플라넷제주,2021-03-09,4
68,아쿠아플라넷제주,2021-03-10,4
69,아쿠아플라넷제주,2021-03-11,3
70,아쿠아플라넷제주,2021-03-12,2
71,아쿠아플라넷제주,2021-03-13,1
72,아쿠아플라넷제주,2021-03-14,4
73,아쿠아플라넷제주,2021-03-15,8
74,아쿠아플라넷제주,2021-03-16,8
75,아쿠아플라넷제주,2021-03-17,8
76,아쿠아플라넷제주,2021-03-18,5
77,아쿠아플라넷제주,2021-03-19,12
78,아쿠아플라넷제주,2021-03-20,9
79,아쿠아플라넷제주,2021-03-21,10
80,아쿠아플라넷제주,2021-03-22,13
81,아쿠아플라넷제주,2021-03-23,15
82,아쿠아플라넷제주,2021-03-24,10
83,아쿠아플라넷제주,2021-03-25,10
84,아쿠아플라넷제주,2021-03-26,11
85,아쿠아플라넷제주,2021-03-27,7
86,아쿠아플라넷제주,2021-03-28,6
87,아쿠아플라넷제주,2021-03-29,13
88,아쿠아플라넷제주,2021-03-30,9
89,아쿠아플라넷제주,2021-03-31,5
90,아쿠아플라넷제주,2021-04-01,7
91,아쿠아플라넷제주,2021-04-02,4
92,아쿠아플라넷제주,2021-04-03,9
93,아쿠아플라넷제주,2021-04-04,3
94,아쿠아플라넷제주,2021-04-05,9
95,아쿠아플라넷제주,2021-04-06,13
96,아쿠아플라넷제주,2021-04-07,8
97,아쿠아플라넷제주,2021-04-08,10
98,아쿠아플라넷제주,2021-04-09,5
99,아쿠아플라넷제주,2021-04-10,10
100,아쿠아플라넷제주,2021-04-11,7
101,아쿠아플라넷제주,2021-04-12,13
102,아쿠아플라넷제주,2021-04-13,15
103,아쿠아플라넷제주,2021-04-14,8
104,아쿠아플라넷제주,2021-04-15,10
105,아쿠아플라넷제주,2021-04-16,4
106,아쿠아플라넷제주,2021-04-17,8
107,아쿠아플라넷제주,2021-04-18,5
108,아쿠아플라넷제주,2021-04-19,12
109,아쿠아플라넷제주,2021-04-20,10
110,아쿠아플라넷제주,2021-04-21,16
111,아쿠아플라넷제주,2021-04-22,5
112,아쿠아플라넷제주,2021-04-23,21
113,아쿠아플라넷제주,2021-04-24,11
114,아쿠아플라넷제주,2021-04-25,15
115,아쿠아플라넷제주,2021-04-26,8
116,아쿠아플라넷제주,2021-04-27,11
117,아쿠아플라넷제주,2021-04-28,11
118,아쿠아플라넷제주,2021-04-29,12
119,아쿠아플라넷제주,2021-04-30,7
120,아쿠아플라넷제주,2021-05-01,9
121,아쿠아플라넷제주,2021-05-02,5
122,아쿠아플라넷제주,2021-05-03,11
123,아쿠아플라넷제주,2021-05-04,15
124,아쿠아플라넷제주,2021-05-05,6
125,아쿠아플라넷제주,2021-05-06,13
126,아쿠아플라넷제주,2021-05-07,7
127,아쿠아플라넷제주,2021-05-08,6
128,아쿠아플라넷제주,2021-05-09,8
129,아쿠아플라넷제주,2021-05-10,7
130,아쿠아플라넷제주,2021-05-11,10
131,아쿠아플라넷제주,2021-05-12,10
132,아쿠아플라넷제주,2021-05-13,8
133,아쿠아플라넷제주,2021-05-14,3
134,아쿠아플라넷제주,2021-05-15,6
135,아쿠아플라넷제주,2021-05-16,2
136,아쿠아플라넷제주,2021-05-17,11
137,아쿠아플라넷제주,2021-05-18,11
138,아쿠아플라넷제주,2021-05-19,8
139,아쿠아플라넷제주,2021-05-20,10
140,아쿠아플라넷제주,2021-05-21,6
