,관광지,날짜,버즈량
0,알뜨르비행장,2021-01-01,2
1,알뜨르비행장,2021-01-02,1
2,알뜨르비행장,2021-01-03,2
3,알뜨르비행장,2021-01-04,2
4,알뜨르비행장,2021-01-05,3
5,알뜨르비행장,2021-01-06,3
6,알뜨르비행장,2021-01-07,2
7,알뜨르비행장,2021-01-08,1
8,알뜨르비행장,2021-01-09,2
9,알뜨르비행장,2021-01-10,1
10,알뜨르비행장,2021-01-11,4
11,알뜨르비행장,2021-01-12,4
12,알뜨르비행장,2021-01-13,3
13,알뜨르비행장,2021-01-14,4
14,알뜨르비행장,2021-01-15,3
15,알뜨르비행장,2021-01-16,5
16,알뜨르비행장,2021-01-17,3
17,알뜨르비행장,2021-01-18,1
18,알뜨르비행장,2021-01-19,1
19,알뜨르비행장,2021-01-20,1
20,알뜨르비행장,2021-01-21,1
21,알뜨르비행장,2021-01-22,5
22,알뜨르비행장,2021-01-23,3
23,알뜨르비행장,2021-01-24,4
24,알뜨르비행장,2021-01-25,5
25,알뜨르비행장,2021-01-26,2
26,알뜨르비행장,2021-01-27,4
27,알뜨르비행장,2021-01-28,2
28,알뜨르비행장,2021-01-29,2
29,알뜨르비행장,2021-01-30,3
30,알뜨르비행장,2021-01-31,1
31,알뜨르비행장,2021-02-01,3
32,알뜨르비행장,2021-02-02,4
33,알뜨르비행장,2021-02-03,1
34,알뜨르비행장,2021-02-04,6
35,알뜨르비행장,2021-02-05,4
36,알뜨르비행장,2021-02-06,5
37,알뜨르비행장,2021-02-07,2
38,알뜨르비행장,2021-02-08,3
39,알뜨르비행장,2021-02-09,3
40,알뜨르비행장,2021-02-10,2
41,알뜨르비행장,2021-02-11,7
42,알뜨르비행장,2021-02-12,2
43,알뜨르비행장,2021-02-13,4
44,알뜨르비행장,2021-02-14,1
45,알뜨르비행장,2021-02-15,4
46,알뜨르비행장,2021-02-16,5
47,알뜨르비행장,2021-02-17,4
48,알뜨르비행장,2021-02-18,3
49,알뜨르비행장,2021-02-19,3
50,알뜨르비행장,2021-02-20,3
51,알뜨르비행장,2021-02-21,4
52,알뜨르비행장,2021-02-22,3
53,알뜨르비행장,2021-02-23,1
54,알뜨르비행장,2021-02-24,2
55,알뜨르비행장,2021-02-25,9
56,알뜨르비행장,2021-02-26,5
57,알뜨르비행장,2021-02-27,4
58,알뜨르비행장,2021-02-28,0
59,알뜨르비행장,2021-03-01,5
60,알뜨르비행장,2021-03-02,6
61,알뜨르비행장,2021-03-03,2
62,알뜨르비행장,2021-03-04,3
63,알뜨르비행장,2021-03-05,3
64,알뜨르비행장,2021-03-06,2
65,알뜨르비행장,2021-03-07,3
66,알뜨르비행장,2021-03-08,13
67,알뜨르비행장,2021-03-09,4
68,알뜨르비행장,2021-03-10,6
