,관광지,날짜,버즈량
0,약천사,2021-01-01,7
1,약천사,2021-01-02,7
2,약천사,2021-01-03,7
3,약천사,2021-01-04,8
4,약천사,2021-01-05,3
5,약천사,2021-01-06,6
6,약천사,2021-01-07,3
7,약천사,2021-01-08,11
8,약천사,2021-01-09,4
9,약천사,2021-01-10,4
10,약천사,2021-01-11,12
11,약천사,2021-01-12,6
12,약천사,2021-01-13,9
13,약천사,2021-01-14,6
14,약천사,2021-01-15,3
15,약천사,2021-01-16,4
16,약천사,2021-01-17,3
17,약천사,2021-01-18,2
18,약천사,2021-01-19,3
19,약천사,2021-01-20,3
20,약천사,2021-01-21,5
21,약천사,2021-01-22,8
22,약천사,2021-01-23,3
23,약천사,2021-01-24,4
24,약천사,2021-01-25,7
25,약천사,2021-01-26,6
26,약천사,2021-01-27,5
27,약천사,2021-01-28,2
28,약천사,2021-01-29,3
29,약천사,2021-01-30,3
30,약천사,2021-01-31,7
31,약천사,2021-02-01,5
32,약천사,2021-02-02,4
33,약천사,2021-02-03,9
34,약천사,2021-02-04,4
35,약천사,2021-02-05,7
36,약천사,2021-02-06,2
37,약천사,2021-02-07,6
38,약천사,2021-02-08,8
39,약천사,2021-02-09,5
40,약천사,2021-02-10,2
41,약천사,2021-02-11,10
42,약천사,2021-02-12,2
43,약천사,2021-02-13,4
44,약천사,2021-02-14,6
45,약천사,2021-02-15,10
46,약천사,2021-02-16,3
47,약천사,2021-02-17,8
48,약천사,2021-02-18,9
49,약천사,2021-02-19,2
50,약천사,2021-02-20,5
51,약천사,2021-02-21,6
52,약천사,2021-02-22,6
53,약천사,2021-02-23,7
54,약천사,2021-02-24,4
55,약천사,2021-02-25,2
56,약천사,2021-02-26,8
57,약천사,2021-02-27,3
58,약천사,2021-02-28,5
59,약천사,2021-03-01,9
60,약천사,2021-03-02,8
61,약천사,2021-03-03,5
62,약천사,2021-03-04,7
63,약천사,2021-03-05,5
64,약천사,2021-03-06,5
65,약천사,2021-03-07,7
66,약천사,2021-03-08,8
67,약천사,2021-03-09,10
68,약천사,2021-03-10,8
69,약천사,2021-03-11,3
70,약천사,2021-03-12,6
71,약천사,2021-03-13,4
72,약천사,2021-03-14,7
73,약천사,2021-03-15,7
74,약천사,2021-03-16,8
75,약천사,2021-03-17,4
76,약천사,2021-03-18,10
77,약천사,2021-03-19,6
