,관광지,날짜,버즈량
0,엉알해안산책로,2021-01-01,0
1,엉알해안산책로,2021-01-02,1
2,엉알해안산책로,2021-01-03,0
3,엉알해안산책로,2021-01-04,0
4,엉알해안산책로,2021-01-05,0
5,엉알해안산책로,2021-01-06,0
6,엉알해안산책로,2021-01-07,0
7,엉알해안산책로,2021-01-08,0
8,엉알해안산책로,2021-01-09,1
9,엉알해안산책로,2021-01-10,1
10,엉알해안산책로,2021-01-11,0
11,엉알해안산책로,2021-01-12,0
12,엉알해안산책로,2021-01-13,2
13,엉알해안산책로,2021-01-14,1
14,엉알해안산책로,2021-01-15,0
15,엉알해안산책로,2021-01-16,1
16,엉알해안산책로,2021-01-17,0
17,엉알해안산책로,2021-01-18,0
18,엉알해안산책로,2021-01-19,0
19,엉알해안산책로,2021-01-20,0
20,엉알해안산책로,2021-01-21,0
21,엉알해안산책로,2021-01-22,0
22,엉알해안산책로,2021-01-23,1
23,엉알해안산책로,2021-01-24,1
24,엉알해안산책로,2021-01-25,0
25,엉알해안산책로,2021-01-26,0
26,엉알해안산책로,2021-01-27,0
27,엉알해안산책로,2021-01-28,1
28,엉알해안산책로,2021-01-29,0
29,엉알해안산책로,2021-01-30,0
30,엉알해안산책로,2021-01-31,3
31,엉알해안산책로,2021-02-01,0
32,엉알해안산책로,2021-02-02,0
33,엉알해안산책로,2021-02-03,1
34,엉알해안산책로,2021-02-04,0
35,엉알해안산책로,2021-02-05,0
36,엉알해안산책로,2021-02-06,0
37,엉알해안산책로,2021-02-07,0
38,엉알해안산책로,2021-02-08,0
39,엉알해안산책로,2021-02-09,0
40,엉알해안산책로,2021-02-10,0
41,엉알해안산책로,2021-02-11,0
42,엉알해안산책로,2021-02-12,1
43,엉알해안산책로,2021-02-13,0
44,엉알해안산책로,2021-02-14,0
45,엉알해안산책로,2021-02-15,1
46,엉알해안산책로,2021-02-16,0
47,엉알해안산책로,2021-02-17,0
48,엉알해안산책로,2021-02-18,0
49,엉알해안산책로,2021-02-19,0
50,엉알해안산책로,2021-02-20,0
51,엉알해안산책로,2021-02-21,0
52,엉알해안산책로,2021-02-22,1
53,엉알해안산책로,2021-02-23,0
54,엉알해안산책로,2021-02-24,3
55,엉알해안산책로,2021-02-25,1
56,엉알해안산책로,2021-02-26,0
57,엉알해안산책로,2021-02-27,0
58,엉알해안산책로,2021-02-28,1
59,엉알해안산책로,2021-03-01,0
60,엉알해안산책로,2021-03-02,4
61,엉알해안산책로,2021-03-03,3
62,엉알해안산책로,2021-03-04,0
