,관광지,날짜,버즈량
0,용두암,2021-01-01,22
1,용두암,2021-01-02,24
2,용두암,2021-01-03,23
3,용두암,2021-01-04,24
4,용두암,2021-01-05,29
5,용두암,2021-01-06,35
6,용두암,2021-01-07,43
7,용두암,2021-01-08,34
8,용두암,2021-01-09,36
9,용두암,2021-01-10,24
10,용두암,2021-01-11,45
11,용두암,2021-01-12,30
12,용두암,2021-01-13,55
13,용두암,2021-01-14,36
14,용두암,2021-01-15,38
15,용두암,2021-01-16,15
16,용두암,2021-01-17,24
17,용두암,2021-01-18,32
18,용두암,2021-01-19,30
19,용두암,2021-01-20,36
20,용두암,2021-01-21,41
21,용두암,2021-01-22,29
22,용두암,2021-01-23,22
23,용두암,2021-01-24,20
24,용두암,2021-01-25,30
25,용두암,2021-01-26,33
26,용두암,2021-01-27,30
27,용두암,2021-01-28,39
28,용두암,2021-01-29,39
29,용두암,2021-01-30,22
30,용두암,2021-01-31,22
31,용두암,2021-02-01,32
32,용두암,2021-02-02,55
33,용두암,2021-02-03,41
34,용두암,2021-02-04,37
35,용두암,2021-02-05,42
36,용두암,2021-02-06,24
37,용두암,2021-02-07,24
38,용두암,2021-02-08,42
39,용두암,2021-02-09,52
40,용두암,2021-02-10,30
41,용두암,2021-02-11,31
42,용두암,2021-02-12,28
43,용두암,2021-02-13,18
44,용두암,2021-02-14,32
45,용두암,2021-02-15,29
46,용두암,2021-02-16,32
47,용두암,2021-02-17,33
48,용두암,2021-02-18,20
49,용두암,2021-02-19,21
50,용두암,2021-02-20,25
51,용두암,2021-02-21,26
52,용두암,2021-02-22,25
53,용두암,2021-02-23,26
54,용두암,2021-02-24,25
55,용두암,2021-02-25,24
56,용두암,2021-02-26,30
57,용두암,2021-02-27,23
58,용두암,2021-02-28,34
59,용두암,2021-03-01,29
60,용두암,2021-03-02,29
61,용두암,2021-03-03,24
62,용두암,2021-03-04,34
63,용두암,2021-03-05,30
64,용두암,2021-03-06,27
65,용두암,2021-03-07,29
66,용두암,2021-03-08,39
67,용두암,2021-03-09,42
68,용두암,2021-03-10,28
69,용두암,2021-03-11,27
70,용두암,2021-03-12,38
71,용두암,2021-03-13,24
72,용두암,2021-03-14,25
73,용두암,2021-03-15,44
