,관광지,날짜,버즈량
0,우도도항선선착장,2021-01-01,2
1,우도도항선선착장,2021-01-02,3
2,우도도항선선착장,2021-01-03,0
3,우도도항선선착장,2021-01-04,0
4,우도도항선선착장,2021-01-05,0
5,우도도항선선착장,2021-01-06,0
6,우도도항선선착장,2021-01-07,1
7,우도도항선선착장,2021-01-08,0
8,우도도항선선착장,2021-01-09,1
9,우도도항선선착장,2021-01-10,1
10,우도도항선선착장,2021-01-11,1
11,우도도항선선착장,2021-01-12,1
12,우도도항선선착장,2021-01-13,0
13,우도도항선선착장,2021-01-14,0
14,우도도항선선착장,2021-01-15,0
15,우도도항선선착장,2021-01-16,0
16,우도도항선선착장,2021-01-17,0
17,우도도항선선착장,2021-01-18,0
18,우도도항선선착장,2021-01-19,0
19,우도도항선선착장,2021-01-20,0
20,우도도항선선착장,2021-01-21,0
21,우도도항선선착장,2021-01-22,0
22,우도도항선선착장,2021-01-23,0
23,우도도항선선착장,2021-01-24,0
24,우도도항선선착장,2021-01-25,0
25,우도도항선선착장,2021-01-26,1
26,우도도항선선착장,2021-01-27,0
27,우도도항선선착장,2021-01-28,0
28,우도도항선선착장,2021-01-29,0
29,우도도항선선착장,2021-01-30,0
30,우도도항선선착장,2021-01-31,2
31,우도도항선선착장,2021-02-01,0
32,우도도항선선착장,2021-02-02,0
33,우도도항선선착장,2021-02-03,0
34,우도도항선선착장,2021-02-04,0
35,우도도항선선착장,2021-02-05,1
36,우도도항선선착장,2021-02-06,0
37,우도도항선선착장,2021-02-07,0
38,우도도항선선착장,2021-02-08,0
39,우도도항선선착장,2021-02-09,0
40,우도도항선선착장,2021-02-10,1
41,우도도항선선착장,2021-02-11,1
42,우도도항선선착장,2021-02-12,0
43,우도도항선선착장,2021-02-13,0
44,우도도항선선착장,2021-02-14,0
45,우도도항선선착장,2021-02-15,0
46,우도도항선선착장,2021-02-16,0
47,우도도항선선착장,2021-02-17,0
48,우도도항선선착장,2021-02-18,0
49,우도도항선선착장,2021-02-19,0
50,우도도항선선착장,2021-02-20,0
51,우도도항선선착장,2021-02-21,0
52,우도도항선선착장,2021-02-22,2
53,우도도항선선착장,2021-02-23,2
54,우도도항선선착장,2021-02-24,0
55,우도도항선선착장,2021-02-25,0
56,우도도항선선착장,2021-02-26,1
57,우도도항선선착장,2021-02-27,0
58,우도도항선선착장,2021-02-28,0
59,우도도항선선착장,2021-03-01,1
60,우도도항선선착장,2021-03-02,0
61,우도도항선선착장,2021-03-03,0
62,우도도항선선착장,2021-03-04,0
63,우도도항선선착장,2021-03-05,0
64,우도도항선선착장,2021-03-06,2
65,우도도항선선착장,2021-03-07,1
66,우도도항선선착장,2021-03-08,1
67,우도도항선선착장,2021-03-09,2
68,우도도항선선착장,2021-03-10,0
69,우도도항선선착장,2021-03-11,0
70,우도도항선선착장,2021-03-12,1
71,우도도항선선착장,2021-03-13,2
72,우도도항선선착장,2021-03-14,1
73,우도도항선선착장,2021-03-15,0
74,우도도항선선착장,2021-03-16,0
75,우도도항선선착장,2021-03-17,1
76,우도도항선선착장,2021-03-18,1
77,우도도항선선착장,2021-03-19,0
78,우도도항선선착장,2021-03-20,0
79,우도도항선선착장,2021-03-21,0
80,우도도항선선착장,2021-03-22,1
81,우도도항선선착장,2021-03-23,0
82,우도도항선선착장,2021-03-24,0
83,우도도항선선착장,2021-03-25,0
84,우도도항선선착장,2021-03-26,1
85,우도도항선선착장,2021-03-27,0
86,우도도항선선착장,2021-03-28,0
87,우도도항선선착장,2021-03-29,0
88,우도도항선선착장,2021-03-30,3
89,우도도항선선착장,2021-03-31,0
90,우도도항선선착장,2021-04-01,0
91,우도도항선선착장,2021-04-02,1
92,우도도항선선착장,2021-04-03,0
93,우도도항선선착장,2021-04-04,1
94,우도도항선선착장,2021-04-05,0
95,우도도항선선착장,2021-04-06,0
96,우도도항선선착장,2021-04-07,1
97,우도도항선선착장,2021-04-08,2
98,우도도항선선착장,2021-04-09,1
99,우도도항선선착장,2021-04-10,2
100,우도도항선선착장,2021-04-11,0
101,우도도항선선착장,2021-04-12,2
102,우도도항선선착장,2021-04-13,0
103,우도도항선선착장,2021-04-14,0
104,우도도항선선착장,2021-04-15,0
105,우도도항선선착장,2021-04-16,1
106,우도도항선선착장,2021-04-17,0
107,우도도항선선착장,2021-04-18,0
108,우도도항선선착장,2021-04-19,0
109,우도도항선선착장,2021-04-20,1
110,우도도항선선착장,2021-04-21,0
111,우도도항선선착장,2021-04-22,0
112,우도도항선선착장,2021-04-23,1
113,우도도항선선착장,2021-04-24,0
114,우도도항선선착장,2021-04-25,1
115,우도도항선선착장,2021-04-26,0
116,우도도항선선착장,2021-04-27,0
117,우도도항선선착장,2021-04-28,3
118,우도도항선선착장,2021-04-29,0
119,우도도항선선착장,2021-04-30,1
120,우도도항선선착장,2021-05-01,0
121,우도도항선선착장,2021-05-02,0
122,우도도항선선착장,2021-05-03,0
123,우도도항선선착장,2021-05-04,0
124,우도도항선선착장,2021-05-05,0
125,우도도항선선착장,2021-05-06,0
126,우도도항선선착장,2021-05-07,2
127,우도도항선선착장,2021-05-08,1
128,우도도항선선착장,2021-05-09,0
