,관광지,날짜,버즈량
0,우도잠수함,2021-01-01,4
1,우도잠수함,2021-01-02,16
2,우도잠수함,2021-01-03,19
3,우도잠수함,2021-01-04,16
4,우도잠수함,2021-01-05,1
5,우도잠수함,2021-01-06,7
6,우도잠수함,2021-01-07,6
7,우도잠수함,2021-01-08,14
8,우도잠수함,2021-01-09,16
9,우도잠수함,2021-01-10,13
10,우도잠수함,2021-01-11,16
11,우도잠수함,2021-01-12,14
12,우도잠수함,2021-01-13,11
13,우도잠수함,2021-01-14,7
14,우도잠수함,2021-01-15,3
15,우도잠수함,2021-01-16,1
16,우도잠수함,2021-01-17,1
17,우도잠수함,2021-01-18,1
18,우도잠수함,2021-01-19,1
19,우도잠수함,2021-01-20,2
20,우도잠수함,2021-01-21,2
21,우도잠수함,2021-01-22,0
22,우도잠수함,2021-01-23,1
23,우도잠수함,2021-01-24,3
24,우도잠수함,2021-01-25,0
25,우도잠수함,2021-01-26,2
26,우도잠수함,2021-01-27,0
27,우도잠수함,2021-01-28,1
28,우도잠수함,2021-01-29,1
29,우도잠수함,2021-01-30,1
30,우도잠수함,2021-01-31,1
31,우도잠수함,2021-02-01,3
32,우도잠수함,2021-02-02,0
33,우도잠수함,2021-02-03,1
34,우도잠수함,2021-02-04,0
35,우도잠수함,2021-02-05,1
36,우도잠수함,2021-02-06,1
37,우도잠수함,2021-02-07,0
38,우도잠수함,2021-02-08,0
39,우도잠수함,2021-02-09,0
40,우도잠수함,2021-02-10,1
41,우도잠수함,2021-02-11,4
42,우도잠수함,2021-02-12,0
43,우도잠수함,2021-02-13,0
44,우도잠수함,2021-02-14,1
45,우도잠수함,2021-02-15,2
46,우도잠수함,2021-02-16,2
47,우도잠수함,2021-02-17,1
48,우도잠수함,2021-02-18,1
49,우도잠수함,2021-02-19,1
50,우도잠수함,2021-02-20,1
51,우도잠수함,2021-02-21,3
52,우도잠수함,2021-02-22,2
53,우도잠수함,2021-02-23,2
54,우도잠수함,2021-02-24,3
55,우도잠수함,2021-02-25,0
56,우도잠수함,2021-02-26,2
57,우도잠수함,2021-02-27,1
58,우도잠수함,2021-02-28,0
59,우도잠수함,2021-03-01,2
60,우도잠수함,2021-03-02,1
61,우도잠수함,2021-03-03,1
62,우도잠수함,2021-03-04,2
63,우도잠수함,2021-03-05,1
64,우도잠수함,2021-03-06,1
65,우도잠수함,2021-03-07,2
66,우도잠수함,2021-03-08,1
67,우도잠수함,2021-03-09,1
68,우도잠수함,2021-03-10,5
69,우도잠수함,2021-03-11,1
70,우도잠수함,2021-03-12,2
71,우도잠수함,2021-03-13,0
72,우도잠수함,2021-03-14,2
73,우도잠수함,2021-03-15,1
74,우도잠수함,2021-03-16,2
75,우도잠수함,2021-03-17,0
76,우도잠수함,2021-03-18,0
77,우도잠수함,2021-03-19,1
78,우도잠수함,2021-03-20,0
79,우도잠수함,2021-03-21,1
80,우도잠수함,2021-03-22,2
81,우도잠수함,2021-03-23,3
82,우도잠수함,2021-03-24,2
83,우도잠수함,2021-03-25,3
84,우도잠수함,2021-03-26,2
85,우도잠수함,2021-03-27,4
86,우도잠수함,2021-03-28,2
87,우도잠수함,2021-03-29,3
88,우도잠수함,2021-03-30,3
89,우도잠수함,2021-03-31,1
90,우도잠수함,2021-04-01,2
91,우도잠수함,2021-04-02,0
92,우도잠수함,2021-04-03,1
93,우도잠수함,2021-04-04,2
94,우도잠수함,2021-04-05,0
95,우도잠수함,2021-04-06,1
96,우도잠수함,2021-04-07,3
97,우도잠수함,2021-04-08,1
98,우도잠수함,2021-04-09,0
99,우도잠수함,2021-04-10,1
100,우도잠수함,2021-04-11,2
101,우도잠수함,2021-04-12,3
102,우도잠수함,2021-04-13,4
103,우도잠수함,2021-04-14,1
