,관광지,날짜,버즈량
0,원앙폭포,2021-01-01,2
1,원앙폭포,2021-01-02,7
2,원앙폭포,2021-01-03,4
3,원앙폭포,2021-01-04,5
4,원앙폭포,2021-01-05,3
5,원앙폭포,2021-01-06,1
6,원앙폭포,2021-01-07,3
7,원앙폭포,2021-01-08,3
8,원앙폭포,2021-01-09,3
9,원앙폭포,2021-01-10,3
10,원앙폭포,2021-01-11,6
11,원앙폭포,2021-01-12,5
12,원앙폭포,2021-01-13,3
13,원앙폭포,2021-01-14,4
14,원앙폭포,2021-01-15,3
15,원앙폭포,2021-01-16,2
16,원앙폭포,2021-01-17,2
17,원앙폭포,2021-01-18,6
18,원앙폭포,2021-01-19,5
19,원앙폭포,2021-01-20,5
20,원앙폭포,2021-01-21,2
21,원앙폭포,2021-01-22,5
22,원앙폭포,2021-01-23,3
23,원앙폭포,2021-01-24,0
24,원앙폭포,2021-01-25,5
25,원앙폭포,2021-01-26,1
26,원앙폭포,2021-01-27,2
27,원앙폭포,2021-01-28,2
28,원앙폭포,2021-01-29,5
29,원앙폭포,2021-01-30,2
30,원앙폭포,2021-01-31,2
31,원앙폭포,2021-02-01,2
32,원앙폭포,2021-02-02,6
33,원앙폭포,2021-02-03,3
34,원앙폭포,2021-02-04,2
35,원앙폭포,2021-02-05,3
36,원앙폭포,2021-02-06,4
37,원앙폭포,2021-02-07,0
38,원앙폭포,2021-02-08,3
39,원앙폭포,2021-02-09,5
40,원앙폭포,2021-02-10,2
41,원앙폭포,2021-02-11,0
42,원앙폭포,2021-02-12,2
43,원앙폭포,2021-02-13,4
44,원앙폭포,2021-02-14,3
45,원앙폭포,2021-02-15,4
46,원앙폭포,2021-02-16,3
47,원앙폭포,2021-02-17,0
48,원앙폭포,2021-02-18,4
49,원앙폭포,2021-02-19,1
50,원앙폭포,2021-02-20,0
51,원앙폭포,2021-02-21,3
52,원앙폭포,2021-02-22,5
53,원앙폭포,2021-02-23,3
54,원앙폭포,2021-02-24,0
55,원앙폭포,2021-02-25,2
56,원앙폭포,2021-02-26,5
57,원앙폭포,2021-02-27,3
58,원앙폭포,2021-02-28,2
59,원앙폭포,2021-03-01,1
60,원앙폭포,2021-03-02,3
61,원앙폭포,2021-03-03,3
62,원앙폭포,2021-03-04,5
63,원앙폭포,2021-03-05,4
64,원앙폭포,2021-03-06,2
65,원앙폭포,2021-03-07,4
66,원앙폭포,2021-03-08,3
67,원앙폭포,2021-03-09,3
68,원앙폭포,2021-03-10,1
69,원앙폭포,2021-03-11,6
70,원앙폭포,2021-03-12,4
71,원앙폭포,2021-03-13,3
72,원앙폭포,2021-03-14,5
73,원앙폭포,2021-03-15,4
74,원앙폭포,2021-03-16,4
75,원앙폭포,2021-03-17,4
76,원앙폭포,2021-03-18,3
77,원앙폭포,2021-03-19,3
78,원앙폭포,2021-03-20,3
79,원앙폭포,2021-03-21,4
80,원앙폭포,2021-03-22,5
81,원앙폭포,2021-03-23,4
82,원앙폭포,2021-03-24,3
83,원앙폭포,2021-03-25,2
84,원앙폭포,2021-03-26,1
85,원앙폭포,2021-03-27,1
86,원앙폭포,2021-03-28,5
87,원앙폭포,2021-03-29,3
88,원앙폭포,2021-03-30,2
89,원앙폭포,2021-03-31,3
90,원앙폭포,2021-04-01,3
91,원앙폭포,2021-04-02,5
92,원앙폭포,2021-04-03,1
93,원앙폭포,2021-04-04,6
94,원앙폭포,2021-04-05,2
95,원앙폭포,2021-04-06,1
96,원앙폭포,2021-04-07,2
97,원앙폭포,2021-04-08,5
98,원앙폭포,2021-04-09,3
99,원앙폭포,2021-04-10,3
100,원앙폭포,2021-04-11,4
101,원앙폭포,2021-04-12,3
102,원앙폭포,2021-04-13,4
103,원앙폭포,2021-04-14,5
104,원앙폭포,2021-04-15,3
105,원앙폭포,2021-04-16,5
106,원앙폭포,2021-04-17,3
107,원앙폭포,2021-04-18,3
108,원앙폭포,2021-04-19,6
109,원앙폭포,2021-04-20,3
110,원앙폭포,2021-04-21,8
111,원앙폭포,2021-04-22,1
112,원앙폭포,2021-04-23,2
113,원앙폭포,2021-04-24,5
114,원앙폭포,2021-04-25,10
115,원앙폭포,2021-04-26,8
116,원앙폭포,2021-04-27,7
117,원앙폭포,2021-04-28,4
118,원앙폭포,2021-04-29,8
119,원앙폭포,2021-04-30,7
120,원앙폭포,2021-05-01,6
121,원앙폭포,2021-05-02,7
122,원앙폭포,2021-05-03,3
123,원앙폭포,2021-05-04,4
124,원앙폭포,2021-05-05,8
125,원앙폭포,2021-05-06,9
126,원앙폭포,2021-05-07,6
127,원앙폭포,2021-05-08,8
