,관광지,날짜,버즈량
0,월정리해변,2021-01-01,17
1,월정리해변,2021-01-02,31
2,월정리해변,2021-01-03,34
3,월정리해변,2021-01-04,35
4,월정리해변,2021-01-05,23
5,월정리해변,2021-01-06,18
6,월정리해변,2021-01-07,30
7,월정리해변,2021-01-08,16
8,월정리해변,2021-01-09,23
9,월정리해변,2021-01-10,17
10,월정리해변,2021-01-11,32
11,월정리해변,2021-01-12,27
12,월정리해변,2021-01-13,21
13,월정리해변,2021-01-14,22
14,월정리해변,2021-01-15,59
15,월정리해변,2021-01-16,13
16,월정리해변,2021-01-17,21
17,월정리해변,2021-01-18,35
18,월정리해변,2021-01-19,21
19,월정리해변,2021-01-20,25
20,월정리해변,2021-01-21,21
21,월정리해변,2021-01-22,17
22,월정리해변,2021-01-23,24
23,월정리해변,2021-01-24,26
24,월정리해변,2021-01-25,28
25,월정리해변,2021-01-26,26
26,월정리해변,2021-01-27,25
27,월정리해변,2021-01-28,27
28,월정리해변,2021-01-29,21
29,월정리해변,2021-01-30,17
30,월정리해변,2021-01-31,20
31,월정리해변,2021-02-01,35
32,월정리해변,2021-02-02,30
33,월정리해변,2021-02-03,34
34,월정리해변,2021-02-04,28
35,월정리해변,2021-02-05,24
36,월정리해변,2021-02-06,20
37,월정리해변,2021-02-07,18
38,월정리해변,2021-02-08,27
39,월정리해변,2021-02-09,31
40,월정리해변,2021-02-10,28
41,월정리해변,2021-02-11,28
42,월정리해변,2021-02-12,25
43,월정리해변,2021-02-13,21
44,월정리해변,2021-02-14,18
45,월정리해변,2021-02-15,39
46,월정리해변,2021-02-16,38
47,월정리해변,2021-02-17,33
48,월정리해변,2021-02-18,24
49,월정리해변,2021-02-19,30
50,월정리해변,2021-02-20,18
51,월정리해변,2021-02-21,19
52,월정리해변,2021-02-22,35
53,월정리해변,2021-02-23,29
54,월정리해변,2021-02-24,28
55,월정리해변,2021-02-25,26
56,월정리해변,2021-02-26,27
57,월정리해변,2021-02-27,18
58,월정리해변,2021-02-28,24
59,월정리해변,2021-03-01,16
60,월정리해변,2021-03-02,24
61,월정리해변,2021-03-03,23
62,월정리해변,2021-03-04,24
63,월정리해변,2021-03-05,26
64,월정리해변,2021-03-06,22
65,월정리해변,2021-03-07,23
66,월정리해변,2021-03-08,37
67,월정리해변,2021-03-09,31
68,월정리해변,2021-03-10,36
69,월정리해변,2021-03-11,33
70,월정리해변,2021-03-12,28
71,월정리해변,2021-03-13,29
72,월정리해변,2021-03-14,17
73,월정리해변,2021-03-15,27
74,월정리해변,2021-03-16,45
75,월정리해변,2021-03-17,30
76,월정리해변,2021-03-18,25
77,월정리해변,2021-03-19,31
78,월정리해변,2021-03-20,26
79,월정리해변,2021-03-21,25
80,월정리해변,2021-03-22,32
81,월정리해변,2021-03-23,40
82,월정리해변,2021-03-24,25
83,월정리해변,2021-03-25,28
84,월정리해변,2021-03-26,27
85,월정리해변,2021-03-27,29
86,월정리해변,2021-03-28,29
87,월정리해변,2021-03-29,29
88,월정리해변,2021-03-30,38
89,월정리해변,2021-03-31,36
90,월정리해변,2021-04-01,42
91,월정리해변,2021-04-02,36
92,월정리해변,2021-04-03,19
93,월정리해변,2021-04-04,23
94,월정리해변,2021-04-05,37
95,월정리해변,2021-04-06,37
96,월정리해변,2021-04-07,31
97,월정리해변,2021-04-08,33
98,월정리해변,2021-04-09,32
99,월정리해변,2021-04-10,37
100,월정리해변,2021-04-11,25
101,월정리해변,2021-04-12,36
102,월정리해변,2021-04-13,47
103,월정리해변,2021-04-14,34
104,월정리해변,2021-04-15,37
105,월정리해변,2021-04-16,41
106,월정리해변,2021-04-17,25
107,월정리해변,2021-04-18,25
108,월정리해변,2021-04-19,39
109,월정리해변,2021-04-20,31
110,월정리해변,2021-04-21,45
111,월정리해변,2021-04-22,43
112,월정리해변,2021-04-23,41
113,월정리해변,2021-04-24,35
114,월정리해변,2021-04-25,32
115,월정리해변,2021-04-26,46
116,월정리해변,2021-04-27,39
117,월정리해변,2021-04-28,39
118,월정리해변,2021-04-29,39
119,월정리해변,2021-04-30,42
120,월정리해변,2021-05-01,32
121,월정리해변,2021-05-02,37
122,월정리해변,2021-05-03,45
123,월정리해변,2021-05-04,32
124,월정리해변,2021-05-05,35
125,월정리해변,2021-05-06,32
126,월정리해변,2021-05-07,42
127,월정리해변,2021-05-08,33
128,월정리해변,2021-05-09,41
129,월정리해변,2021-05-10,45
130,월정리해변,2021-05-11,36
131,월정리해변,2021-05-12,36
132,월정리해변,2021-05-13,43
133,월정리해변,2021-05-14,39
134,월정리해변,2021-05-15,37
135,월정리해변,2021-05-16,43
136,월정리해변,2021-05-17,52
137,월정리해변,2021-05-18,43
138,월정리해변,2021-05-19,27
139,월정리해변,2021-05-20,34
140,월정리해변,2021-05-21,36
141,월정리해변,2021-05-22,32
142,월정리해변,2021-05-23,38
143,월정리해변,2021-05-24,48
144,월정리해변,2021-05-25,42
145,월정리해변,2021-05-26,50
146,월정리해변,2021-05-27,48
147,월정리해변,2021-05-28,45
148,월정리해변,2021-05-29,44
149,월정리해변,2021-05-30,35
150,월정리해변,2021-05-31,46
151,월정리해변,2021-06-01,46
152,월정리해변,2021-06-02,49
153,월정리해변,2021-06-03,44
154,월정리해변,2021-06-04,54
155,월정리해변,2021-06-05,31
156,월정리해변,2021-06-06,28
157,월정리해변,2021-06-07,38
158,월정리해변,2021-06-08,53
159,월정리해변,2021-06-09,46
160,월정리해변,2021-06-10,34
161,월정리해변,2021-06-11,27
162,월정리해변,2021-06-12,28
