,관광지,날짜,버즈량
0,이호테우해변,2021-01-01,22
1,이호테우해변,2021-01-02,33
2,이호테우해변,2021-01-03,30
3,이호테우해변,2021-01-04,37
4,이호테우해변,2021-01-05,41
5,이호테우해변,2021-01-06,39
6,이호테우해변,2021-01-07,39
7,이호테우해변,2021-01-08,34
8,이호테우해변,2021-01-09,24
9,이호테우해변,2021-01-10,38
10,이호테우해변,2021-01-11,37
11,이호테우해변,2021-01-12,35
12,이호테우해변,2021-01-13,32
13,이호테우해변,2021-01-14,31
14,이호테우해변,2021-01-15,35
15,이호테우해변,2021-01-16,18
16,이호테우해변,2021-01-17,27
17,이호테우해변,2021-01-18,31
18,이호테우해변,2021-01-19,29
19,이호테우해변,2021-01-20,23
20,이호테우해변,2021-01-21,28
21,이호테우해변,2021-01-22,23
22,이호테우해변,2021-01-23,26
23,이호테우해변,2021-01-24,22
24,이호테우해변,2021-01-25,19
25,이호테우해변,2021-01-26,28
26,이호테우해변,2021-01-27,26
27,이호테우해변,2021-01-28,30
28,이호테우해변,2021-01-29,14
29,이호테우해변,2021-01-30,14
30,이호테우해변,2021-01-31,29
31,이호테우해변,2021-02-01,14
32,이호테우해변,2021-02-02,29
33,이호테우해변,2021-02-03,24
34,이호테우해변,2021-02-04,30
35,이호테우해변,2021-02-05,25
36,이호테우해변,2021-02-06,15
37,이호테우해변,2021-02-07,29
38,이호테우해변,2021-02-08,30
39,이호테우해변,2021-02-09,29
40,이호테우해변,2021-02-10,29
41,이호테우해변,2021-02-11,18
42,이호테우해변,2021-02-12,18
43,이호테우해변,2021-02-13,19
44,이호테우해변,2021-02-14,22
45,이호테우해변,2021-02-15,32
46,이호테우해변,2021-02-16,26
47,이호테우해변,2021-02-17,38
48,이호테우해변,2021-02-18,32
49,이호테우해변,2021-02-19,31
50,이호테우해변,2021-02-20,36
51,이호테우해변,2021-02-21,27
52,이호테우해변,2021-02-22,31
53,이호테우해변,2021-02-23,32
54,이호테우해변,2021-02-24,31
55,이호테우해변,2021-02-25,38
56,이호테우해변,2021-02-26,28
57,이호테우해변,2021-02-27,33
58,이호테우해변,2021-02-28,30
59,이호테우해변,2021-03-01,28
60,이호테우해변,2021-03-02,23
61,이호테우해변,2021-03-03,29
62,이호테우해변,2021-03-04,39
63,이호테우해변,2021-03-05,42
64,이호테우해변,2021-03-06,26
65,이호테우해변,2021-03-07,31
66,이호테우해변,2021-03-08,34
67,이호테우해변,2021-03-09,36
68,이호테우해변,2021-03-10,31
69,이호테우해변,2021-03-11,49
70,이호테우해변,2021-03-12,33
71,이호테우해변,2021-03-13,28
72,이호테우해변,2021-03-14,34
73,이호테우해변,2021-03-15,43
74,이호테우해변,2021-03-16,52
75,이호테우해변,2021-03-17,38
76,이호테우해변,2021-03-18,49
