,관광지,날짜,버즈량
0,일출랜드,2021-01-01,1
1,일출랜드,2021-01-02,1
2,일출랜드,2021-01-03,7
3,일출랜드,2021-01-04,1
4,일출랜드,2021-01-05,5
5,일출랜드,2021-01-06,6
6,일출랜드,2021-01-07,6
7,일출랜드,2021-01-08,3
8,일출랜드,2021-01-09,8
9,일출랜드,2021-01-10,3
10,일출랜드,2021-01-11,8
11,일출랜드,2021-01-12,2
12,일출랜드,2021-01-13,1
13,일출랜드,2021-01-14,2
14,일출랜드,2021-01-15,2
15,일출랜드,2021-01-16,1
16,일출랜드,2021-01-17,2
17,일출랜드,2021-01-18,1
18,일출랜드,2021-01-19,3
19,일출랜드,2021-01-20,2
20,일출랜드,2021-01-21,3
21,일출랜드,2021-01-22,1
22,일출랜드,2021-01-23,2
23,일출랜드,2021-01-24,2
24,일출랜드,2021-01-25,2
25,일출랜드,2021-01-26,1
26,일출랜드,2021-01-27,1
27,일출랜드,2021-01-28,2
28,일출랜드,2021-01-29,1
29,일출랜드,2021-01-30,1
30,일출랜드,2021-01-31,3
31,일출랜드,2021-02-01,0
32,일출랜드,2021-02-02,1
33,일출랜드,2021-02-03,0
34,일출랜드,2021-02-04,1
35,일출랜드,2021-02-05,0
36,일출랜드,2021-02-06,4
37,일출랜드,2021-02-07,1
38,일출랜드,2021-02-08,1
39,일출랜드,2021-02-09,2
40,일출랜드,2021-02-10,1
41,일출랜드,2021-02-11,2
42,일출랜드,2021-02-12,0
43,일출랜드,2021-02-13,2
44,일출랜드,2021-02-14,1
45,일출랜드,2021-02-15,1
46,일출랜드,2021-02-16,3
47,일출랜드,2021-02-17,1
48,일출랜드,2021-02-18,0
49,일출랜드,2021-02-19,2
50,일출랜드,2021-02-20,1
51,일출랜드,2021-02-21,4
52,일출랜드,2021-02-22,2
53,일출랜드,2021-02-23,0
54,일출랜드,2021-02-24,3
55,일출랜드,2021-02-25,2
56,일출랜드,2021-02-26,1
57,일출랜드,2021-02-27,2
58,일출랜드,2021-02-28,3
59,일출랜드,2021-03-01,0
60,일출랜드,2021-03-02,0
61,일출랜드,2021-03-03,1
62,일출랜드,2021-03-04,3
63,일출랜드,2021-03-05,4
64,일출랜드,2021-03-06,1
65,일출랜드,2021-03-07,1
66,일출랜드,2021-03-08,3
67,일출랜드,2021-03-09,3
68,일출랜드,2021-03-10,4
69,일출랜드,2021-03-11,3
70,일출랜드,2021-03-12,2
71,일출랜드,2021-03-13,2
72,일출랜드,2021-03-14,1
73,일출랜드,2021-03-15,2
74,일출랜드,2021-03-16,2
75,일출랜드,2021-03-17,2
76,일출랜드,2021-03-18,2
77,일출랜드,2021-03-19,3
78,일출랜드,2021-03-20,1
79,일출랜드,2021-03-21,3
80,일출랜드,2021-03-22,2
81,일출랜드,2021-03-23,1
82,일출랜드,2021-03-24,2
83,일출랜드,2021-03-25,4
84,일출랜드,2021-03-26,4
85,일출랜드,2021-03-27,2
86,일출랜드,2021-03-28,2
87,일출랜드,2021-03-29,0
88,일출랜드,2021-03-30,2
89,일출랜드,2021-03-31,5
90,일출랜드,2021-04-01,4
91,일출랜드,2021-04-02,2
92,일출랜드,2021-04-03,2
93,일출랜드,2021-04-04,3
94,일출랜드,2021-04-05,2
95,일출랜드,2021-04-06,6
96,일출랜드,2021-04-07,4
97,일출랜드,2021-04-08,3
98,일출랜드,2021-04-09,2
99,일출랜드,2021-04-10,3
100,일출랜드,2021-04-11,1
101,일출랜드,2021-04-12,6
102,일출랜드,2021-04-13,7
103,일출랜드,2021-04-14,2
104,일출랜드,2021-04-15,7
105,일출랜드,2021-04-16,6
106,일출랜드,2021-04-17,9
107,일출랜드,2021-04-18,6
108,일출랜드,2021-04-19,3
109,일출랜드,2021-04-20,1
110,일출랜드,2021-04-21,5
111,일출랜드,2021-04-22,4
112,일출랜드,2021-04-23,2
113,일출랜드,2021-04-24,1
114,일출랜드,2021-04-25,1
115,일출랜드,2021-04-26,7
116,일출랜드,2021-04-27,13
117,일출랜드,2021-04-28,4
118,일출랜드,2021-04-29,7
119,일출랜드,2021-04-30,5
120,일출랜드,2021-05-01,1
121,일출랜드,2021-05-02,5
122,일출랜드,2021-05-03,3
123,일출랜드,2021-05-04,3
124,일출랜드,2021-05-05,1
125,일출랜드,2021-05-06,3
126,일출랜드,2021-05-07,3
127,일출랜드,2021-05-08,1
128,일출랜드,2021-05-09,0
129,일출랜드,2021-05-10,2
130,일출랜드,2021-05-11,0
131,일출랜드,2021-05-12,4
132,일출랜드,2021-05-13,6
133,일출랜드,2021-05-14,4
134,일출랜드,2021-05-15,4
135,일출랜드,2021-05-16,2
136,일출랜드,2021-05-17,1
137,일출랜드,2021-05-18,9
138,일출랜드,2021-05-19,1
139,일출랜드,2021-05-20,1
140,일출랜드,2021-05-21,3
141,일출랜드,2021-05-22,0
142,일출랜드,2021-05-23,2
143,일출랜드,2021-05-24,2
144,일출랜드,2021-05-25,4
145,일출랜드,2021-05-26,1
146,일출랜드,2021-05-27,7
147,일출랜드,2021-05-28,1
148,일출랜드,2021-05-29,3
149,일출랜드,2021-05-30,2
150,일출랜드,2021-05-31,2
151,일출랜드,2021-06-01,2
152,일출랜드,2021-06-02,2
153,일출랜드,2021-06-03,3
154,일출랜드,2021-06-04,0
155,일출랜드,2021-06-05,1
156,일출랜드,2021-06-06,1
157,일출랜드,2021-06-07,1
158,일출랜드,2021-06-08,0
159,일출랜드,2021-06-09,1
160,일출랜드,2021-06-10,2
161,일출랜드,2021-06-11,3
