,관광지,날짜,버즈량
0,점보빌리지,2021-01-01,2
1,점보빌리지,2021-01-02,2
2,점보빌리지,2021-01-03,2
3,점보빌리지,2021-01-04,2
4,점보빌리지,2021-01-05,0
5,점보빌리지,2021-01-06,0
6,점보빌리지,2021-01-07,1
7,점보빌리지,2021-01-08,1
8,점보빌리지,2021-01-09,1
9,점보빌리지,2021-01-10,1
10,점보빌리지,2021-01-11,1
11,점보빌리지,2021-01-12,1
12,점보빌리지,2021-01-13,1
13,점보빌리지,2021-01-14,0
14,점보빌리지,2021-01-15,1
15,점보빌리지,2021-01-16,0
16,점보빌리지,2021-01-17,0
17,점보빌리지,2021-01-18,1
18,점보빌리지,2021-01-19,0
19,점보빌리지,2021-01-20,0
20,점보빌리지,2021-01-21,0
21,점보빌리지,2021-01-22,0
22,점보빌리지,2021-01-23,0
23,점보빌리지,2021-01-24,0
24,점보빌리지,2021-01-25,1
25,점보빌리지,2021-01-26,1
26,점보빌리지,2021-01-27,1
27,점보빌리지,2021-01-28,0
28,점보빌리지,2021-01-29,0
29,점보빌리지,2021-01-30,0
30,점보빌리지,2021-01-31,0
31,점보빌리지,2021-02-01,1
32,점보빌리지,2021-02-02,1
33,점보빌리지,2021-02-03,0
34,점보빌리지,2021-02-04,1
35,점보빌리지,2021-02-05,0
36,점보빌리지,2021-02-06,0
37,점보빌리지,2021-02-07,0
38,점보빌리지,2021-02-08,0
39,점보빌리지,2021-02-09,0
40,점보빌리지,2021-02-10,0
41,점보빌리지,2021-02-11,0
42,점보빌리지,2021-02-12,1
43,점보빌리지,2021-02-13,1
44,점보빌리지,2021-02-14,0
45,점보빌리지,2021-02-15,0
46,점보빌리지,2021-02-16,0
47,점보빌리지,2021-02-17,0
48,점보빌리지,2021-02-18,0
49,점보빌리지,2021-02-19,0
50,점보빌리지,2021-02-20,1
51,점보빌리지,2021-02-21,0
52,점보빌리지,2021-02-22,1
53,점보빌리지,2021-02-23,1
54,점보빌리지,2021-02-24,0
55,점보빌리지,2021-02-25,0
56,점보빌리지,2021-02-26,0
57,점보빌리지,2021-02-27,1
58,점보빌리지,2021-02-28,1
59,점보빌리지,2021-03-01,0
60,점보빌리지,2021-03-02,1
61,점보빌리지,2021-03-03,0
62,점보빌리지,2021-03-04,0
63,점보빌리지,2021-03-05,0
64,점보빌리지,2021-03-06,0
65,점보빌리지,2021-03-07,0
66,점보빌리지,2021-03-08,0
67,점보빌리지,2021-03-09,0
68,점보빌리지,2021-03-10,0
69,점보빌리지,2021-03-11,0
70,점보빌리지,2021-03-12,0
71,점보빌리지,2021-03-13,0
72,점보빌리지,2021-03-14,0
73,점보빌리지,2021-03-15,2
74,점보빌리지,2021-03-16,0
75,점보빌리지,2021-03-17,1
76,점보빌리지,2021-03-18,0
