,관광지,날짜,버즈량
0,정물오름,2021-01-01,1
1,정물오름,2021-01-02,2
2,정물오름,2021-01-03,0
3,정물오름,2021-01-04,1
4,정물오름,2021-01-05,2
5,정물오름,2021-01-06,1
6,정물오름,2021-01-07,2
7,정물오름,2021-01-08,0
8,정물오름,2021-01-09,2
9,정물오름,2021-01-10,0
10,정물오름,2021-01-11,1
11,정물오름,2021-01-12,1
12,정물오름,2021-01-13,3
13,정물오름,2021-01-14,3
14,정물오름,2021-01-15,2
15,정물오름,2021-01-16,1
16,정물오름,2021-01-17,2
17,정물오름,2021-01-18,0
18,정물오름,2021-01-19,2
19,정물오름,2021-01-20,0
20,정물오름,2021-01-21,2
21,정물오름,2021-01-22,0
22,정물오름,2021-01-23,3
23,정물오름,2021-01-24,3
24,정물오름,2021-01-25,3
25,정물오름,2021-01-26,4
26,정물오름,2021-01-27,5
27,정물오름,2021-01-28,0
28,정물오름,2021-01-29,1
29,정물오름,2021-01-30,2
30,정물오름,2021-01-31,2
31,정물오름,2021-02-01,3
32,정물오름,2021-02-02,1
33,정물오름,2021-02-03,1
34,정물오름,2021-02-04,1
35,정물오름,2021-02-05,2
36,정물오름,2021-02-06,2
37,정물오름,2021-02-07,2
38,정물오름,2021-02-08,3
39,정물오름,2021-02-09,6
40,정물오름,2021-02-10,3
41,정물오름,2021-02-11,2
42,정물오름,2021-02-12,2
43,정물오름,2021-02-13,5
44,정물오름,2021-02-14,3
45,정물오름,2021-02-15,5
46,정물오름,2021-02-16,2
47,정물오름,2021-02-17,2
48,정물오름,2021-02-18,1
49,정물오름,2021-02-19,0
50,정물오름,2021-02-20,2
51,정물오름,2021-02-21,3
52,정물오름,2021-02-22,2
53,정물오름,2021-02-23,0
54,정물오름,2021-02-24,2
55,정물오름,2021-02-25,2
56,정물오름,2021-02-26,2
57,정물오름,2021-02-27,1
58,정물오름,2021-02-28,0
59,정물오름,2021-03-01,6
60,정물오름,2021-03-02,3
61,정물오름,2021-03-03,0
62,정물오름,2021-03-04,1
63,정물오름,2021-03-05,0
64,정물오름,2021-03-06,1
65,정물오름,2021-03-07,0
66,정물오름,2021-03-08,1
67,정물오름,2021-03-09,0
68,정물오름,2021-03-10,1
69,정물오름,2021-03-11,3
70,정물오름,2021-03-12,1
71,정물오름,2021-03-13,1
72,정물오름,2021-03-14,0
73,정물오름,2021-03-15,0
74,정물오름,2021-03-16,1
75,정물오름,2021-03-17,2
76,정물오름,2021-03-18,1
77,정물오름,2021-03-19,2
78,정물오름,2021-03-20,1
79,정물오름,2021-03-21,1
80,정물오름,2021-03-22,1
81,정물오름,2021-03-23,0
82,정물오름,2021-03-24,1
83,정물오름,2021-03-25,3
84,정물오름,2021-03-26,3
85,정물오름,2021-03-27,2
86,정물오름,2021-03-28,1
87,정물오름,2021-03-29,0
88,정물오름,2021-03-30,2
89,정물오름,2021-03-31,1
90,정물오름,2021-04-01,2
91,정물오름,2021-04-02,0
92,정물오름,2021-04-03,2
93,정물오름,2021-04-04,1
94,정물오름,2021-04-05,3
95,정물오름,2021-04-06,3
96,정물오름,2021-04-07,0
97,정물오름,2021-04-08,1
98,정물오름,2021-04-09,1
99,정물오름,2021-04-10,1
100,정물오름,2021-04-11,1
101,정물오름,2021-04-12,0
102,정물오름,2021-04-13,1
103,정물오름,2021-04-14,1
104,정물오름,2021-04-15,2
105,정물오름,2021-04-16,2
106,정물오름,2021-04-17,1
107,정물오름,2021-04-18,4
108,정물오름,2021-04-19,2
109,정물오름,2021-04-20,1
110,정물오름,2021-04-21,1
111,정물오름,2021-04-22,1
112,정물오름,2021-04-23,3
113,정물오름,2021-04-24,1
114,정물오름,2021-04-25,0
115,정물오름,2021-04-26,4
116,정물오름,2021-04-27,5
117,정물오름,2021-04-28,3
118,정물오름,2021-04-29,3
119,정물오름,2021-04-30,1
120,정물오름,2021-05-01,7
121,정물오름,2021-05-02,4
122,정물오름,2021-05-03,4
123,정물오름,2021-05-04,1
124,정물오름,2021-05-05,2
125,정물오름,2021-05-06,5
126,정물오름,2021-05-07,1
127,정물오름,2021-05-08,4
128,정물오름,2021-05-09,1
129,정물오름,2021-05-10,3
130,정물오름,2021-05-11,2
131,정물오름,2021-05-12,2
132,정물오름,2021-05-13,2
133,정물오름,2021-05-14,1
134,정물오름,2021-05-15,3
135,정물오름,2021-05-16,3
136,정물오름,2021-05-17,3
137,정물오름,2021-05-18,1
138,정물오름,2021-05-19,1
139,정물오름,2021-05-20,2
140,정물오름,2021-05-21,0
141,정물오름,2021-05-22,2
142,정물오름,2021-05-23,2
143,정물오름,2021-05-24,1
144,정물오름,2021-05-25,2
145,정물오름,2021-05-26,3
146,정물오름,2021-05-27,3
147,정물오름,2021-05-28,2
148,정물오름,2021-05-29,1
149,정물오름,2021-05-30,1
150,정물오름,2021-05-31,2
151,정물오름,2021-06-01,0
152,정물오름,2021-06-02,1
153,정물오름,2021-06-03,3
154,정물오름,2021-06-04,2
155,정물오름,2021-06-05,2
156,정물오름,2021-06-06,1
157,정물오름,2021-06-07,1
158,정물오름,2021-06-08,6
159,정물오름,2021-06-09,1
160,정물오름,2021-06-10,1
161,정물오름,2021-06-11,0
162,정물오름,2021-06-12,2
163,정물오름,2021-06-13,4
164,정물오름,2021-06-14,5
165,정물오름,2021-06-15,2
166,정물오름,2021-06-16,3
167,정물오름,2021-06-17,3
168,정물오름,2021-06-18,0
169,정물오름,2021-06-19,0
170,정물오름,2021-06-20,0
171,정물오름,2021-06-21,1
172,정물오름,2021-06-22,1
173,정물오름,2021-06-23,0
174,정물오름,2021-06-24,2
175,정물오름,2021-06-25,2
176,정물오름,2021-06-26,3
177,정물오름,2021-06-27,0
178,정물오름,2021-06-28,2
179,정물오름,2021-06-29,2
180,정물오름,2021-06-30,2
181,정물오름,2021-07-01,2
182,정물오름,2021-07-02,2
183,정물오름,2021-07-03,1
184,정물오름,2021-07-04,0
185,정물오름,2021-07-05,1
186,정물오름,2021-07-06,3
187,정물오름,2021-07-07,0
188,정물오름,2021-07-08,1
189,정물오름,2021-07-09,2
190,정물오름,2021-07-10,1
191,정물오름,2021-07-11,1
192,정물오름,2021-07-12,1
193,정물오름,2021-07-13,3
194,정물오름,2021-07-14,0
195,정물오름,2021-07-15,1
196,정물오름,2021-07-16,0
197,정물오름,2021-07-17,1
198,정물오름,2021-07-18,1
199,정물오름,2021-07-19,1
200,정물오름,2021-07-20,1
201,정물오름,2021-07-21,1
202,정물오름,2021-07-22,0
203,정물오름,2021-07-23,0
204,정물오름,2021-07-24,0
205,정물오름,2021-07-25,1
206,정물오름,2021-07-26,1
207,정물오름,2021-07-27,0
208,정물오름,2021-07-28,1
209,정물오름,2021-07-29,1
