,관광지,날짜,버즈량
0,정방폭포,2021-01-01,22
1,정방폭포,2021-01-02,34
2,정방폭포,2021-01-03,19
3,정방폭포,2021-01-04,32
4,정방폭포,2021-01-05,32
5,정방폭포,2021-01-06,24
6,정방폭포,2021-01-07,31
7,정방폭포,2021-01-08,17
8,정방폭포,2021-01-09,18
9,정방폭포,2021-01-10,24
10,정방폭포,2021-01-11,26
11,정방폭포,2021-01-12,15
12,정방폭포,2021-01-13,26
13,정방폭포,2021-01-14,15
14,정방폭포,2021-01-15,17
15,정방폭포,2021-01-16,11
16,정방폭포,2021-01-17,18
17,정방폭포,2021-01-18,17
18,정방폭포,2021-01-19,16
19,정방폭포,2021-01-20,17
20,정방폭포,2021-01-21,16
21,정방폭포,2021-01-22,17
22,정방폭포,2021-01-23,10
23,정방폭포,2021-01-24,16
24,정방폭포,2021-01-25,25
25,정방폭포,2021-01-26,13
26,정방폭포,2021-01-27,21
27,정방폭포,2021-01-28,14
28,정방폭포,2021-01-29,10
29,정방폭포,2021-01-30,11
30,정방폭포,2021-01-31,10
31,정방폭포,2021-02-01,18
32,정방폭포,2021-02-02,25
33,정방폭포,2021-02-03,25
34,정방폭포,2021-02-04,15
35,정방폭포,2021-02-05,23
36,정방폭포,2021-02-06,18
37,정방폭포,2021-02-07,22
38,정방폭포,2021-02-08,16
39,정방폭포,2021-02-09,17
40,정방폭포,2021-02-10,14
41,정방폭포,2021-02-11,21
42,정방폭포,2021-02-12,14
43,정방폭포,2021-02-13,23
44,정방폭포,2021-02-14,25
45,정방폭포,2021-02-15,23
46,정방폭포,2021-02-16,17
47,정방폭포,2021-02-17,20
48,정방폭포,2021-02-18,28
49,정방폭포,2021-02-19,21
50,정방폭포,2021-02-20,13
51,정방폭포,2021-02-21,14
52,정방폭포,2021-02-22,20
53,정방폭포,2021-02-23,24
54,정방폭포,2021-02-24,34
55,정방폭포,2021-02-25,23
56,정방폭포,2021-02-26,22
57,정방폭포,2021-02-27,18
58,정방폭포,2021-02-28,24
59,정방폭포,2021-03-01,21
60,정방폭포,2021-03-02,29
61,정방폭포,2021-03-03,23
62,정방폭포,2021-03-04,24
63,정방폭포,2021-03-05,30
64,정방폭포,2021-03-06,20
65,정방폭포,2021-03-07,18
66,정방폭포,2021-03-08,18
67,정방폭포,2021-03-09,21
68,정방폭포,2021-03-10,22
69,정방폭포,2021-03-11,21
70,정방폭포,2021-03-12,20
71,정방폭포,2021-03-13,14
72,정방폭포,2021-03-14,12
73,정방폭포,2021-03-15,22
74,정방폭포,2021-03-16,21
75,정방폭포,2021-03-17,25
76,정방폭포,2021-03-18,16
77,정방폭포,2021-03-19,24
78,정방폭포,2021-03-20,7
79,정방폭포,2021-03-21,24
80,정방폭포,2021-03-22,23
81,정방폭포,2021-03-23,25
82,정방폭포,2021-03-24,30
83,정방폭포,2021-03-25,30
84,정방폭포,2021-03-26,36
85,정방폭포,2021-03-27,31
86,정방폭포,2021-03-28,14
87,정방폭포,2021-03-29,26
88,정방폭포,2021-03-30,23
89,정방폭포,2021-03-31,17
90,정방폭포,2021-04-01,31
91,정방폭포,2021-04-02,26
92,정방폭포,2021-04-03,20
93,정방폭포,2021-04-04,26
94,정방폭포,2021-04-05,23
95,정방폭포,2021-04-06,20
96,정방폭포,2021-04-07,25
97,정방폭포,2021-04-08,24
98,정방폭포,2021-04-09,29
99,정방폭포,2021-04-10,27
100,정방폭포,2021-04-11,17
101,정방폭포,2021-04-12,33
102,정방폭포,2021-04-13,48
103,정방폭포,2021-04-14,28
104,정방폭포,2021-04-15,27
105,정방폭포,2021-04-16,24
106,정방폭포,2021-04-17,25
