,관광지,날짜,버즈량
0,제이엠그랑블루요트,2021-01-01,0
1,제이엠그랑블루요트,2021-01-02,0
2,제이엠그랑블루요트,2021-01-03,0
3,제이엠그랑블루요트,2021-01-04,0
4,제이엠그랑블루요트,2021-01-05,0
5,제이엠그랑블루요트,2021-01-06,1
6,제이엠그랑블루요트,2021-01-07,0
7,제이엠그랑블루요트,2021-01-08,0
8,제이엠그랑블루요트,2021-01-09,0
9,제이엠그랑블루요트,2021-01-10,0
10,제이엠그랑블루요트,2021-01-11,0
11,제이엠그랑블루요트,2021-01-12,0
12,제이엠그랑블루요트,2021-01-13,0
13,제이엠그랑블루요트,2021-01-14,0
14,제이엠그랑블루요트,2021-01-15,0
15,제이엠그랑블루요트,2021-01-16,0
16,제이엠그랑블루요트,2021-01-17,0
17,제이엠그랑블루요트,2021-01-18,0
18,제이엠그랑블루요트,2021-01-19,0
19,제이엠그랑블루요트,2021-01-20,0
20,제이엠그랑블루요트,2021-01-21,0
21,제이엠그랑블루요트,2021-01-22,0
22,제이엠그랑블루요트,2021-01-23,0
23,제이엠그랑블루요트,2021-01-24,0
24,제이엠그랑블루요트,2021-01-25,0
25,제이엠그랑블루요트,2021-01-26,0
26,제이엠그랑블루요트,2021-01-27,0
27,제이엠그랑블루요트,2021-01-28,0
28,제이엠그랑블루요트,2021-01-29,0
29,제이엠그랑블루요트,2021-01-30,0
30,제이엠그랑블루요트,2021-01-31,0
31,제이엠그랑블루요트,2021-02-01,0
32,제이엠그랑블루요트,2021-02-02,1
33,제이엠그랑블루요트,2021-02-03,0
34,제이엠그랑블루요트,2021-02-04,0
35,제이엠그랑블루요트,2021-02-05,0
36,제이엠그랑블루요트,2021-02-06,0
37,제이엠그랑블루요트,2021-02-07,0
38,제이엠그랑블루요트,2021-02-08,0
39,제이엠그랑블루요트,2021-02-09,0
40,제이엠그랑블루요트,2021-02-10,0
41,제이엠그랑블루요트,2021-02-11,0
42,제이엠그랑블루요트,2021-02-12,0
43,제이엠그랑블루요트,2021-02-13,0
44,제이엠그랑블루요트,2021-02-14,0
45,제이엠그랑블루요트,2021-02-15,0
46,제이엠그랑블루요트,2021-02-16,0
47,제이엠그랑블루요트,2021-02-17,0
48,제이엠그랑블루요트,2021-02-18,0
49,제이엠그랑블루요트,2021-02-19,0
