,관광지,날짜,버즈량
0,제주 초콜릿랜드,2021-01-01,1
1,제주 초콜릿랜드,2021-01-02,0
2,제주 초콜릿랜드,2021-01-03,0
3,제주 초콜릿랜드,2021-01-04,2
4,제주 초콜릿랜드,2021-01-05,1
5,제주 초콜릿랜드,2021-01-06,1
6,제주 초콜릿랜드,2021-01-07,1
7,제주 초콜릿랜드,2021-01-08,1
8,제주 초콜릿랜드,2021-01-09,0
9,제주 초콜릿랜드,2021-01-10,0
10,제주 초콜릿랜드,2021-01-11,0
11,제주 초콜릿랜드,2021-01-12,0
12,제주 초콜릿랜드,2021-01-13,0
13,제주 초콜릿랜드,2021-01-14,0
14,제주 초콜릿랜드,2021-01-15,0
15,제주 초콜릿랜드,2021-01-16,0
16,제주 초콜릿랜드,2021-01-17,1
17,제주 초콜릿랜드,2021-01-18,0
18,제주 초콜릿랜드,2021-01-19,0
19,제주 초콜릿랜드,2021-01-20,0
20,제주 초콜릿랜드,2021-01-21,0
21,제주 초콜릿랜드,2021-01-22,0
22,제주 초콜릿랜드,2021-01-23,0
23,제주 초콜릿랜드,2021-01-24,1
24,제주 초콜릿랜드,2021-01-25,0
25,제주 초콜릿랜드,2021-01-26,0
26,제주 초콜릿랜드,2021-01-27,0
27,제주 초콜릿랜드,2021-01-28,1
28,제주 초콜릿랜드,2021-01-29,0
29,제주 초콜릿랜드,2021-01-30,0
30,제주 초콜릿랜드,2021-01-31,0
31,제주 초콜릿랜드,2021-02-01,0
32,제주 초콜릿랜드,2021-02-02,0
33,제주 초콜릿랜드,2021-02-03,0
34,제주 초콜릿랜드,2021-02-04,1
35,제주 초콜릿랜드,2021-02-05,1
36,제주 초콜릿랜드,2021-02-06,0
37,제주 초콜릿랜드,2021-02-07,0
38,제주 초콜릿랜드,2021-02-08,0
39,제주 초콜릿랜드,2021-02-09,0
40,제주 초콜릿랜드,2021-02-10,2
41,제주 초콜릿랜드,2021-02-11,0
42,제주 초콜릿랜드,2021-02-12,0
43,제주 초콜릿랜드,2021-02-13,0
44,제주 초콜릿랜드,2021-02-14,0
45,제주 초콜릿랜드,2021-02-15,0
46,제주 초콜릿랜드,2021-02-16,1
47,제주 초콜릿랜드,2021-02-17,0
48,제주 초콜릿랜드,2021-02-18,0
49,제주 초콜릿랜드,2021-02-19,0
50,제주 초콜릿랜드,2021-02-20,0
51,제주 초콜릿랜드,2021-02-21,1
52,제주 초콜릿랜드,2021-02-22,2
53,제주 초콜릿랜드,2021-02-23,1
54,제주 초콜릿랜드,2021-02-24,0
55,제주 초콜릿랜드,2021-02-25,0
56,제주 초콜릿랜드,2021-02-26,1
57,제주 초콜릿랜드,2021-02-27,1
58,제주 초콜릿랜드,2021-02-28,0
59,제주 초콜릿랜드,2021-03-01,0
60,제주 초콜릿랜드,2021-03-02,0
61,제주 초콜릿랜드,2021-03-03,1
62,제주 초콜릿랜드,2021-03-04,0
63,제주 초콜릿랜드,2021-03-05,3
64,제주 초콜릿랜드,2021-03-06,0
