,관광지,날짜,버즈량
0,제주4∙3평화공원,2021-01-01,168
1,제주4∙3평화공원,2021-01-02,175
2,제주4∙3평화공원,2021-01-03,155
3,제주4∙3평화공원,2021-01-04,194
4,제주4∙3평화공원,2021-01-05,161
5,제주4∙3평화공원,2021-01-06,166
6,제주4∙3평화공원,2021-01-07,187
7,제주4∙3평화공원,2021-01-08,170
8,제주4∙3평화공원,2021-01-09,114
9,제주4∙3평화공원,2021-01-10,133
10,제주4∙3평화공원,2021-01-11,200
11,제주4∙3평화공원,2021-01-12,161
12,제주4∙3평화공원,2021-01-13,162
13,제주4∙3평화공원,2021-01-14,224
14,제주4∙3평화공원,2021-01-15,142
15,제주4∙3평화공원,2021-01-16,102
16,제주4∙3평화공원,2021-01-17,120
17,제주4∙3평화공원,2021-01-18,154
18,제주4∙3평화공원,2021-01-19,157
19,제주4∙3평화공원,2021-01-20,133
20,제주4∙3평화공원,2021-01-21,137
21,제주4∙3평화공원,2021-01-22,157
22,제주4∙3평화공원,2021-01-23,106
23,제주4∙3평화공원,2021-01-24,135
24,제주4∙3평화공원,2021-01-25,154
25,제주4∙3평화공원,2021-01-26,129
26,제주4∙3평화공원,2021-01-27,156
27,제주4∙3평화공원,2021-01-28,142
28,제주4∙3평화공원,2021-01-29,146
29,제주4∙3평화공원,2021-01-30,78
30,제주4∙3평화공원,2021-01-31,113
31,제주4∙3평화공원,2021-02-01,145
32,제주4∙3평화공원,2021-02-02,170
33,제주4∙3평화공원,2021-02-03,141
34,제주4∙3평화공원,2021-02-04,133
35,제주4∙3평화공원,2021-02-05,142
36,제주4∙3평화공원,2021-02-06,116
37,제주4∙3평화공원,2021-02-07,107
38,제주4∙3평화공원,2021-02-08,107
39,제주4∙3평화공원,2021-02-09,102
40,제주4∙3평화공원,2021-02-10,120
41,제주4∙3평화공원,2021-02-11,95
42,제주4∙3평화공원,2021-02-12,90
43,제주4∙3평화공원,2021-02-13,82
44,제주4∙3평화공원,2021-02-14,126
45,제주4∙3평화공원,2021-02-15,150
46,제주4∙3평화공원,2021-02-16,126
47,제주4∙3평화공원,2021-02-17,147
48,제주4∙3평화공원,2021-02-18,146
49,제주4∙3평화공원,2021-02-19,145
50,제주4∙3평화공원,2021-02-20,127
51,제주4∙3평화공원,2021-02-21,129
52,제주4∙3평화공원,2021-02-22,187
53,제주4∙3평화공원,2021-02-23,176
54,제주4∙3평화공원,2021-02-24,207
55,제주4∙3평화공원,2021-02-25,263
56,제주4∙3평화공원,2021-02-26,206
57,제주4∙3평화공원,2021-02-27,189
58,제주4∙3평화공원,2021-02-28,199
59,제주4∙3평화공원,2021-03-01,244
60,제주4∙3평화공원,2021-03-02,212
61,제주4∙3평화공원,2021-03-03,231
62,제주4∙3평화공원,2021-03-04,248
63,제주4∙3평화공원,2021-03-05,178
64,제주4∙3평화공원,2021-03-06,152
65,제주4∙3평화공원,2021-03-07,171
