,관광지,날짜,버즈량
0,제주공룡랜드,2021-01-01,1
1,제주공룡랜드,2021-01-02,3
2,제주공룡랜드,2021-01-03,2
3,제주공룡랜드,2021-01-04,0
4,제주공룡랜드,2021-01-05,2
5,제주공룡랜드,2021-01-06,2
6,제주공룡랜드,2021-01-07,2
7,제주공룡랜드,2021-01-08,5
8,제주공룡랜드,2021-01-09,3
9,제주공룡랜드,2021-01-10,2
10,제주공룡랜드,2021-01-11,3
11,제주공룡랜드,2021-01-12,2
12,제주공룡랜드,2021-01-13,2
13,제주공룡랜드,2021-01-14,1
14,제주공룡랜드,2021-01-15,3
15,제주공룡랜드,2021-01-16,2
16,제주공룡랜드,2021-01-17,1
17,제주공룡랜드,2021-01-18,1
18,제주공룡랜드,2021-01-19,1
19,제주공룡랜드,2021-01-20,0
20,제주공룡랜드,2021-01-21,0
21,제주공룡랜드,2021-01-22,2
22,제주공룡랜드,2021-01-23,0
23,제주공룡랜드,2021-01-24,1
24,제주공룡랜드,2021-01-25,0
25,제주공룡랜드,2021-01-26,3
26,제주공룡랜드,2021-01-27,0
27,제주공룡랜드,2021-01-28,0
28,제주공룡랜드,2021-01-29,0
29,제주공룡랜드,2021-01-30,1
30,제주공룡랜드,2021-01-31,0
31,제주공룡랜드,2021-02-01,0
32,제주공룡랜드,2021-02-02,0
33,제주공룡랜드,2021-02-03,0
34,제주공룡랜드,2021-02-04,2
35,제주공룡랜드,2021-02-05,0
36,제주공룡랜드,2021-02-06,1
37,제주공룡랜드,2021-02-07,0
38,제주공룡랜드,2021-02-08,1
39,제주공룡랜드,2021-02-09,2
40,제주공룡랜드,2021-02-10,0
41,제주공룡랜드,2021-02-11,0
42,제주공룡랜드,2021-02-12,0
43,제주공룡랜드,2021-02-13,0
44,제주공룡랜드,2021-02-14,1
45,제주공룡랜드,2021-02-15,2
46,제주공룡랜드,2021-02-16,1
47,제주공룡랜드,2021-02-17,2
48,제주공룡랜드,2021-02-18,1
49,제주공룡랜드,2021-02-19,3
50,제주공룡랜드,2021-02-20,1
51,제주공룡랜드,2021-02-21,1
52,제주공룡랜드,2021-02-22,3
53,제주공룡랜드,2021-02-23,2
54,제주공룡랜드,2021-02-24,0
55,제주공룡랜드,2021-02-25,0
56,제주공룡랜드,2021-02-26,0
57,제주공룡랜드,2021-02-27,0
58,제주공룡랜드,2021-02-28,0
59,제주공룡랜드,2021-03-01,0
60,제주공룡랜드,2021-03-02,1
61,제주공룡랜드,2021-03-03,3
62,제주공룡랜드,2021-03-04,2
63,제주공룡랜드,2021-03-05,1
64,제주공룡랜드,2021-03-06,4
65,제주공룡랜드,2021-03-07,2
66,제주공룡랜드,2021-03-08,3
67,제주공룡랜드,2021-03-09,3
68,제주공룡랜드,2021-03-10,5
69,제주공룡랜드,2021-03-11,0
70,제주공룡랜드,2021-03-12,3
71,제주공룡랜드,2021-03-13,0
72,제주공룡랜드,2021-03-14,3
73,제주공룡랜드,2021-03-15,2
74,제주공룡랜드,2021-03-16,2
75,제주공룡랜드,2021-03-17,1
76,제주공룡랜드,2021-03-18,0
77,제주공룡랜드,2021-03-19,4
78,제주공룡랜드,2021-03-20,1
79,제주공룡랜드,2021-03-21,2
80,제주공룡랜드,2021-03-22,1
81,제주공룡랜드,2021-03-23,2
82,제주공룡랜드,2021-03-24,0
83,제주공룡랜드,2021-03-25,1
84,제주공룡랜드,2021-03-26,3
85,제주공룡랜드,2021-03-27,3
86,제주공룡랜드,2021-03-28,1
87,제주공룡랜드,2021-03-29,2
88,제주공룡랜드,2021-03-30,1
89,제주공룡랜드,2021-03-31,3
90,제주공룡랜드,2021-04-01,3
91,제주공룡랜드,2021-04-02,3
92,제주공룡랜드,2021-04-03,0
93,제주공룡랜드,2021-04-04,3
94,제주공룡랜드,2021-04-05,1
95,제주공룡랜드,2021-04-06,5
96,제주공룡랜드,2021-04-07,2
97,제주공룡랜드,2021-04-08,3
98,제주공룡랜드,2021-04-09,4
99,제주공룡랜드,2021-04-10,1
100,제주공룡랜드,2021-04-11,1
101,제주공룡랜드,2021-04-12,0
102,제주공룡랜드,2021-04-13,0
103,제주공룡랜드,2021-04-14,1
104,제주공룡랜드,2021-04-15,0
105,제주공룡랜드,2021-04-16,0
106,제주공룡랜드,2021-04-17,3
107,제주공룡랜드,2021-04-18,2
108,제주공룡랜드,2021-04-19,4
109,제주공룡랜드,2021-04-20,0
110,제주공룡랜드,2021-04-21,5
111,제주공룡랜드,2021-04-22,10
112,제주공룡랜드,2021-04-23,3
113,제주공룡랜드,2021-04-24,2
114,제주공룡랜드,2021-04-25,1
115,제주공룡랜드,2021-04-26,5
116,제주공룡랜드,2021-04-27,5
117,제주공룡랜드,2021-04-28,6
118,제주공룡랜드,2021-04-29,8
119,제주공룡랜드,2021-04-30,2
120,제주공룡랜드,2021-05-01,2
121,제주공룡랜드,2021-05-02,6
122,제주공룡랜드,2021-05-03,3
123,제주공룡랜드,2021-05-04,2
124,제주공룡랜드,2021-05-05,11
125,제주공룡랜드,2021-05-06,7
126,제주공룡랜드,2021-05-07,2
127,제주공룡랜드,2021-05-08,3
128,제주공룡랜드,2021-05-09,5
129,제주공룡랜드,2021-05-10,5
130,제주공룡랜드,2021-05-11,3
131,제주공룡랜드,2021-05-12,3
132,제주공룡랜드,2021-05-13,2
133,제주공룡랜드,2021-05-14,2
134,제주공룡랜드,2021-05-15,0
135,제주공룡랜드,2021-05-16,0
136,제주공룡랜드,2021-05-17,1
137,제주공룡랜드,2021-05-18,3
138,제주공룡랜드,2021-05-19,4
139,제주공룡랜드,2021-05-20,4
140,제주공룡랜드,2021-05-21,9
141,제주공룡랜드,2021-05-22,2
142,제주공룡랜드,2021-05-23,3
143,제주공룡랜드,2021-05-24,2
144,제주공룡랜드,2021-05-25,2
145,제주공룡랜드,2021-05-26,11
146,제주공룡랜드,2021-05-27,5
147,제주공룡랜드,2021-05-28,4
148,제주공룡랜드,2021-05-29,1
149,제주공룡랜드,2021-05-30,2
150,제주공룡랜드,2021-05-31,1
151,제주공룡랜드,2021-06-01,5
152,제주공룡랜드,2021-06-02,3
153,제주공룡랜드,2021-06-03,6
154,제주공룡랜드,2021-06-04,0
155,제주공룡랜드,2021-06-05,2
156,제주공룡랜드,2021-06-06,4
157,제주공룡랜드,2021-06-07,2
158,제주공룡랜드,2021-06-08,5
159,제주공룡랜드,2021-06-09,4
160,제주공룡랜드,2021-06-10,4
161,제주공룡랜드,2021-06-11,3
162,제주공룡랜드,2021-06-12,2
163,제주공룡랜드,2021-06-13,1
164,제주공룡랜드,2021-06-14,4
165,제주공룡랜드,2021-06-15,6
166,제주공룡랜드,2021-06-16,5
167,제주공룡랜드,2021-06-17,1
168,제주공룡랜드,2021-06-18,3
169,제주공룡랜드,2021-06-19,3
170,제주공룡랜드,2021-06-20,0
171,제주공룡랜드,2021-06-21,2
172,제주공룡랜드,2021-06-22,4
173,제주공룡랜드,2021-06-23,5
174,제주공룡랜드,2021-06-24,3
175,제주공룡랜드,2021-06-25,1
176,제주공룡랜드,2021-06-26,2
177,제주공룡랜드,2021-06-27,1
178,제주공룡랜드,2021-06-28,1
179,제주공룡랜드,2021-06-29,7
180,제주공룡랜드,2021-06-30,6
181,제주공룡랜드,2021-07-01,2
182,제주공룡랜드,2021-07-02,3
183,제주공룡랜드,2021-07-03,1
184,제주공룡랜드,2021-07-04,1
185,제주공룡랜드,2021-07-05,1
186,제주공룡랜드,2021-07-06,4
187,제주공룡랜드,2021-07-07,2
188,제주공룡랜드,2021-07-08,0
189,제주공룡랜드,2021-07-09,4
190,제주공룡랜드,2021-07-10,5
191,제주공룡랜드,2021-07-11,2
192,제주공룡랜드,2021-07-12,2
193,제주공룡랜드,2021-07-13,5
194,제주공룡랜드,2021-07-14,3
195,제주공룡랜드,2021-07-15,2
196,제주공룡랜드,2021-07-16,2
197,제주공룡랜드,2021-07-17,4
198,제주공룡랜드,2021-07-18,1
199,제주공룡랜드,2021-07-19,1
200,제주공룡랜드,2021-07-20,4
201,제주공룡랜드,2021-07-21,2
202,제주공룡랜드,2021-07-22,5
203,제주공룡랜드,2021-07-23,2
204,제주공룡랜드,2021-07-24,3
205,제주공룡랜드,2021-07-25,0
206,제주공룡랜드,2021-07-26,3
207,제주공룡랜드,2021-07-27,2
208,제주공룡랜드,2021-07-28,2
209,제주공룡랜드,2021-07-29,1
210,제주공룡랜드,2021-07-30,2
211,제주공룡랜드,2021-07-31,0
212,제주공룡랜드,2021-08-01,2
213,제주공룡랜드,2021-08-02,1
214,제주공룡랜드,2021-08-03,2
215,제주공룡랜드,2021-08-04,2
216,제주공룡랜드,2021-08-05,2
217,제주공룡랜드,2021-08-06,0
218,제주공룡랜드,2021-08-07,2
219,제주공룡랜드,2021-08-08,1
220,제주공룡랜드,2021-08-09,2
221,제주공룡랜드,2021-08-10,1
222,제주공룡랜드,2021-08-11,0
223,제주공룡랜드,2021-08-12,3
224,제주공룡랜드,2021-08-13,3
225,제주공룡랜드,2021-08-14,2
226,제주공룡랜드,2021-08-15,1
227,제주공룡랜드,2021-08-16,2
228,제주공룡랜드,2021-08-17,5
229,제주공룡랜드,2021-08-18,1
230,제주공룡랜드,2021-08-19,1
231,제주공룡랜드,2021-08-20,1
232,제주공룡랜드,2021-08-21,2
233,제주공룡랜드,2021-08-22,2
234,제주공룡랜드,2021-08-23,2
235,제주공룡랜드,2021-08-24,2
236,제주공룡랜드,2021-08-25,0
237,제주공룡랜드,2021-08-26,1
238,제주공룡랜드,2021-08-27,3
239,제주공룡랜드,2021-08-28,4
240,제주공룡랜드,2021-08-29,1
241,제주공룡랜드,2021-08-30,1
242,제주공룡랜드,2021-08-31,1
243,제주공룡랜드,2021-09-01,3
244,제주공룡랜드,2021-09-02,1
245,제주공룡랜드,2021-09-03,1
246,제주공룡랜드,2021-09-04,0
247,제주공룡랜드,2021-09-05,4
248,제주공룡랜드,2021-09-06,2
249,제주공룡랜드,2021-09-07,0
250,제주공룡랜드,2021-09-08,1
251,제주공룡랜드,2021-09-09,3
252,제주공룡랜드,2021-09-10,1
253,제주공룡랜드,2021-09-11,2
254,제주공룡랜드,2021-09-12,1
255,제주공룡랜드,2021-09-13,3
256,제주공룡랜드,2021-09-14,2
257,제주공룡랜드,2021-09-15,3
258,제주공룡랜드,2021-09-16,2
259,제주공룡랜드,2021-09-17,3
260,제주공룡랜드,2021-09-18,2
261,제주공룡랜드,2021-09-19,0
262,제주공룡랜드,2021-09-20,2
263,제주공룡랜드,2021-09-21,2
264,제주공룡랜드,2021-09-22,0
265,제주공룡랜드,2021-09-23,2
266,제주공룡랜드,2021-09-24,5
267,제주공룡랜드,2021-09-25,0
268,제주공룡랜드,2021-09-26,1
269,제주공룡랜드,2021-09-27,2
270,제주공룡랜드,2021-09-28,2
271,제주공룡랜드,2021-09-29,1
272,제주공룡랜드,2021-09-30,3
273,제주공룡랜드,2021-10-01,1
274,제주공룡랜드,2021-10-02,2
275,제주공룡랜드,2021-10-03,2
276,제주공룡랜드,2021-10-04,1
277,제주공룡랜드,2021-10-05,1
278,제주공룡랜드,2021-10-06,3
279,제주공룡랜드,2021-10-07,2
280,제주공룡랜드,2021-10-08,2
281,제주공룡랜드,2021-10-09,4
282,제주공룡랜드,2021-10-10,1
283,제주공룡랜드,2021-10-11,2
284,제주공룡랜드,2021-10-12,1
285,제주공룡랜드,2021-10-13,1
286,제주공룡랜드,2021-10-14,3
287,제주공룡랜드,2021-10-15,4
288,제주공룡랜드,2021-10-16,3
289,제주공룡랜드,2021-10-17,3
290,제주공룡랜드,2021-10-18,1
291,제주공룡랜드,2021-10-19,3
292,제주공룡랜드,2021-10-20,1
293,제주공룡랜드,2021-10-21,1
294,제주공룡랜드,2021-10-22,1
