,관광지,날짜,버즈량
0,제주다원녹차미로공원,2021-01-01,0
1,제주다원녹차미로공원,2021-01-02,0
2,제주다원녹차미로공원,2021-01-03,0
3,제주다원녹차미로공원,2021-01-04,2
4,제주다원녹차미로공원,2021-01-05,1
5,제주다원녹차미로공원,2021-01-06,0
6,제주다원녹차미로공원,2021-01-07,1
7,제주다원녹차미로공원,2021-01-08,2
8,제주다원녹차미로공원,2021-01-09,2
9,제주다원녹차미로공원,2021-01-10,0
10,제주다원녹차미로공원,2021-01-11,1
11,제주다원녹차미로공원,2021-01-12,1
12,제주다원녹차미로공원,2021-01-13,1
13,제주다원녹차미로공원,2021-01-14,0
14,제주다원녹차미로공원,2021-01-15,1
15,제주다원녹차미로공원,2021-01-16,1
16,제주다원녹차미로공원,2021-01-17,0
17,제주다원녹차미로공원,2021-01-18,0
18,제주다원녹차미로공원,2021-01-19,0
19,제주다원녹차미로공원,2021-01-20,1
20,제주다원녹차미로공원,2021-01-21,1
21,제주다원녹차미로공원,2021-01-22,1
22,제주다원녹차미로공원,2021-01-23,2
23,제주다원녹차미로공원,2021-01-24,2
24,제주다원녹차미로공원,2021-01-25,0
25,제주다원녹차미로공원,2021-01-26,0
26,제주다원녹차미로공원,2021-01-27,0
27,제주다원녹차미로공원,2021-01-28,0
28,제주다원녹차미로공원,2021-01-29,0
29,제주다원녹차미로공원,2021-01-30,0
30,제주다원녹차미로공원,2021-01-31,0
31,제주다원녹차미로공원,2021-02-01,0
32,제주다원녹차미로공원,2021-02-02,0
33,제주다원녹차미로공원,2021-02-03,1
34,제주다원녹차미로공원,2021-02-04,4
35,제주다원녹차미로공원,2021-02-05,0
36,제주다원녹차미로공원,2021-02-06,2
37,제주다원녹차미로공원,2021-02-07,0
38,제주다원녹차미로공원,2021-02-08,2
39,제주다원녹차미로공원,2021-02-09,0
40,제주다원녹차미로공원,2021-02-10,0
41,제주다원녹차미로공원,2021-02-11,1
42,제주다원녹차미로공원,2021-02-12,0
43,제주다원녹차미로공원,2021-02-13,1
44,제주다원녹차미로공원,2021-02-14,0
45,제주다원녹차미로공원,2021-02-15,0
46,제주다원녹차미로공원,2021-02-16,0
47,제주다원녹차미로공원,2021-02-17,0
48,제주다원녹차미로공원,2021-02-18,0
49,제주다원녹차미로공원,2021-02-19,1
50,제주다원녹차미로공원,2021-02-20,1
51,제주다원녹차미로공원,2021-02-21,0
52,제주다원녹차미로공원,2021-02-22,0
53,제주다원녹차미로공원,2021-02-23,2
54,제주다원녹차미로공원,2021-02-24,2
55,제주다원녹차미로공원,2021-02-25,1
56,제주다원녹차미로공원,2021-02-26,4
57,제주다원녹차미로공원,2021-02-27,1
58,제주다원녹차미로공원,2021-02-28,2
59,제주다원녹차미로공원,2021-03-01,0
60,제주다원녹차미로공원,2021-03-02,2
61,제주다원녹차미로공원,2021-03-03,0
62,제주다원녹차미로공원,2021-03-04,0
63,제주다원녹차미로공원,2021-03-05,3
64,제주다원녹차미로공원,2021-03-06,2
65,제주다원녹차미로공원,2021-03-07,2
66,제주다원녹차미로공원,2021-03-08,1
67,제주다원녹차미로공원,2021-03-09,1
68,제주다원녹차미로공원,2021-03-10,0
69,제주다원녹차미로공원,2021-03-11,3
70,제주다원녹차미로공원,2021-03-12,1
71,제주다원녹차미로공원,2021-03-13,1
72,제주다원녹차미로공원,2021-03-14,4
73,제주다원녹차미로공원,2021-03-15,2
74,제주다원녹차미로공원,2021-03-16,2
75,제주다원녹차미로공원,2021-03-17,1
76,제주다원녹차미로공원,2021-03-18,0
77,제주다원녹차미로공원,2021-03-19,2
78,제주다원녹차미로공원,2021-03-20,1
79,제주다원녹차미로공원,2021-03-21,0
80,제주다원녹차미로공원,2021-03-22,0
81,제주다원녹차미로공원,2021-03-23,1
82,제주다원녹차미로공원,2021-03-24,3
83,제주다원녹차미로공원,2021-03-25,0
84,제주다원녹차미로공원,2021-03-26,0
85,제주다원녹차미로공원,2021-03-27,1
86,제주다원녹차미로공원,2021-03-28,2
87,제주다원녹차미로공원,2021-03-29,2
88,제주다원녹차미로공원,2021-03-30,2
89,제주다원녹차미로공원,2021-03-31,0
90,제주다원녹차미로공원,2021-04-01,2
91,제주다원녹차미로공원,2021-04-02,0
92,제주다원녹차미로공원,2021-04-03,0
93,제주다원녹차미로공원,2021-04-04,1
94,제주다원녹차미로공원,2021-04-05,1
95,제주다원녹차미로공원,2021-04-06,1
96,제주다원녹차미로공원,2021-04-07,2
97,제주다원녹차미로공원,2021-04-08,0
98,제주다원녹차미로공원,2021-04-09,3
99,제주다원녹차미로공원,2021-04-10,0
100,제주다원녹차미로공원,2021-04-11,0
101,제주다원녹차미로공원,2021-04-12,1
102,제주다원녹차미로공원,2021-04-13,0
103,제주다원녹차미로공원,2021-04-14,1
104,제주다원녹차미로공원,2021-04-15,1
105,제주다원녹차미로공원,2021-04-16,0
106,제주다원녹차미로공원,2021-04-17,1
107,제주다원녹차미로공원,2021-04-18,4
108,제주다원녹차미로공원,2021-04-19,1
109,제주다원녹차미로공원,2021-04-20,1
110,제주다원녹차미로공원,2021-04-21,1
111,제주다원녹차미로공원,2021-04-22,2
112,제주다원녹차미로공원,2021-04-23,1
113,제주다원녹차미로공원,2021-04-24,1
114,제주다원녹차미로공원,2021-04-25,1
115,제주다원녹차미로공원,2021-04-26,2
116,제주다원녹차미로공원,2021-04-27,1
117,제주다원녹차미로공원,2021-04-28,0
118,제주다원녹차미로공원,2021-04-29,1
119,제주다원녹차미로공원,2021-04-30,1
120,제주다원녹차미로공원,2021-05-01,1
121,제주다원녹차미로공원,2021-05-02,2
122,제주다원녹차미로공원,2021-05-03,3
123,제주다원녹차미로공원,2021-05-04,4
124,제주다원녹차미로공원,2021-05-05,1
125,제주다원녹차미로공원,2021-05-06,1
126,제주다원녹차미로공원,2021-05-07,5
127,제주다원녹차미로공원,2021-05-08,1
