,관광지,날짜,버즈량
0,제주돌문화공원,2021-01-01,3
1,제주돌문화공원,2021-01-02,2
2,제주돌문화공원,2021-01-03,2
3,제주돌문화공원,2021-01-04,2
4,제주돌문화공원,2021-01-05,3
5,제주돌문화공원,2021-01-06,1
6,제주돌문화공원,2021-01-07,5
7,제주돌문화공원,2021-01-08,4
8,제주돌문화공원,2021-01-09,11
9,제주돌문화공원,2021-01-10,0
10,제주돌문화공원,2021-01-11,1
11,제주돌문화공원,2021-01-12,6
12,제주돌문화공원,2021-01-13,5
13,제주돌문화공원,2021-01-14,3
14,제주돌문화공원,2021-01-15,1
15,제주돌문화공원,2021-01-16,4
16,제주돌문화공원,2021-01-17,2
17,제주돌문화공원,2021-01-18,1
18,제주돌문화공원,2021-01-19,0
19,제주돌문화공원,2021-01-20,4
20,제주돌문화공원,2021-01-21,0
21,제주돌문화공원,2021-01-22,1
22,제주돌문화공원,2021-01-23,0
23,제주돌문화공원,2021-01-24,0
24,제주돌문화공원,2021-01-25,1
25,제주돌문화공원,2021-01-26,1
26,제주돌문화공원,2021-01-27,1
27,제주돌문화공원,2021-01-28,0
28,제주돌문화공원,2021-01-29,3
29,제주돌문화공원,2021-01-30,0
30,제주돌문화공원,2021-01-31,2
31,제주돌문화공원,2021-02-01,1
32,제주돌문화공원,2021-02-02,2
33,제주돌문화공원,2021-02-03,3
34,제주돌문화공원,2021-02-04,2
35,제주돌문화공원,2021-02-05,8
36,제주돌문화공원,2021-02-06,3
37,제주돌문화공원,2021-02-07,3
38,제주돌문화공원,2021-02-08,3
39,제주돌문화공원,2021-02-09,2
40,제주돌문화공원,2021-02-10,3
41,제주돌문화공원,2021-02-11,3
42,제주돌문화공원,2021-02-12,1
43,제주돌문화공원,2021-02-13,0
44,제주돌문화공원,2021-02-14,1
45,제주돌문화공원,2021-02-15,1
46,제주돌문화공원,2021-02-16,0
47,제주돌문화공원,2021-02-17,8
48,제주돌문화공원,2021-02-18,2
49,제주돌문화공원,2021-02-19,6
50,제주돌문화공원,2021-02-20,1
51,제주돌문화공원,2021-02-21,2
52,제주돌문화공원,2021-02-22,2
53,제주돌문화공원,2021-02-23,2
54,제주돌문화공원,2021-02-24,2
55,제주돌문화공원,2021-02-25,3
56,제주돌문화공원,2021-02-26,2
57,제주돌문화공원,2021-02-27,3
58,제주돌문화공원,2021-02-28,1
59,제주돌문화공원,2021-03-01,4
60,제주돌문화공원,2021-03-02,2
61,제주돌문화공원,2021-03-03,1
62,제주돌문화공원,2021-03-04,3
63,제주돌문화공원,2021-03-05,5
64,제주돌문화공원,2021-03-06,1
65,제주돌문화공원,2021-03-07,5
66,제주돌문화공원,2021-03-08,6
67,제주돌문화공원,2021-03-09,5
68,제주돌문화공원,2021-03-10,1
69,제주돌문화공원,2021-03-11,3
70,제주돌문화공원,2021-03-12,3
71,제주돌문화공원,2021-03-13,2
72,제주돌문화공원,2021-03-14,3
73,제주돌문화공원,2021-03-15,1
74,제주돌문화공원,2021-03-16,4
75,제주돌문화공원,2021-03-17,1
76,제주돌문화공원,2021-03-18,1
77,제주돌문화공원,2021-03-19,2
78,제주돌문화공원,2021-03-20,1
79,제주돌문화공원,2021-03-21,4
