,관광지,날짜,버즈량
0,제주민속촌,2021-01-01,9
1,제주민속촌,2021-01-02,13
2,제주민속촌,2021-01-03,9
3,제주민속촌,2021-01-04,13
4,제주민속촌,2021-01-05,15
5,제주민속촌,2021-01-06,12
6,제주민속촌,2021-01-07,11
7,제주민속촌,2021-01-08,17
8,제주민속촌,2021-01-09,17
9,제주민속촌,2021-01-10,12
10,제주민속촌,2021-01-11,10
11,제주민속촌,2021-01-12,6
12,제주민속촌,2021-01-13,10
13,제주민속촌,2021-01-14,7
14,제주민속촌,2021-01-15,9
15,제주민속촌,2021-01-16,3
16,제주민속촌,2021-01-17,6
17,제주민속촌,2021-01-18,5
18,제주민속촌,2021-01-19,3
19,제주민속촌,2021-01-20,11
20,제주민속촌,2021-01-21,11
21,제주민속촌,2021-01-22,8
22,제주민속촌,2021-01-23,10
23,제주민속촌,2021-01-24,5
24,제주민속촌,2021-01-25,5
25,제주민속촌,2021-01-26,9
26,제주민속촌,2021-01-27,8
27,제주민속촌,2021-01-28,15
28,제주민속촌,2021-01-29,22
29,제주민속촌,2021-01-30,6
30,제주민속촌,2021-01-31,10
31,제주민속촌,2021-02-01,9
32,제주민속촌,2021-02-02,9
33,제주민속촌,2021-02-03,11
34,제주민속촌,2021-02-04,14
35,제주민속촌,2021-02-05,12
36,제주민속촌,2021-02-06,9
37,제주민속촌,2021-02-07,9
38,제주민속촌,2021-02-08,6
39,제주민속촌,2021-02-09,7
40,제주민속촌,2021-02-10,5
41,제주민속촌,2021-02-11,6
42,제주민속촌,2021-02-12,8
43,제주민속촌,2021-02-13,7
44,제주민속촌,2021-02-14,11
45,제주민속촌,2021-02-15,11
46,제주민속촌,2021-02-16,5
47,제주민속촌,2021-02-17,13
48,제주민속촌,2021-02-18,5
49,제주민속촌,2021-02-19,5
50,제주민속촌,2021-02-20,1
51,제주민속촌,2021-02-21,12
52,제주민속촌,2021-02-22,9
53,제주민속촌,2021-02-23,13
54,제주민속촌,2021-02-24,12
55,제주민속촌,2021-02-25,11
56,제주민속촌,2021-02-26,8
57,제주민속촌,2021-02-27,11
58,제주민속촌,2021-02-28,11
59,제주민속촌,2021-03-01,8
60,제주민속촌,2021-03-02,9
61,제주민속촌,2021-03-03,7
62,제주민속촌,2021-03-04,13
63,제주민속촌,2021-03-05,12
64,제주민속촌,2021-03-06,12
65,제주민속촌,2021-03-07,5
66,제주민속촌,2021-03-08,12
67,제주민속촌,2021-03-09,6
68,제주민속촌,2021-03-10,14
69,제주민속촌,2021-03-11,4
70,제주민속촌,2021-03-12,8
71,제주민속촌,2021-03-13,3
72,제주민속촌,2021-03-14,8
73,제주민속촌,2021-03-15,17
74,제주민속촌,2021-03-16,14
