,관광지,날짜,버즈량
0,제주신산공원,2021-01-01,0
1,제주신산공원,2021-01-02,4
2,제주신산공원,2021-01-03,2
3,제주신산공원,2021-01-04,2
4,제주신산공원,2021-01-05,0
5,제주신산공원,2021-01-06,2
6,제주신산공원,2021-01-07,3
7,제주신산공원,2021-01-08,3
8,제주신산공원,2021-01-09,3
9,제주신산공원,2021-01-10,3
10,제주신산공원,2021-01-11,2
11,제주신산공원,2021-01-12,1
12,제주신산공원,2021-01-13,0
13,제주신산공원,2021-01-14,3
14,제주신산공원,2021-01-15,3
15,제주신산공원,2021-01-16,0
16,제주신산공원,2021-01-17,2
17,제주신산공원,2021-01-18,1
18,제주신산공원,2021-01-19,1
19,제주신산공원,2021-01-20,0
20,제주신산공원,2021-01-21,0
21,제주신산공원,2021-01-22,1
22,제주신산공원,2021-01-23,1
23,제주신산공원,2021-01-24,2
24,제주신산공원,2021-01-25,1
25,제주신산공원,2021-01-26,1
26,제주신산공원,2021-01-27,2
27,제주신산공원,2021-01-28,2
28,제주신산공원,2021-01-29,0
29,제주신산공원,2021-01-30,1
30,제주신산공원,2021-01-31,0
31,제주신산공원,2021-02-01,0
32,제주신산공원,2021-02-02,0
33,제주신산공원,2021-02-03,2
34,제주신산공원,2021-02-04,0
35,제주신산공원,2021-02-05,0
36,제주신산공원,2021-02-06,1
37,제주신산공원,2021-02-07,0
38,제주신산공원,2021-02-08,0
39,제주신산공원,2021-02-09,1
40,제주신산공원,2021-02-10,0
41,제주신산공원,2021-02-11,0
42,제주신산공원,2021-02-12,0
43,제주신산공원,2021-02-13,0
44,제주신산공원,2021-02-14,1
45,제주신산공원,2021-02-15,0
46,제주신산공원,2021-02-16,1
47,제주신산공원,2021-02-17,2
48,제주신산공원,2021-02-18,1
49,제주신산공원,2021-02-19,2
50,제주신산공원,2021-02-20,2
51,제주신산공원,2021-02-21,1
52,제주신산공원,2021-02-22,2
53,제주신산공원,2021-02-23,4
54,제주신산공원,2021-02-24,2
55,제주신산공원,2021-02-25,0
56,제주신산공원,2021-02-26,3
57,제주신산공원,2021-02-27,0
58,제주신산공원,2021-02-28,0
59,제주신산공원,2021-03-01,2
60,제주신산공원,2021-03-02,2
61,제주신산공원,2021-03-03,1
62,제주신산공원,2021-03-04,2
63,제주신산공원,2021-03-05,3
64,제주신산공원,2021-03-06,3
65,제주신산공원,2021-03-07,1
66,제주신산공원,2021-03-08,4
67,제주신산공원,2021-03-09,3
68,제주신산공원,2021-03-10,3
69,제주신산공원,2021-03-11,1
70,제주신산공원,2021-03-12,6
71,제주신산공원,2021-03-13,1
72,제주신산공원,2021-03-14,7
73,제주신산공원,2021-03-15,2
74,제주신산공원,2021-03-16,5
75,제주신산공원,2021-03-17,3
76,제주신산공원,2021-03-18,6
77,제주신산공원,2021-03-19,5
78,제주신산공원,2021-03-20,5
79,제주신산공원,2021-03-21,5
80,제주신산공원,2021-03-22,13
81,제주신산공원,2021-03-23,9
