,관광지,날짜,버즈량
0,제주유리의 성,2021-01-01,2
1,제주유리의 성,2021-01-02,2
2,제주유리의 성,2021-01-03,1
3,제주유리의 성,2021-01-04,5
4,제주유리의 성,2021-01-05,2
5,제주유리의 성,2021-01-06,4
6,제주유리의 성,2021-01-07,1
7,제주유리의 성,2021-01-08,8
8,제주유리의 성,2021-01-09,6
9,제주유리의 성,2021-01-10,4
10,제주유리의 성,2021-01-11,5
11,제주유리의 성,2021-01-12,5
12,제주유리의 성,2021-01-13,2
13,제주유리의 성,2021-01-14,0
14,제주유리의 성,2021-01-15,1
15,제주유리의 성,2021-01-16,0
16,제주유리의 성,2021-01-17,1
17,제주유리의 성,2021-01-18,1
18,제주유리의 성,2021-01-19,0
19,제주유리의 성,2021-01-20,3
20,제주유리의 성,2021-01-21,1
21,제주유리의 성,2021-01-22,0
22,제주유리의 성,2021-01-23,0
23,제주유리의 성,2021-01-24,1
24,제주유리의 성,2021-01-25,2
25,제주유리의 성,2021-01-26,0
26,제주유리의 성,2021-01-27,1
27,제주유리의 성,2021-01-28,0
28,제주유리의 성,2021-01-29,0
29,제주유리의 성,2021-01-30,0
30,제주유리의 성,2021-01-31,1
31,제주유리의 성,2021-02-01,0
32,제주유리의 성,2021-02-02,0
33,제주유리의 성,2021-02-03,0
34,제주유리의 성,2021-02-04,1
35,제주유리의 성,2021-02-05,0
36,제주유리의 성,2021-02-06,2
37,제주유리의 성,2021-02-07,0
38,제주유리의 성,2021-02-08,1
39,제주유리의 성,2021-02-09,0
40,제주유리의 성,2021-02-10,2
41,제주유리의 성,2021-02-11,0
42,제주유리의 성,2021-02-12,0
43,제주유리의 성,2021-02-13,0
44,제주유리의 성,2021-02-14,0
45,제주유리의 성,2021-02-15,2
46,제주유리의 성,2021-02-16,1
47,제주유리의 성,2021-02-17,1
48,제주유리의 성,2021-02-18,1
49,제주유리의 성,2021-02-19,1
50,제주유리의 성,2021-02-20,1
51,제주유리의 성,2021-02-21,1
52,제주유리의 성,2021-02-22,1
53,제주유리의 성,2021-02-23,0
54,제주유리의 성,2021-02-24,1
55,제주유리의 성,2021-02-25,2
56,제주유리의 성,2021-02-26,3
57,제주유리의 성,2021-02-27,3
58,제주유리의 성,2021-02-28,2
59,제주유리의 성,2021-03-01,5
60,제주유리의 성,2021-03-02,3
61,제주유리의 성,2021-03-03,3
62,제주유리의 성,2021-03-04,1
63,제주유리의 성,2021-03-05,0
64,제주유리의 성,2021-03-06,1
65,제주유리의 성,2021-03-07,1
66,제주유리의 성,2021-03-08,1
67,제주유리의 성,2021-03-09,2
68,제주유리의 성,2021-03-10,1
69,제주유리의 성,2021-03-11,0
70,제주유리의 성,2021-03-12,1
71,제주유리의 성,2021-03-13,0
72,제주유리의 성,2021-03-14,2
73,제주유리의 성,2021-03-15,1
74,제주유리의 성,2021-03-16,1
75,제주유리의 성,2021-03-17,1
