,관광지,날짜,버즈량
0,제주절물자연휴양림,2021-01-01,4
1,제주절물자연휴양림,2021-01-02,8
2,제주절물자연휴양림,2021-01-03,7
3,제주절물자연휴양림,2021-01-04,4
4,제주절물자연휴양림,2021-01-05,5
5,제주절물자연휴양림,2021-01-06,3
6,제주절물자연휴양림,2021-01-07,8
7,제주절물자연휴양림,2021-01-08,7
8,제주절물자연휴양림,2021-01-09,5
9,제주절물자연휴양림,2021-01-10,4
10,제주절물자연휴양림,2021-01-11,7
11,제주절물자연휴양림,2021-01-12,6
12,제주절물자연휴양림,2021-01-13,12
13,제주절물자연휴양림,2021-01-14,6
14,제주절물자연휴양림,2021-01-15,8
15,제주절물자연휴양림,2021-01-16,6
16,제주절물자연휴양림,2021-01-17,5
17,제주절물자연휴양림,2021-01-18,4
18,제주절물자연휴양림,2021-01-19,3
19,제주절물자연휴양림,2021-01-20,2
20,제주절물자연휴양림,2021-01-21,1
21,제주절물자연휴양림,2021-01-22,10
22,제주절물자연휴양림,2021-01-23,2
23,제주절물자연휴양림,2021-01-24,3
24,제주절물자연휴양림,2021-01-25,5
25,제주절물자연휴양림,2021-01-26,6
26,제주절물자연휴양림,2021-01-27,3
27,제주절물자연휴양림,2021-01-28,2
28,제주절물자연휴양림,2021-01-29,4
29,제주절물자연휴양림,2021-01-30,6
30,제주절물자연휴양림,2021-01-31,4
31,제주절물자연휴양림,2021-02-01,9
32,제주절물자연휴양림,2021-02-02,4
33,제주절물자연휴양림,2021-02-03,4
34,제주절물자연휴양림,2021-02-04,5
35,제주절물자연휴양림,2021-02-05,7
36,제주절물자연휴양림,2021-02-06,1
37,제주절물자연휴양림,2021-02-07,3
38,제주절물자연휴양림,2021-02-08,6
39,제주절물자연휴양림,2021-02-09,8
40,제주절물자연휴양림,2021-02-10,4
41,제주절물자연휴양림,2021-02-11,3
42,제주절물자연휴양림,2021-02-12,4
43,제주절물자연휴양림,2021-02-13,2
44,제주절물자연휴양림,2021-02-14,6
45,제주절물자연휴양림,2021-02-15,6
46,제주절물자연휴양림,2021-02-16,3
47,제주절물자연휴양림,2021-02-17,13
48,제주절물자연휴양림,2021-02-18,7
49,제주절물자연휴양림,2021-02-19,9
50,제주절물자연휴양림,2021-02-20,5
51,제주절물자연휴양림,2021-02-21,5
52,제주절물자연휴양림,2021-02-22,5
53,제주절물자연휴양림,2021-02-23,6
54,제주절물자연휴양림,2021-02-24,6
55,제주절물자연휴양림,2021-02-25,4
56,제주절물자연휴양림,2021-02-26,8
57,제주절물자연휴양림,2021-02-27,4
58,제주절물자연휴양림,2021-02-28,5
59,제주절물자연휴양림,2021-03-01,2
60,제주절물자연휴양림,2021-03-02,4
61,제주절물자연휴양림,2021-03-03,7
62,제주절물자연휴양림,2021-03-04,4
63,제주절물자연휴양림,2021-03-05,5
64,제주절물자연휴양림,2021-03-06,9
65,제주절물자연휴양림,2021-03-07,1
66,제주절물자연휴양림,2021-03-08,7
67,제주절물자연휴양림,2021-03-09,12
68,제주절물자연휴양림,2021-03-10,12
69,제주절물자연휴양림,2021-03-11,10
70,제주절물자연휴양림,2021-03-12,7
71,제주절물자연휴양림,2021-03-13,7
72,제주절물자연휴양림,2021-03-14,6
73,제주절물자연휴양림,2021-03-15,7
74,제주절물자연휴양림,2021-03-16,2
75,제주절물자연휴양림,2021-03-17,4
76,제주절물자연휴양림,2021-03-18,5
77,제주절물자연휴양림,2021-03-19,23
78,제주절물자연휴양림,2021-03-20,6
79,제주절물자연휴양림,2021-03-21,10
80,제주절물자연휴양림,2021-03-22,15
81,제주절물자연휴양림,2021-03-23,13
82,제주절물자연휴양림,2021-03-24,21
83,제주절물자연휴양림,2021-03-25,11
84,제주절물자연휴양림,2021-03-26,17
85,제주절물자연휴양림,2021-03-27,6
86,제주절물자연휴양림,2021-03-28,8
87,제주절물자연휴양림,2021-03-29,5
88,제주절물자연휴양림,2021-03-30,12
89,제주절물자연휴양림,2021-03-31,7
90,제주절물자연휴양림,2021-04-01,8
91,제주절물자연휴양림,2021-04-02,4
92,제주절물자연휴양림,2021-04-03,4
93,제주절물자연휴양림,2021-04-04,1
94,제주절물자연휴양림,2021-04-05,8
95,제주절물자연휴양림,2021-04-06,11
96,제주절물자연휴양림,2021-04-07,13
97,제주절물자연휴양림,2021-04-08,10
98,제주절물자연휴양림,2021-04-09,7
99,제주절물자연휴양림,2021-04-10,14
100,제주절물자연휴양림,2021-04-11,4
101,제주절물자연휴양림,2021-04-12,16
102,제주절물자연휴양림,2021-04-13,17
103,제주절물자연휴양림,2021-04-14,10
104,제주절물자연휴양림,2021-04-15,14
105,제주절물자연휴양림,2021-04-16,15
106,제주절물자연휴양림,2021-04-17,12
107,제주절물자연휴양림,2021-04-18,11
108,제주절물자연휴양림,2021-04-19,21
109,제주절물자연휴양림,2021-04-20,13
110,제주절물자연휴양림,2021-04-21,17
111,제주절물자연휴양림,2021-04-22,22
112,제주절물자연휴양림,2021-04-23,29
113,제주절물자연휴양림,2021-04-24,17
114,제주절물자연휴양림,2021-04-25,20
115,제주절물자연휴양림,2021-04-26,11
116,제주절물자연휴양림,2021-04-27,17
117,제주절물자연휴양림,2021-04-28,18
118,제주절물자연휴양림,2021-04-29,6
119,제주절물자연휴양림,2021-04-30,13
120,제주절물자연휴양림,2021-05-01,5
121,제주절물자연휴양림,2021-05-02,10
122,제주절물자연휴양림,2021-05-03,12
123,제주절물자연휴양림,2021-05-04,6
124,제주절물자연휴양림,2021-05-05,8
125,제주절물자연휴양림,2021-05-06,10
126,제주절물자연휴양림,2021-05-07,10
127,제주절물자연휴양림,2021-05-08,5
128,제주절물자연휴양림,2021-05-09,4
129,제주절물자연휴양림,2021-05-10,9
130,제주절물자연휴양림,2021-05-11,10
131,제주절물자연휴양림,2021-05-12,13
132,제주절물자연휴양림,2021-05-13,7
133,제주절물자연휴양림,2021-05-14,13
134,제주절물자연휴양림,2021-05-15,8
135,제주절물자연휴양림,2021-05-16,4
136,제주절물자연휴양림,2021-05-17,7
137,제주절물자연휴양림,2021-05-18,4
138,제주절물자연휴양림,2021-05-19,9
139,제주절물자연휴양림,2021-05-20,9
140,제주절물자연휴양림,2021-05-21,8
141,제주절물자연휴양림,2021-05-22,5
142,제주절물자연휴양림,2021-05-23,7
143,제주절물자연휴양림,2021-05-24,4
144,제주절물자연휴양림,2021-05-25,14
145,제주절물자연휴양림,2021-05-26,9
146,제주절물자연휴양림,2021-05-27,9
147,제주절물자연휴양림,2021-05-28,12
148,제주절물자연휴양림,2021-05-29,8
149,제주절물자연휴양림,2021-05-30,4
150,제주절물자연휴양림,2021-05-31,9
151,제주절물자연휴양림,2021-06-01,12
152,제주절물자연휴양림,2021-06-02,8
153,제주절물자연휴양림,2021-06-03,5
154,제주절물자연휴양림,2021-06-04,12
155,제주절물자연휴양림,2021-06-05,4
156,제주절물자연휴양림,2021-06-06,8
157,제주절물자연휴양림,2021-06-07,7
158,제주절물자연휴양림,2021-06-08,12
