,관광지,날짜,버즈량
0,제주조각공원,2021-01-01,1
1,제주조각공원,2021-01-02,1
2,제주조각공원,2021-01-03,3
3,제주조각공원,2021-01-04,2
4,제주조각공원,2021-01-05,2
5,제주조각공원,2021-01-06,1
6,제주조각공원,2021-01-07,3
7,제주조각공원,2021-01-08,0
8,제주조각공원,2021-01-09,0
9,제주조각공원,2021-01-10,1
10,제주조각공원,2021-01-11,3
11,제주조각공원,2021-01-12,2
12,제주조각공원,2021-01-13,0
13,제주조각공원,2021-01-14,0
14,제주조각공원,2021-01-15,0
15,제주조각공원,2021-01-16,1
16,제주조각공원,2021-01-17,0
17,제주조각공원,2021-01-18,0
18,제주조각공원,2021-01-19,0
19,제주조각공원,2021-01-20,2
20,제주조각공원,2021-01-21,2
21,제주조각공원,2021-01-22,1
22,제주조각공원,2021-01-23,2
23,제주조각공원,2021-01-24,1
24,제주조각공원,2021-01-25,2
25,제주조각공원,2021-01-26,0
26,제주조각공원,2021-01-27,1
27,제주조각공원,2021-01-28,2
28,제주조각공원,2021-01-29,1
29,제주조각공원,2021-01-30,0
30,제주조각공원,2021-01-31,3
31,제주조각공원,2021-02-01,1
32,제주조각공원,2021-02-02,0
33,제주조각공원,2021-02-03,1
34,제주조각공원,2021-02-04,3
35,제주조각공원,2021-02-05,0
36,제주조각공원,2021-02-06,1
37,제주조각공원,2021-02-07,1
38,제주조각공원,2021-02-08,2
39,제주조각공원,2021-02-09,2
40,제주조각공원,2021-02-10,2
41,제주조각공원,2021-02-11,1
42,제주조각공원,2021-02-12,0
43,제주조각공원,2021-02-13,1
44,제주조각공원,2021-02-14,0
45,제주조각공원,2021-02-15,0
46,제주조각공원,2021-02-16,0
47,제주조각공원,2021-02-17,1
48,제주조각공원,2021-02-18,0
49,제주조각공원,2021-02-19,4
50,제주조각공원,2021-02-20,1
51,제주조각공원,2021-02-21,0
52,제주조각공원,2021-02-22,2
53,제주조각공원,2021-02-23,4
54,제주조각공원,2021-02-24,2
55,제주조각공원,2021-02-25,2
56,제주조각공원,2021-02-26,1
57,제주조각공원,2021-02-27,0
58,제주조각공원,2021-02-28,1
59,제주조각공원,2021-03-01,3
60,제주조각공원,2021-03-02,0
61,제주조각공원,2021-03-03,0
62,제주조각공원,2021-03-04,3
63,제주조각공원,2021-03-05,1
64,제주조각공원,2021-03-06,1
65,제주조각공원,2021-03-07,6
66,제주조각공원,2021-03-08,4
67,제주조각공원,2021-03-09,2
68,제주조각공원,2021-03-10,1
69,제주조각공원,2021-03-11,1
70,제주조각공원,2021-03-12,2
71,제주조각공원,2021-03-13,0
72,제주조각공원,2021-03-14,3
73,제주조각공원,2021-03-15,1
74,제주조각공원,2021-03-16,1
75,제주조각공원,2021-03-17,0
76,제주조각공원,2021-03-18,2
77,제주조각공원,2021-03-19,1
78,제주조각공원,2021-03-20,1
79,제주조각공원,2021-03-21,0
80,제주조각공원,2021-03-22,1
81,제주조각공원,2021-03-23,2
82,제주조각공원,2021-03-24,3
83,제주조각공원,2021-03-25,1
84,제주조각공원,2021-03-26,0
85,제주조각공원,2021-03-27,1
86,제주조각공원,2021-03-28,0
87,제주조각공원,2021-03-29,1
88,제주조각공원,2021-03-30,1
89,제주조각공원,2021-03-31,0
90,제주조각공원,2021-04-01,0
91,제주조각공원,2021-04-02,4
92,제주조각공원,2021-04-03,2
93,제주조각공원,2021-04-04,2
94,제주조각공원,2021-04-05,2
95,제주조각공원,2021-04-06,4
96,제주조각공원,2021-04-07,1
97,제주조각공원,2021-04-08,5
98,제주조각공원,2021-04-09,3
99,제주조각공원,2021-04-10,1
100,제주조각공원,2021-04-11,0
101,제주조각공원,2021-04-12,1
102,제주조각공원,2021-04-13,3
103,제주조각공원,2021-04-14,1
104,제주조각공원,2021-04-15,3
105,제주조각공원,2021-04-16,0
106,제주조각공원,2021-04-17,1
107,제주조각공원,2021-04-18,4
108,제주조각공원,2021-04-19,1
109,제주조각공원,2021-04-20,4
110,제주조각공원,2021-04-21,3
111,제주조각공원,2021-04-22,0
112,제주조각공원,2021-04-23,3
113,제주조각공원,2021-04-24,5
114,제주조각공원,2021-04-25,1
115,제주조각공원,2021-04-26,3
116,제주조각공원,2021-04-27,3
117,제주조각공원,2021-04-28,1
118,제주조각공원,2021-04-29,0
119,제주조각공원,2021-04-30,8
120,제주조각공원,2021-05-01,1
121,제주조각공원,2021-05-02,1
122,제주조각공원,2021-05-03,0
123,제주조각공원,2021-05-04,6
124,제주조각공원,2021-05-05,3
125,제주조각공원,2021-05-06,2
126,제주조각공원,2021-05-07,2
127,제주조각공원,2021-05-08,3
128,제주조각공원,2021-05-09,4
129,제주조각공원,2021-05-10,2
130,제주조각공원,2021-05-11,1
131,제주조각공원,2021-05-12,1
132,제주조각공원,2021-05-13,2
133,제주조각공원,2021-05-14,3
134,제주조각공원,2021-05-15,3
135,제주조각공원,2021-05-16,1
136,제주조각공원,2021-05-17,3
