,관광지,날짜,버즈량
0,제주항공우주박물관,2021-01-01,4
1,제주항공우주박물관,2021-01-02,3
2,제주항공우주박물관,2021-01-03,3
3,제주항공우주박물관,2021-01-04,5
4,제주항공우주박물관,2021-01-05,9
5,제주항공우주박물관,2021-01-06,8
6,제주항공우주박물관,2021-01-07,7
7,제주항공우주박물관,2021-01-08,4
8,제주항공우주박물관,2021-01-09,2
9,제주항공우주박물관,2021-01-10,5
10,제주항공우주박물관,2021-01-11,7
11,제주항공우주박물관,2021-01-12,4
12,제주항공우주박물관,2021-01-13,4
13,제주항공우주박물관,2021-01-14,4
14,제주항공우주박물관,2021-01-15,5
15,제주항공우주박물관,2021-01-16,2
16,제주항공우주박물관,2021-01-17,2
17,제주항공우주박물관,2021-01-18,7
18,제주항공우주박물관,2021-01-19,2
19,제주항공우주박물관,2021-01-20,7
20,제주항공우주박물관,2021-01-21,5
21,제주항공우주박물관,2021-01-22,4
22,제주항공우주박물관,2021-01-23,0
23,제주항공우주박물관,2021-01-24,1
24,제주항공우주박물관,2021-01-25,6
25,제주항공우주박물관,2021-01-26,6
26,제주항공우주박물관,2021-01-27,3
27,제주항공우주박물관,2021-01-28,8
28,제주항공우주박물관,2021-01-29,4
29,제주항공우주박물관,2021-01-30,3
30,제주항공우주박물관,2021-01-31,2
31,제주항공우주박물관,2021-02-01,5
32,제주항공우주박물관,2021-02-02,2
33,제주항공우주박물관,2021-02-03,2
34,제주항공우주박물관,2021-02-04,4
35,제주항공우주박물관,2021-02-05,5
36,제주항공우주박물관,2021-02-06,0
37,제주항공우주박물관,2021-02-07,5
38,제주항공우주박물관,2021-02-08,3
39,제주항공우주박물관,2021-02-09,1
40,제주항공우주박물관,2021-02-10,1
41,제주항공우주박물관,2021-02-11,1
42,제주항공우주박물관,2021-02-12,2
43,제주항공우주박물관,2021-02-13,3
44,제주항공우주박물관,2021-02-14,2
45,제주항공우주박물관,2021-02-15,4
46,제주항공우주박물관,2021-02-16,3
47,제주항공우주박물관,2021-02-17,7
48,제주항공우주박물관,2021-02-18,3
49,제주항공우주박물관,2021-02-19,3
50,제주항공우주박물관,2021-02-20,5
51,제주항공우주박물관,2021-02-21,3
52,제주항공우주박물관,2021-02-22,5
53,제주항공우주박물관,2021-02-23,1
54,제주항공우주박물관,2021-02-24,4
55,제주항공우주박물관,2021-02-25,4
56,제주항공우주박물관,2021-02-26,5
57,제주항공우주박물관,2021-02-27,2
58,제주항공우주박물관,2021-02-28,3
59,제주항공우주박물관,2021-03-01,6
60,제주항공우주박물관,2021-03-02,2
61,제주항공우주박물관,2021-03-03,4
62,제주항공우주박물관,2021-03-04,3
63,제주항공우주박물관,2021-03-05,10
64,제주항공우주박물관,2021-03-06,3
65,제주항공우주박물관,2021-03-07,7
66,제주항공우주박물관,2021-03-08,6
67,제주항공우주박물관,2021-03-09,3
68,제주항공우주박물관,2021-03-10,9
69,제주항공우주박물관,2021-03-11,5
70,제주항공우주박물관,2021-03-12,7
71,제주항공우주박물관,2021-03-13,0
72,제주항공우주박물관,2021-03-14,3
73,제주항공우주박물관,2021-03-15,2
74,제주항공우주박물관,2021-03-16,4
75,제주항공우주박물관,2021-03-17,2
76,제주항공우주박물관,2021-03-18,5
77,제주항공우주박물관,2021-03-19,8
78,제주항공우주박물관,2021-03-20,9
79,제주항공우주박물관,2021-03-21,6
80,제주항공우주박물관,2021-03-22,8
81,제주항공우주박물관,2021-03-23,5
82,제주항공우주박물관,2021-03-24,9
83,제주항공우주박물관,2021-03-25,7
84,제주항공우주박물관,2021-03-26,7
85,제주항공우주박물관,2021-03-27,10
86,제주항공우주박물관,2021-03-28,2
87,제주항공우주박물관,2021-03-29,8
88,제주항공우주박물관,2021-03-30,5
89,제주항공우주박물관,2021-03-31,4
90,제주항공우주박물관,2021-04-01,6
91,제주항공우주박물관,2021-04-02,5
92,제주항공우주박물관,2021-04-03,4
93,제주항공우주박물관,2021-04-04,2
94,제주항공우주박물관,2021-04-05,5
95,제주항공우주박물관,2021-04-06,6
96,제주항공우주박물관,2021-04-07,8
97,제주항공우주박물관,2021-04-08,8
98,제주항공우주박물관,2021-04-09,5
99,제주항공우주박물관,2021-04-10,2
100,제주항공우주박물관,2021-04-11,4
101,제주항공우주박물관,2021-04-12,11
102,제주항공우주박물관,2021-04-13,6
103,제주항공우주박물관,2021-04-14,10
104,제주항공우주박물관,2021-04-15,9
105,제주항공우주박물관,2021-04-16,9
106,제주항공우주박물관,2021-04-17,7
107,제주항공우주박물관,2021-04-18,3
108,제주항공우주박물관,2021-04-19,11
109,제주항공우주박물관,2021-04-20,15
110,제주항공우주박물관,2021-04-21,11
111,제주항공우주박물관,2021-04-22,9
112,제주항공우주박물관,2021-04-23,14
113,제주항공우주박물관,2021-04-24,9
114,제주항공우주박물관,2021-04-25,16
115,제주항공우주박물관,2021-04-26,11
116,제주항공우주박물관,2021-04-27,4
117,제주항공우주박물관,2021-04-28,6
118,제주항공우주박물관,2021-04-29,7
119,제주항공우주박물관,2021-04-30,7
120,제주항공우주박물관,2021-05-01,7
121,제주항공우주박물관,2021-05-02,2
122,제주항공우주박물관,2021-05-03,7
123,제주항공우주박물관,2021-05-04,8
124,제주항공우주박물관,2021-05-05,6
125,제주항공우주박물관,2021-05-06,4
126,제주항공우주박물관,2021-05-07,3
127,제주항공우주박물관,2021-05-08,7
128,제주항공우주박물관,2021-05-09,4
129,제주항공우주박물관,2021-05-10,4
130,제주항공우주박물관,2021-05-11,4
131,제주항공우주박물관,2021-05-12,14
132,제주항공우주박물관,2021-05-13,5
133,제주항공우주박물관,2021-05-14,6
134,제주항공우주박물관,2021-05-15,3
135,제주항공우주박물관,2021-05-16,1
136,제주항공우주박물관,2021-05-17,11
137,제주항공우주박물관,2021-05-18,4
138,제주항공우주박물관,2021-05-19,4
139,제주항공우주박물관,2021-05-20,16
140,제주항공우주박물관,2021-05-21,6
141,제주항공우주박물관,2021-05-22,2
142,제주항공우주박물관,2021-05-23,3
143,제주항공우주박물관,2021-05-24,5
144,제주항공우주박물관,2021-05-25,7
145,제주항공우주박물관,2021-05-26,11
146,제주항공우주박물관,2021-05-27,8
147,제주항공우주박물관,2021-05-28,7
148,제주항공우주박물관,2021-05-29,4
149,제주항공우주박물관,2021-05-30,4
150,제주항공우주박물관,2021-05-31,5
151,제주항공우주박물관,2021-06-01,0
152,제주항공우주박물관,2021-06-02,10
153,제주항공우주박물관,2021-06-03,4
154,제주항공우주박물관,2021-06-04,6
155,제주항공우주박물관,2021-06-05,2
156,제주항공우주박물관,2021-06-06,1
157,제주항공우주박물관,2021-06-07,8
158,제주항공우주박물관,2021-06-08,5
159,제주항공우주박물관,2021-06-09,3
160,제주항공우주박물관,2021-06-10,7
161,제주항공우주박물관,2021-06-11,6
162,제주항공우주박물관,2021-06-12,5
163,제주항공우주박물관,2021-06-13,6
164,제주항공우주박물관,2021-06-14,4
165,제주항공우주박물관,2021-06-15,3
166,제주항공우주박물관,2021-06-16,2
167,제주항공우주박물관,2021-06-17,6
168,제주항공우주박물관,2021-06-18,6
169,제주항공우주박물관,2021-06-19,5
170,제주항공우주박물관,2021-06-20,4
171,제주항공우주박물관,2021-06-21,7
172,제주항공우주박물관,2021-06-22,5
173,제주항공우주박물관,2021-06-23,5
174,제주항공우주박물관,2021-06-24,6
175,제주항공우주박물관,2021-06-25,2
176,제주항공우주박물관,2021-06-26,4
177,제주항공우주박물관,2021-06-27,8
178,제주항공우주박물관,2021-06-28,7
179,제주항공우주박물관,2021-06-29,6
180,제주항공우주박물관,2021-06-30,2
181,제주항공우주박물관,2021-07-01,6
182,제주항공우주박물관,2021-07-02,5
183,제주항공우주박물관,2021-07-03,1
184,제주항공우주박물관,2021-07-04,5
185,제주항공우주박물관,2021-07-05,5
186,제주항공우주박물관,2021-07-06,7
187,제주항공우주박물관,2021-07-07,8
188,제주항공우주박물관,2021-07-08,5
189,제주항공우주박물관,2021-07-09,3
190,제주항공우주박물관,2021-07-10,4
191,제주항공우주박물관,2021-07-11,3
192,제주항공우주박물관,2021-07-12,6
193,제주항공우주박물관,2021-07-13,5
194,제주항공우주박물관,2021-07-14,7
195,제주항공우주박물관,2021-07-15,2
196,제주항공우주박물관,2021-07-16,7
197,제주항공우주박물관,2021-07-17,4
198,제주항공우주박물관,2021-07-18,5
199,제주항공우주박물관,2021-07-19,8
200,제주항공우주박물관,2021-07-20,6
201,제주항공우주박물관,2021-07-21,8
202,제주항공우주박물관,2021-07-22,9
203,제주항공우주박물관,2021-07-23,4
204,제주항공우주박물관,2021-07-24,1
205,제주항공우주박물관,2021-07-25,4
206,제주항공우주박물관,2021-07-26,5
207,제주항공우주박물관,2021-07-27,8
208,제주항공우주박물관,2021-07-28,8
209,제주항공우주박물관,2021-07-29,6
210,제주항공우주박물관,2021-07-30,3
211,제주항공우주박물관,2021-07-31,2
212,제주항공우주박물관,2021-08-01,3
213,제주항공우주박물관,2021-08-02,7
