,관광지,날짜,버즈량
0,제주해녀박물관,2021-01-01,1
1,제주해녀박물관,2021-01-02,0
2,제주해녀박물관,2021-01-03,1
3,제주해녀박물관,2021-01-04,2
4,제주해녀박물관,2021-01-05,4
5,제주해녀박물관,2021-01-06,1
6,제주해녀박물관,2021-01-07,2
7,제주해녀박물관,2021-01-08,3
8,제주해녀박물관,2021-01-09,2
9,제주해녀박물관,2021-01-10,1
10,제주해녀박물관,2021-01-11,2
11,제주해녀박물관,2021-01-12,1
12,제주해녀박물관,2021-01-13,3
13,제주해녀박물관,2021-01-14,2
14,제주해녀박물관,2021-01-15,2
15,제주해녀박물관,2021-01-16,1
16,제주해녀박물관,2021-01-17,1
17,제주해녀박물관,2021-01-18,4
18,제주해녀박물관,2021-01-19,2
19,제주해녀박물관,2021-01-20,3
20,제주해녀박물관,2021-01-21,0
21,제주해녀박물관,2021-01-22,1
22,제주해녀박물관,2021-01-23,1
23,제주해녀박물관,2021-01-24,2
24,제주해녀박물관,2021-01-25,3
25,제주해녀박물관,2021-01-26,2
26,제주해녀박물관,2021-01-27,0
27,제주해녀박물관,2021-01-28,0
28,제주해녀박물관,2021-01-29,2
29,제주해녀박물관,2021-01-30,4
30,제주해녀박물관,2021-01-31,2
31,제주해녀박물관,2021-02-01,3
32,제주해녀박물관,2021-02-02,0
33,제주해녀박물관,2021-02-03,3
34,제주해녀박물관,2021-02-04,1
35,제주해녀박물관,2021-02-05,3
36,제주해녀박물관,2021-02-06,2
37,제주해녀박물관,2021-02-07,1
38,제주해녀박물관,2021-02-08,2
39,제주해녀박물관,2021-02-09,2
40,제주해녀박물관,2021-02-10,1
41,제주해녀박물관,2021-02-11,1
42,제주해녀박물관,2021-02-12,2
43,제주해녀박물관,2021-02-13,3
44,제주해녀박물관,2021-02-14,1
45,제주해녀박물관,2021-02-15,0
46,제주해녀박물관,2021-02-16,2
47,제주해녀박물관,2021-02-17,0
48,제주해녀박물관,2021-02-18,1
49,제주해녀박물관,2021-02-19,2
50,제주해녀박물관,2021-02-20,2
51,제주해녀박물관,2021-02-21,1
52,제주해녀박물관,2021-02-22,1
53,제주해녀박물관,2021-02-23,2
54,제주해녀박물관,2021-02-24,5
55,제주해녀박물관,2021-02-25,2
56,제주해녀박물관,2021-02-26,3
57,제주해녀박물관,2021-02-27,0
58,제주해녀박물관,2021-02-28,0
59,제주해녀박물관,2021-03-01,4
60,제주해녀박물관,2021-03-02,1
61,제주해녀박물관,2021-03-03,4
62,제주해녀박물관,2021-03-04,1
63,제주해녀박물관,2021-03-05,0
64,제주해녀박물관,2021-03-06,3
65,제주해녀박물관,2021-03-07,0
66,제주해녀박물관,2021-03-08,1
67,제주해녀박물관,2021-03-09,2
68,제주해녀박물관,2021-03-10,1
69,제주해녀박물관,2021-03-11,1
70,제주해녀박물관,2021-03-12,3
71,제주해녀박물관,2021-03-13,3
72,제주해녀박물관,2021-03-14,4
73,제주해녀박물관,2021-03-15,1
74,제주해녀박물관,2021-03-16,2
75,제주해녀박물관,2021-03-17,1
76,제주해녀박물관,2021-03-18,2
77,제주해녀박물관,2021-03-19,1
78,제주해녀박물관,2021-03-20,3
79,제주해녀박물관,2021-03-21,5
80,제주해녀박물관,2021-03-22,0
81,제주해녀박물관,2021-03-23,1
82,제주해녀박물관,2021-03-24,3
83,제주해녀박물관,2021-03-25,5
84,제주해녀박물관,2021-03-26,2
85,제주해녀박물관,2021-03-27,5
86,제주해녀박물관,2021-03-28,3
87,제주해녀박물관,2021-03-29,5
88,제주해녀박물관,2021-03-30,4
89,제주해녀박물관,2021-03-31,5
90,제주해녀박물관,2021-04-01,3
91,제주해녀박물관,2021-04-02,0
92,제주해녀박물관,2021-04-03,4
93,제주해녀박물관,2021-04-04,1
94,제주해녀박물관,2021-04-05,1
95,제주해녀박물관,2021-04-06,2
96,제주해녀박물관,2021-04-07,1
97,제주해녀박물관,2021-04-08,4
98,제주해녀박물관,2021-04-09,0
99,제주해녀박물관,2021-04-10,2
100,제주해녀박물관,2021-04-11,2
101,제주해녀박물관,2021-04-12,2
102,제주해녀박물관,2021-04-13,2
103,제주해녀박물관,2021-04-14,1
104,제주해녀박물관,2021-04-15,3
105,제주해녀박물관,2021-04-16,3
106,제주해녀박물관,2021-04-17,3
107,제주해녀박물관,2021-04-18,2
108,제주해녀박물관,2021-04-19,0
109,제주해녀박물관,2021-04-20,3
110,제주해녀박물관,2021-04-21,2
111,제주해녀박물관,2021-04-22,1
112,제주해녀박물관,2021-04-23,5
113,제주해녀박물관,2021-04-24,1
114,제주해녀박물관,2021-04-25,2
115,제주해녀박물관,2021-04-26,4
116,제주해녀박물관,2021-04-27,2
117,제주해녀박물관,2021-04-28,4
118,제주해녀박물관,2021-04-29,1
119,제주해녀박물관,2021-04-30,2
120,제주해녀박물관,2021-05-01,4
121,제주해녀박물관,2021-05-02,4
122,제주해녀박물관,2021-05-03,1
123,제주해녀박물관,2021-05-04,2
