,관광지,날짜,버즈량
0,제주허브동산,2021-01-01,2
1,제주허브동산,2021-01-02,3
2,제주허브동산,2021-01-03,5
3,제주허브동산,2021-01-04,5
4,제주허브동산,2021-01-05,1
5,제주허브동산,2021-01-06,8
6,제주허브동산,2021-01-07,5
7,제주허브동산,2021-01-08,3
8,제주허브동산,2021-01-09,1
9,제주허브동산,2021-01-10,3
10,제주허브동산,2021-01-11,4
11,제주허브동산,2021-01-12,0
12,제주허브동산,2021-01-13,2
13,제주허브동산,2021-01-14,2
14,제주허브동산,2021-01-15,1
15,제주허브동산,2021-01-16,3
16,제주허브동산,2021-01-17,0
17,제주허브동산,2021-01-18,1
18,제주허브동산,2021-01-19,0
19,제주허브동산,2021-01-20,1
20,제주허브동산,2021-01-21,1
21,제주허브동산,2021-01-22,0
22,제주허브동산,2021-01-23,0
23,제주허브동산,2021-01-24,1
24,제주허브동산,2021-01-25,2
25,제주허브동산,2021-01-26,0
26,제주허브동산,2021-01-27,4
27,제주허브동산,2021-01-28,2
28,제주허브동산,2021-01-29,1
29,제주허브동산,2021-01-30,0
30,제주허브동산,2021-01-31,1
31,제주허브동산,2021-02-01,1
32,제주허브동산,2021-02-02,0
33,제주허브동산,2021-02-03,1
34,제주허브동산,2021-02-04,1
35,제주허브동산,2021-02-05,1
36,제주허브동산,2021-02-06,0
37,제주허브동산,2021-02-07,2
38,제주허브동산,2021-02-08,5
39,제주허브동산,2021-02-09,0
40,제주허브동산,2021-02-10,1
41,제주허브동산,2021-02-11,2
42,제주허브동산,2021-02-12,1
43,제주허브동산,2021-02-13,3
44,제주허브동산,2021-02-14,0
45,제주허브동산,2021-02-15,0
46,제주허브동산,2021-02-16,4
47,제주허브동산,2021-02-17,4
48,제주허브동산,2021-02-18,3
49,제주허브동산,2021-02-19,3
50,제주허브동산,2021-02-20,1
51,제주허브동산,2021-02-21,2
52,제주허브동산,2021-02-22,1
53,제주허브동산,2021-02-23,2
54,제주허브동산,2021-02-24,2
55,제주허브동산,2021-02-25,5
56,제주허브동산,2021-02-26,3
57,제주허브동산,2021-02-27,5
58,제주허브동산,2021-02-28,5
59,제주허브동산,2021-03-01,3
60,제주허브동산,2021-03-02,5
61,제주허브동산,2021-03-03,2
62,제주허브동산,2021-03-04,4
63,제주허브동산,2021-03-05,3
64,제주허브동산,2021-03-06,1
65,제주허브동산,2021-03-07,2
66,제주허브동산,2021-03-08,1
67,제주허브동산,2021-03-09,1
68,제주허브동산,2021-03-10,1
69,제주허브동산,2021-03-11,0
70,제주허브동산,2021-03-12,4
71,제주허브동산,2021-03-13,1
72,제주허브동산,2021-03-14,1
73,제주허브동산,2021-03-15,6
74,제주허브동산,2021-03-16,2
75,제주허브동산,2021-03-17,3
76,제주허브동산,2021-03-18,7
77,제주허브동산,2021-03-19,5
78,제주허브동산,2021-03-20,0
79,제주허브동산,2021-03-21,6
80,제주허브동산,2021-03-22,2
81,제주허브동산,2021-03-23,5
