,관광지,날짜,버즈량
0,제주현대미술관,2021-01-01,1
1,제주현대미술관,2021-01-02,0
2,제주현대미술관,2021-01-03,1
3,제주현대미술관,2021-01-04,2
4,제주현대미술관,2021-01-05,1
5,제주현대미술관,2021-01-06,1
6,제주현대미술관,2021-01-07,0
7,제주현대미술관,2021-01-08,0
8,제주현대미술관,2021-01-09,0
9,제주현대미술관,2021-01-10,2
10,제주현대미술관,2021-01-11,0
11,제주현대미술관,2021-01-12,1
12,제주현대미술관,2021-01-13,1
13,제주현대미술관,2021-01-14,2
14,제주현대미술관,2021-01-15,3
15,제주현대미술관,2021-01-16,0
16,제주현대미술관,2021-01-17,1
17,제주현대미술관,2021-01-18,1
18,제주현대미술관,2021-01-19,1
19,제주현대미술관,2021-01-20,1
20,제주현대미술관,2021-01-21,1
21,제주현대미술관,2021-01-22,3
22,제주현대미술관,2021-01-23,2
23,제주현대미술관,2021-01-24,3
24,제주현대미술관,2021-01-25,1
25,제주현대미술관,2021-01-26,0
26,제주현대미술관,2021-01-27,2
27,제주현대미술관,2021-01-28,3
28,제주현대미술관,2021-01-29,1
29,제주현대미술관,2021-01-30,3
30,제주현대미술관,2021-01-31,1
31,제주현대미술관,2021-02-01,6
32,제주현대미술관,2021-02-02,5
33,제주현대미술관,2021-02-03,2
34,제주현대미술관,2021-02-04,1
35,제주현대미술관,2021-02-05,1
36,제주현대미술관,2021-02-06,0
37,제주현대미술관,2021-02-07,3
38,제주현대미술관,2021-02-08,2
39,제주현대미술관,2021-02-09,4
40,제주현대미술관,2021-02-10,4
41,제주현대미술관,2021-02-11,5
42,제주현대미술관,2021-02-12,2
43,제주현대미술관,2021-02-13,2
44,제주현대미술관,2021-02-14,1
45,제주현대미술관,2021-02-15,4
46,제주현대미술관,2021-02-16,3
47,제주현대미술관,2021-02-17,3
48,제주현대미술관,2021-02-18,3
49,제주현대미술관,2021-02-19,2
50,제주현대미술관,2021-02-20,1
51,제주현대미술관,2021-02-21,2
52,제주현대미술관,2021-02-22,5
53,제주현대미술관,2021-02-23,2
54,제주현대미술관,2021-02-24,3
55,제주현대미술관,2021-02-25,2
56,제주현대미술관,2021-02-26,2
57,제주현대미술관,2021-02-27,0
58,제주현대미술관,2021-02-28,2
59,제주현대미술관,2021-03-01,6
60,제주현대미술관,2021-03-02,2
61,제주현대미술관,2021-03-03,2
62,제주현대미술관,2021-03-04,2
63,제주현대미술관,2021-03-05,3
64,제주현대미술관,2021-03-06,3
65,제주현대미술관,2021-03-07,2
66,제주현대미술관,2021-03-08,4
67,제주현대미술관,2021-03-09,7
68,제주현대미술관,2021-03-10,6
69,제주현대미술관,2021-03-11,3
70,제주현대미술관,2021-03-12,4
71,제주현대미술관,2021-03-13,3
72,제주현대미술관,2021-03-14,2
73,제주현대미술관,2021-03-15,2
74,제주현대미술관,2021-03-16,5
75,제주현대미술관,2021-03-17,1
76,제주현대미술관,2021-03-18,3
77,제주현대미술관,2021-03-19,13
78,제주현대미술관,2021-03-20,3
79,제주현대미술관,2021-03-21,1
80,제주현대미술관,2021-03-22,0
81,제주현대미술관,2021-03-23,1
82,제주현대미술관,2021-03-24,4
83,제주현대미술관,2021-03-25,3
84,제주현대미술관,2021-03-26,2
85,제주현대미술관,2021-03-27,1
86,제주현대미술관,2021-03-28,1
87,제주현대미술관,2021-03-29,1
88,제주현대미술관,2021-03-30,1
89,제주현대미술관,2021-03-31,3
90,제주현대미술관,2021-04-01,7
91,제주현대미술관,2021-04-02,2
92,제주현대미술관,2021-04-03,2
93,제주현대미술관,2021-04-04,3
