,관광지,날짜,버즈량
0,조랑말체험공원,2021-01-01,0
1,조랑말체험공원,2021-01-02,1
2,조랑말체험공원,2021-01-03,2
3,조랑말체험공원,2021-01-04,4
4,조랑말체험공원,2021-01-05,2
5,조랑말체험공원,2021-01-06,1
6,조랑말체험공원,2021-01-07,2
7,조랑말체험공원,2021-01-08,3
8,조랑말체험공원,2021-01-09,0
9,조랑말체험공원,2021-01-10,1
10,조랑말체험공원,2021-01-11,0
11,조랑말체험공원,2021-01-12,0
12,조랑말체험공원,2021-01-13,0
13,조랑말체험공원,2021-01-14,1
14,조랑말체험공원,2021-01-15,0
15,조랑말체험공원,2021-01-16,0
16,조랑말체험공원,2021-01-17,0
17,조랑말체험공원,2021-01-18,0
18,조랑말체험공원,2021-01-19,0
19,조랑말체험공원,2021-01-20,0
20,조랑말체험공원,2021-01-21,0
21,조랑말체험공원,2021-01-22,0
22,조랑말체험공원,2021-01-23,1
23,조랑말체험공원,2021-01-24,2
24,조랑말체험공원,2021-01-25,0
25,조랑말체험공원,2021-01-26,1
26,조랑말체험공원,2021-01-27,0
27,조랑말체험공원,2021-01-28,0
28,조랑말체험공원,2021-01-29,0
29,조랑말체험공원,2021-01-30,1
30,조랑말체험공원,2021-01-31,0
31,조랑말체험공원,2021-02-01,0
32,조랑말체험공원,2021-02-02,0
33,조랑말체험공원,2021-02-03,0
34,조랑말체험공원,2021-02-04,0
35,조랑말체험공원,2021-02-05,0
36,조랑말체험공원,2021-02-06,0
37,조랑말체험공원,2021-02-07,0
38,조랑말체험공원,2021-02-08,2
39,조랑말체험공원,2021-02-09,1
40,조랑말체험공원,2021-02-10,0
41,조랑말체험공원,2021-02-11,0
42,조랑말체험공원,2021-02-12,0
43,조랑말체험공원,2021-02-13,0
44,조랑말체험공원,2021-02-14,1
45,조랑말체험공원,2021-02-15,0
46,조랑말체험공원,2021-02-16,1
47,조랑말체험공원,2021-02-17,0
48,조랑말체험공원,2021-02-18,0
49,조랑말체험공원,2021-02-19,1
50,조랑말체험공원,2021-02-20,0
51,조랑말체험공원,2021-02-21,2
52,조랑말체험공원,2021-02-22,2
53,조랑말체험공원,2021-02-23,1
54,조랑말체험공원,2021-02-24,0
55,조랑말체험공원,2021-02-25,1
56,조랑말체험공원,2021-02-26,0
57,조랑말체험공원,2021-02-27,0
58,조랑말체험공원,2021-02-28,0
59,조랑말체험공원,2021-03-01,0
