,관광지,날짜,버즈량
0,종달리해안도로,2021-01-01,15
1,종달리해안도로,2021-01-02,6
2,종달리해안도로,2021-01-03,3
3,종달리해안도로,2021-01-04,7
4,종달리해안도로,2021-01-05,6
5,종달리해안도로,2021-01-06,2
6,종달리해안도로,2021-01-07,3
7,종달리해안도로,2021-01-08,3
8,종달리해안도로,2021-01-09,3
9,종달리해안도로,2021-01-10,5
10,종달리해안도로,2021-01-11,2
11,종달리해안도로,2021-01-12,4
12,종달리해안도로,2021-01-13,2
13,종달리해안도로,2021-01-14,6
14,종달리해안도로,2021-01-15,4
15,종달리해안도로,2021-01-16,2
16,종달리해안도로,2021-01-17,3
17,종달리해안도로,2021-01-18,3
18,종달리해안도로,2021-01-19,3
19,종달리해안도로,2021-01-20,4
20,종달리해안도로,2021-01-21,3
21,종달리해안도로,2021-01-22,3
22,종달리해안도로,2021-01-23,3
23,종달리해안도로,2021-01-24,6
24,종달리해안도로,2021-01-25,2
25,종달리해안도로,2021-01-26,7
26,종달리해안도로,2021-01-27,1
27,종달리해안도로,2021-01-28,5
28,종달리해안도로,2021-01-29,5
29,종달리해안도로,2021-01-30,4
30,종달리해안도로,2021-01-31,0
31,종달리해안도로,2021-02-01,3
32,종달리해안도로,2021-02-02,4
33,종달리해안도로,2021-02-03,3
34,종달리해안도로,2021-02-04,4
35,종달리해안도로,2021-02-05,6
36,종달리해안도로,2021-02-06,7
37,종달리해안도로,2021-02-07,2
38,종달리해안도로,2021-02-08,3
39,종달리해안도로,2021-02-09,3
40,종달리해안도로,2021-02-10,2
41,종달리해안도로,2021-02-11,6
42,종달리해안도로,2021-02-12,2
43,종달리해안도로,2021-02-13,3
44,종달리해안도로,2021-02-14,3
45,종달리해안도로,2021-02-15,4
46,종달리해안도로,2021-02-16,4
47,종달리해안도로,2021-02-17,4
48,종달리해안도로,2021-02-18,7
49,종달리해안도로,2021-02-19,3
50,종달리해안도로,2021-02-20,6
51,종달리해안도로,2021-02-21,4
52,종달리해안도로,2021-02-22,3
53,종달리해안도로,2021-02-23,3
54,종달리해안도로,2021-02-24,2
55,종달리해안도로,2021-02-25,7
56,종달리해안도로,2021-02-26,2
57,종달리해안도로,2021-02-27,4
58,종달리해안도로,2021-02-28,0
59,종달리해안도로,2021-03-01,1
60,종달리해안도로,2021-03-02,3
61,종달리해안도로,2021-03-03,1
62,종달리해안도로,2021-03-04,6
63,종달리해안도로,2021-03-05,5
64,종달리해안도로,2021-03-06,4
65,종달리해안도로,2021-03-07,2
66,종달리해안도로,2021-03-08,6
67,종달리해안도로,2021-03-09,6
68,종달리해안도로,2021-03-10,3
69,종달리해안도로,2021-03-11,3
70,종달리해안도로,2021-03-12,5
71,종달리해안도로,2021-03-13,5
72,종달리해안도로,2021-03-14,7
73,종달리해안도로,2021-03-15,2
74,종달리해안도로,2021-03-16,9
75,종달리해안도로,2021-03-17,4
76,종달리해안도로,2021-03-18,5
77,종달리해안도로,2021-03-19,6
78,종달리해안도로,2021-03-20,6
79,종달리해안도로,2021-03-21,2
80,종달리해안도로,2021-03-22,5
81,종달리해안도로,2021-03-23,7
82,종달리해안도로,2021-03-24,8
83,종달리해안도로,2021-03-25,6
84,종달리해안도로,2021-03-26,4
85,종달리해안도로,2021-03-27,6
86,종달리해안도로,2021-03-28,5
87,종달리해안도로,2021-03-29,4
88,종달리해안도로,2021-03-30,8
89,종달리해안도로,2021-03-31,4
90,종달리해안도로,2021-04-01,2
91,종달리해안도로,2021-04-02,4
92,종달리해안도로,2021-04-03,3
93,종달리해안도로,2021-04-04,3
94,종달리해안도로,2021-04-05,5
95,종달리해안도로,2021-04-06,5
96,종달리해안도로,2021-04-07,2
97,종달리해안도로,2021-04-08,0
98,종달리해안도로,2021-04-09,2
99,종달리해안도로,2021-04-10,6
100,종달리해안도로,2021-04-11,2
101,종달리해안도로,2021-04-12,8
102,종달리해안도로,2021-04-13,4
103,종달리해안도로,2021-04-14,5
104,종달리해안도로,2021-04-15,4
105,종달리해안도로,2021-04-16,8
106,종달리해안도로,2021-04-17,8
107,종달리해안도로,2021-04-18,4
108,종달리해안도로,2021-04-19,4
109,종달리해안도로,2021-04-20,7
110,종달리해안도로,2021-04-21,7
111,종달리해안도로,2021-04-22,6
112,종달리해안도로,2021-04-23,7
113,종달리해안도로,2021-04-24,2
114,종달리해안도로,2021-04-25,5
115,종달리해안도로,2021-04-26,10
116,종달리해안도로,2021-04-27,5
117,종달리해안도로,2021-04-28,6
118,종달리해안도로,2021-04-29,8
119,종달리해안도로,2021-04-30,3
120,종달리해안도로,2021-05-01,6
121,종달리해안도로,2021-05-02,10
122,종달리해안도로,2021-05-03,9
123,종달리해안도로,2021-05-04,5
124,종달리해안도로,2021-05-05,3
125,종달리해안도로,2021-05-06,3
126,종달리해안도로,2021-05-07,8
