,관광지,날짜,버즈량
0,주상절리대,2021-01-01,5
1,주상절리대,2021-01-02,8
2,주상절리대,2021-01-03,8
3,주상절리대,2021-01-04,8
4,주상절리대,2021-01-05,8
5,주상절리대,2021-01-06,10
6,주상절리대,2021-01-07,6
7,주상절리대,2021-01-08,3
8,주상절리대,2021-01-09,6
9,주상절리대,2021-01-10,7
10,주상절리대,2021-01-11,8
11,주상절리대,2021-01-12,7
12,주상절리대,2021-01-13,6
13,주상절리대,2021-01-14,5
14,주상절리대,2021-01-15,6
15,주상절리대,2021-01-16,4
16,주상절리대,2021-01-17,3
17,주상절리대,2021-01-18,2
18,주상절리대,2021-01-19,6
19,주상절리대,2021-01-20,3
20,주상절리대,2021-01-21,3
21,주상절리대,2021-01-22,5
22,주상절리대,2021-01-23,5
23,주상절리대,2021-01-24,5
24,주상절리대,2021-01-25,12
25,주상절리대,2021-01-26,6
26,주상절리대,2021-01-27,5
27,주상절리대,2021-01-28,10
28,주상절리대,2021-01-29,5
29,주상절리대,2021-01-30,4
30,주상절리대,2021-01-31,3
31,주상절리대,2021-02-01,6
32,주상절리대,2021-02-02,6
33,주상절리대,2021-02-03,4
34,주상절리대,2021-02-04,4
35,주상절리대,2021-02-05,8
36,주상절리대,2021-02-06,5
37,주상절리대,2021-02-07,3
38,주상절리대,2021-02-08,2
39,주상절리대,2021-02-09,8
40,주상절리대,2021-02-10,4
41,주상절리대,2021-02-11,7
42,주상절리대,2021-02-12,8
43,주상절리대,2021-02-13,3
44,주상절리대,2021-02-14,9
45,주상절리대,2021-02-15,8
46,주상절리대,2021-02-16,8
47,주상절리대,2021-02-17,4
48,주상절리대,2021-02-18,9
49,주상절리대,2021-02-19,5
50,주상절리대,2021-02-20,11
51,주상절리대,2021-02-21,12
52,주상절리대,2021-02-22,11
53,주상절리대,2021-02-23,6
54,주상절리대,2021-02-24,8
55,주상절리대,2021-02-25,8
56,주상절리대,2021-02-26,8
57,주상절리대,2021-02-27,9
58,주상절리대,2021-02-28,4
59,주상절리대,2021-03-01,8
60,주상절리대,2021-03-02,10
61,주상절리대,2021-03-03,5
62,주상절리대,2021-03-04,12
63,주상절리대,2021-03-05,5
64,주상절리대,2021-03-06,3
65,주상절리대,2021-03-07,7
66,주상절리대,2021-03-08,9
67,주상절리대,2021-03-09,9
68,주상절리대,2021-03-10,11
69,주상절리대,2021-03-11,4
70,주상절리대,2021-03-12,9
71,주상절리대,2021-03-13,4
72,주상절리대,2021-03-14,5
73,주상절리대,2021-03-15,8
74,주상절리대,2021-03-16,8
75,주상절리대,2021-03-17,11
76,주상절리대,2021-03-18,12
77,주상절리대,2021-03-19,17
78,주상절리대,2021-03-20,6
79,주상절리대,2021-03-21,12
80,주상절리대,2021-03-22,15
81,주상절리대,2021-03-23,15
82,주상절리대,2021-03-24,19
83,주상절리대,2021-03-25,11
84,주상절리대,2021-03-26,8
85,주상절리대,2021-03-27,8
86,주상절리대,2021-03-28,8
87,주상절리대,2021-03-29,11
88,주상절리대,2021-03-30,10
